# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 30945 30945 11931 30671
-9.492646163489296685e-01 -2.242523502181978984e+04 4.821113756959164443e-01 28125 30805 18100 41537
-1.791017400141085458e+00 -9.640745594838688703e+03 4.532511708805426753e-01 26109 30738 21389 47437
-2.599115048453414012e+00 -5.499747344832923773e+03 5.299851096079577495e-01 24809 30745 27982 50811
-3.215307542481294245e+00 -3.490719190539720330e+03 4.821154182837683599e-01 23864 30773 25396 57103
-4.034681532833515050e+00 -1.703670806599227490e+03 9.333503346582699978e-01 23049 30792 25975 55156
-4.799648714890678569e+00 -6.088378675557177075e+02 7.466106030711396890e-01 22134 30765 23874 55342
-5.648379734315539302e+00 1.321911515449237129e+02 4.241025941443137270e-01 21189 30618 24011 53309
-6.456285923730666454e+00 4.645116729432621696e+02 1.669273881925283920e-01 20536 30769 24023 53483
-7.266792039154918115e+00 6.345001158831457815e+02 9.899277430320344573e-01 19669 30729 15167 53356
-8.508332925747021491e+00 7.322111069798556855e+02 7.422607306815906525e-02 18120 30639 15850 44825
-9.545271508236384150e+00 7.594562700321869215e+02 8.514155974193182708e-01 17235 30613 16438 45343
-1.055896933537425220e+01 7.705756478969083219e+02 2.781437555557568220e-01 16237 30761 20401 46219
-1.138749892447735235e+01 7.749027670868433688e+02 8.634125265016003858e-01 15586 30834 19679 50160
-1.232686648157812392e+01 7.776431406525107377e+02 9.174982887930264175e-01 14836 30861 19073 49419
-1.328174652023798430e+01 7.792573192996724174e+02 6.319081294580697339e-01 13972 30873 19117 48877
-1.422409320149067646e+01 7.800686875572248482e+02 2.108986748390011823e-01 13363 30857 17823 48927
-1.523333276349990761e+01 7.805602187264248641e+02 4.086660458135711882e-01 12852 30603 19814 47383
-1.611275899987476024e+01 7.807973039603273264e+02 9.935533505647743402e-01 12381 30597 20837 49329
-1.698234760049561842e+01 7.809208638106788385e+02 8.597610776177517788e-01 11950 30288 19931 49797
-1.790286585918366669e+01 7.810054898236064673e+02 3.420847221499127011e-01 11448 29514 12844 48087
-1.919998799775411413e+01 7.810863668939454101e+02 2.310289281251017013e-01 11132 29357 21523 41368
-1.987439277331809961e+01 7.811133758894819721e+02 4.426918970151980659e-01 10997 29384 15388 49258
-2.102722026232548203e+01 7.811437366099460178e+02 5.800350750296914271e-01 11036 29598 6063 44187
-2.290704783741123762e+01 7.811725224070437434e+02 9.521511527970748512e-01 10516 29725 9217 35414
-2.421977466162014636e+01 7.811814024863199393e+02 2.174855037869571073e-01 11102 29814 11134 38774
-2.544654488467571340e+01 7.811881410133146346e+02 1.887766991910840020e-01 10975 30114 14150 40623
-2.649711870401567637e+01 7.811918483099409514e+02 1.831185607559202566e-01 11378 30247 22480 43763
-2.718259226773686166e+01 7.811934797009735121e+02 5.834697004631547168e-01 11264 30432 28518 52269
-2.780721625080700932e+01 7.811945495568521665e+02 3.507493909424219680e-02 11144 30508 0 0
