# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33438 33438 11799 33438
-1.038008126618613636e+00 -1.333134081075405811e+04 3.651005500510571267e-01 28961 33283 16730 43970
-2.006537605588059492e+00 -2.440368742602052862e+03 3.707059293119711607e-01 25894 33271 18889 48664
-2.956088950892472145e+00 -5.468716918726036056e+02 3.401292023017377097e-02 24023 33334 22636 50968
-3.777824083096091634e+00 1.489211430803038638e+02 7.375652513588752957e-01 22438 33186 14352 54435
-5.089472135033044076e+00 6.060350147716994798e+02 8.445849522641779572e-02 20506 33116 13925 46654
-6.283893065262116551e+00 7.240392237655200915e+02 4.514144640480501347e-01 18717 33232 18080 46360
-7.229150520906007849e+00 7.562786541772256896e+02 1.029236592346240986e-01 17015 33101 19955 49802
-8.148626082916097246e+00 7.677264522107927860e+02 4.610253065254630300e-01 16007 32596 21905 51182
-9.005503740805476554e+00 7.733873529377812019e+02 3.472520142422989009e-01 15066 32614 29319 53339
-9.622618029805828144e+00 7.758592353549124709e+02 5.406028314008379798e-01 14480 32558 24554 60371
-1.052701610410159816e+01 7.778501060875619260e+02 8.027872640904030188e-01 13882 32609 24530 55825
-1.135810546512507635e+01 7.788060176510862220e+02 1.134755523606321148e-01 13213 32617 18051 55729
-1.247814234294526337e+01 7.794711820130137312e+02 6.091809234744189894e-01 12380 32587 19237 49814
-1.343243491350621177e+01 7.797134809739461616e+02 2.940961975771231307e-01 11869 32763 16721 50978
-1.454008861074520986e+01 7.798380180723909234e+02 3.535534699844710138e-01 11326 32726 21089 48504
-1.538244609198469881e+01 7.798831523832955099e+02 8.351777250334581071e-01 10705 32671 22229 52617
-1.625143942561396670e+01 7.799108004328656989e+02 2.769689445005768524e-01 10499 32778 13227 53695
-1.762542893211178097e+01 7.799330963082097696e+02 8.576250772856113258e-01 9773 32622 21597 45488
-1.838506581550266716e+01 7.799390275275709428e+02 9.422294492546990918e-01 9332 32537 10411 53497
-1.997333517142455506e+01 7.799453386141285591e+02 8.030318073662781053e-01 8994 32598 19512 42368
-2.076277002355431378e+01 7.799469271623328268e+02 8.742353661857960034e-02 8547 31947 30715 50820
-2.128949719918642103e+01 7.799475350682954513e+02 4.564853232507687930e-01 8436 31959 41654 62029
-2.170987791816910573e+01 7.799479063397164964e+02 3.496691048237713928e-01 8232 31846 29741 72864
-2.261006008238385689e+01 7.799485103921387008e+02 1.806396023709887222e-02 7929 31792 17994 60895
-2.381715295411440536e+01 7.799489038876015456e+02 5.093345736150460823e-01 7460 31733 35510 49090
-2.417118392993866038e+01 7.799489665913486078e+02 3.701286075316900237e-01 7352 31569 42976 66432
-2.462651322189696756e+01 7.799490318059968104e+02 8.360835035519238456e-01 7304 31622 22321 73942
-2.581533904564502535e+01 7.799491400226013411e+02 7.598221483176859081e-01 7072 31615 26072 53296
-2.654432451273413207e+01 7.799491745179396958e+02 7.419758491969717928e-01 6700 31707 0 0
