# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33443 33443 11276 33443
-1.079329269497500299e+00 -1.278898207040598754e+04 8.284625995449479419e-02 28874 33298 16071 43414
-2.073516855951921478e+00 -2.577799618060269495e+03 6.305073893226946780e-01 25912 33252 19602 48066
-2.976522929346264057e+00 -5.782147120578067643e+02 7.579720937508636069e-01 23349 33074 15523 51353
-4.160414706867336498e+00 3.934025879493927960e+02 9.292575771205839885e-01 20679 33147 18575 47755
-5.108053955715289085e+00 6.284590786821186157e+02 9.461661478323444285e-01 18894 33024 22175 50335
-5.937586539400984798e+00 7.100099504314641763e+02 7.679369036749258415e-01 17130 33060 17957 53761
-7.028538829269754373e+00 7.529155841458580198e+02 9.253382696544126818e-01 16005 33037 13986 50014
-8.284195974043186084e+00 7.693781443194550320e+02 6.133198377274351465e-02 14628 32992 12529 46357
-9.569723539646089350e+00 7.758217967875937120e+02 2.351760524828711563e-01 13848 33009 12066 44720
-1.085603405288045131e+01 7.786585798207959215e+02 2.528848661847103996e-01 12724 32809 17127 43720
-1.179730055980227732e+01 7.796344377613129382e+02 4.435914258795445875e-01 12197 32534 20479 48341
-1.266429389816155826e+01 7.801198377000807795e+02 7.878813116960876606e-01 11704 32500 23525 51733
-1.346338936186340085e+01 7.803455301687847623e+02 6.812231059703313107e-01 11014 32360 19414 54611
-1.449572554279806269e+01 7.805173157698257000e+02 2.042889409126288913e-01 10739 32499 26043 51220
-1.518831259218809038e+01 7.805817022123839024e+02 4.867654547092876705e-01 10479 32525 22180 56791
-1.613156630246925616e+01 7.806375184013628541e+02 1.412739002010166278e-01 10171 32654 22364 53885
-1.701728311447008934e+01 7.806676578035503553e+02 8.162557918674361382e-03 9787 32645 25490 54250
-1.778462593133361835e+01 7.806839523477218563e+02 1.761717407393832424e-01 9533 32623 33364 57605
-1.834992438289546968e+01 7.806922846110298906e+02 1.025615419777636816e-02 9386 32655 31581 64805
-1.908021976643112083e+01 7.806998484885655216e+02 6.284135058283260022e-01 9226 32687 27017 62952
-1.993297945282749595e+01 7.807057778473786129e+02 9.627754022839436487e-01 8926 32797 27301 59370
-2.072000949888329657e+01 7.807091113268202207e+02 8.094385257707958914e-02 8683 32763 37610 59415
-2.119867711366894625e+01 7.807103888709427792e+02 9.197510872135143956e-01 8455 32752 35952 69689
-2.187306584640827012e+01 7.807117033227524416e+02 3.736400560402554638e-01 8312 32760 55666 68087
-2.209919573999523124e+01 7.807120152957791106e+02 7.246188863388000057e-01 8242 32722 59207 87731
-2.250838254847907649e+01 7.807124965798176390e+02 5.895047601253099456e-01 8064 32736 75113 91293
-2.272214465991761401e+01 7.807126700498129139e+02 4.640484510048548117e-02 7856 32773 88598 107256
-2.292926462566263268e+01 7.807128438886157937e+02 2.745995420525062514e-01 7946 32822 56854 120776
-2.368830594821718805e+01 7.807133385043543967e+02 3.897029010106294322e-01 7704 32817 0 0
