# level_assignment log_likelihood tiebreaker ID
0 -5.832748926579174440e+04 4.030932871328706257e-01 4
0 -2.143914760754128656e+04 6.058912088544097241e-01 0
2 -6.021902061223281635e+02 2.409556552198367507e-01 2
1 -4.049305533859607749e+03 7.535442109119332155e-02 1
0 -1.391156715117015992e+05 6.997477338294897375e-01 0
2 3.408708265523628143e+02 3.829168684348758234e-01 4
4 7.100091783950828130e+02 1.437999657109991780e-01 1
5 6.524423845724736566e+02 6.573362640093911580e-01 1
1 -6.532555939752137419e+03 4.190979555626443975e-01 3
3 2.690949400114985792e+02 4.693078148117835191e-02 4
1 -1.122673836743695574e+03 4.725295445396118788e-01 0
5 7.259299190323824860e+02 4.440332769378799727e-01 3
7 7.794674022233265305e+02 4.680746108851108200e-01 0
5 7.126160121634367215e+02 7.977014605646584045e-01 0
3 5.132781289885316482e+02 6.668893399353403861e-01 1
5 6.819355789468108924e+02 1.644548795223472748e-01 3
7 7.655342057248753918e+02 7.954633709703240463e-01 2
5 7.073773919026393742e+02 7.355879753224314754e-02 4
2 -3.520135286664799423e+01 2.180093898978352485e-01 3
7 7.579159100969975498e+02 1.541805938210631111e-01 4
6 7.485209556916781821e+02 9.039657216248997429e-03 1
5 6.919993808358855176e+02 9.841260173463484140e-01 1
1 -5.365524871908942259e+03 4.276908977353666153e-02 3
2 -2.480753059793681587e+03 9.402291199502510466e-01 0
2 -1.384547477522557301e+03 7.628185776674850649e-01 3
10 7.798953424546781434e+02 3.511516678072959530e-02 3
9 7.788634352661224511e+02 7.549665476672584585e-01 3
12 7.805695259514041027e+02 8.029800105614270933e-03 3
3 4.557943234654367757e+02 8.276302197117817450e-01 1
6 7.449215507586724243e+02 7.711162638898660937e-01 2
6 7.437553019603476514e+02 2.526246151285004293e-01 0
8 7.747256810917518806e+02 6.151868008886379746e-02 3
5 6.929848145296799657e+02 3.765180928647544056e-01 1
11 7.797465150693217311e+02 8.598408543185842579e-01 4
5 6.917685814012797891e+02 1.115374681450425065e-01 2
12 7.802202685687439043e+02 4.322091221953927587e-01 1
9 7.773170866302118611e+02 8.491000929872160041e-01 3
13 7.803506761520700366e+02 9.344454634789176595e-01 4
13 7.803652927367853636e+02 9.799945445323070270e-02 4
