# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33027 33027 13918 33027
-8.753039631998823511e-01 -2.435406363974250053e+04 2.432836101179619570e-01 28965 32867 15269 45444
-1.959806001427317312e+00 -8.442461006853196523e+03 3.921704584121353254e-01 25937 32812 19593 46906
-2.840341409398002170e+00 -4.491678627643621439e+03 2.622146902557619397e-01 23947 32755 20898 51072
-3.739827440886827059e+00 -2.189455258133923962e+03 4.430555152178066169e-01 22229 32845 15464 52522
-4.948478292267136425e+00 -4.111375297802665045e+02 9.840643504455108825e-01 20505 33001 14743 47444
-6.105837280895902275e+00 3.451725405739669554e+02 5.979461950187152652e-01 18662 32969 14404 46864
-7.273211779492823936e+00 6.236101613612213441e+02 3.787108084079324755e-01 17328 32762 19686 46330
-8.137705572849528224e+00 7.092751283107163545e+02 6.728131443014879753e-01 16242 32786 18151 50997
-9.168787359380008439e+00 7.515867159568720126e+02 4.344000595594349479e-01 15102 32720 24602 49868
-9.890619055924707581e+00 7.634488736283194612e+02 4.035630453672478524e-01 14394 32650 20527 55665
-1.088835783938836599e+01 7.722393390883939901e+02 2.494993279998029834e-01 13902 32793 28667 52141
-1.150566252646210508e+01 7.751925791725365116e+02 6.206791845971970645e-01 13583 32844 18321 59580
-1.267508793988143800e+01 7.782894004251095339e+02 6.672444939387123242e-03 12847 32577 8885 50077
-1.434248217377293422e+01 7.799322659138443896e+02 3.272952672359890069e-01 11789 32657 19730 40944
-1.508965258893801575e+01 7.802351570189065342e+02 2.297633374543933682e-01 11423 32647 28970 50608
-1.566873957117926075e+01 7.803725427392067786e+02 7.369866188549059061e-01 10993 32693 12705 59867
-1.718273355087965726e+01 7.805876958962999197e+02 7.895671418981935474e-01 10536 32754 13205 44706
-1.838616092078207842e+01 7.806538442534297246e+02 2.160473275308660845e-03 9918 32502 15030 44842
-1.947285171190569386e+01 7.806830686774707146e+02 6.225400727341389162e-01 9503 32399 17354 47141
-2.047221452054380109e+01 7.806970271947182027e+02 9.134978913093750874e-01 8999 32239 26993 48958
-2.108799445808577389e+01 7.807019371275451931e+02 4.131827576545587521e-01 8870 32236 33605 58591
-2.166243283878381476e+01 7.807050681856539995e+02 2.238419829335155098e-01 8574 32211 19943 65156
-2.283703762917770774e+01 7.807097230865131223e+02 9.884186662102942833e-01 8249 32043 13778 51348
-2.413129697383175554e+01 7.807121494807813633e+02 7.863914321625387061e-01 8091 32219 9671 45354
-2.563047960541263492e+01 7.807134811291327878e+02 1.121368069579789656e-01 7478 32254 20818 41269
-2.633422790399973934e+01 7.807137467221693896e+02 5.549198543036081288e-01 7374 32243 22140 52427
-2.720362106070414754e+01 7.807139447991457928e+02 4.749927796226132148e-01 6983 32067 25526 53552
-2.795738186171121598e+01 7.807140432078023196e+02 1.663327771299947244e-01 6849 32123 14837 57010
-2.928198559285317515e+01 7.807141405976144597e+02 5.536467764358661281e-01 6614 32241 0 0
