# level_assignment log_likelihood tiebreaker ID
0 -6.732445627164618054e+04 1.596773640228092150e-01 1
1 -8.327193212804948416e+03 3.266131253576626814e-01 3
2 2.301875915034018760e+02 4.117364687108036603e-01 3
2 -7.092198567144222579e+03 7.038584051889050786e-01 3
0 -9.275752621779748006e+04 3.062876859282040454e-01 0
2 -1.031201868966536949e+03 2.742386622897710069e-01 4
2 -7.876431712717448136e+03 9.243731111434208003e-01 0
3 -1.408336438551206356e+03 3.483851158949302640e-01 2
5 5.054123812347991134e+02 1.231819093042254565e-01 1
2 -8.113189016695281680e+03 4.085705648716079774e-01 4
2 -3.143930827403287822e+03 2.960552751278733852e-01 3
1 -5.997198641552402478e+03 5.435386277149961698e-01 3
7 6.950501225608911682e+02 7.745192970170295954e-01 0
6 7.328179260676780586e+02 6.744785937397514974e-01 0
5 4.609236773187717517e+01 2.982451341181527882e-01 3
7 6.280827926019317147e+02 2.807180103194057558e-02 2
3 -9.362926573979957539e+02 2.006251432479543850e-01 1
8 7.750027429808737907e+02 6.738223939001888319e-01 0
6 7.083695798193073188e+02 6.227124629421157964e-01 1
3 1.841637050082084386e+02 3.343020106412023518e-01 3
0 -3.486235357567034225e+04 3.998984644009588862e-01 2
5 3.155041882127596296e+02 9.510116717891486937e-01 4
10 7.712195243417271513e+02 2.227573469721215171e-01 4
6 7.005174955417180627e+02 4.345597207569973364e-02 1
10 7.778535786431519909e+02 2.772979750712307734e-01 2
5 -2.279604044428538998e+02 4.365568944592546075e-01 3
8 7.349089227914705589e+02 9.764332503718289313e-01 1
4 -1.243539439867530064e+03 7.222327535509625029e-01 0
8 7.372748080956074546e+02 3.712748108818458848e-01 4
0 -1.178473961696993792e+05 5.884950663139972837e-01 0
12 7.782506038022834218e+02 2.412977362140722448e-01 4
5 -1.809646041678624897e+02 2.446853369650669463e-01 3
2 -7.780907082661810819e+03 7.297311145336066174e-01 3
8 7.643259867490621673e+02 1.130431033706957855e-01 1
1 -1.155548999577730865e+04 8.038291029664558218e-01 3
2 -3.849668591993990390e+02 2.418267732069093456e-01 2
11 7.729946149846171011e+02 6.479787853834592104e-01 3
14 7.802300172988259419e+02 4.067820346900563599e-01 3
13 7.784037053465240206e+02 3.651495002018798064e-01 4
8 7.140564761486374437e+02 3.611470255474038410e-02 2
9 7.586590211451082268e+02 7.471133613295058984e-01 2
4 -1.402792682305632297e+03 5.690173082780283220e-01 0
14 7.802150288605126889e+02 6.236143213525485729e-01 1
14 7.802196110440529537e+02 2.331905043470985650e-01 1
2 -1.358011390720892678e+03 6.765555158748429720e-01 3
8 7.148476880844762036e+02 5.724099106574868090e-01 3
8 7.477800335503898168e+02 6.355232309094250853e-01 1
9 7.536697797768161990e+02 5.223795766852545874e-01 1
17 7.806026200599546883e+02 9.492459708726396217e-01 0
12 7.753556630368236711e+02 3.343258806031244035e-01 2
13 7.789054863575532863e+02 8.920656719459776340e-01 1
12 7.789895470392323205e+02 3.781536149860002527e-01 1
13 7.789640202042844521e+02 3.826917148434292315e-01 1
12 7.766474808098680569e+02 4.456998948136645100e-01 1
16 7.804449779784813472e+02 1.796890198312950382e-01 2
8 7.326762061795568570e+02 4.525385996973309011e-01 1
16 7.805299163222999823e+02 6.051210982267376526e-01 2
17 7.806164044285085311e+02 7.791508526631775178e-01 0
17 7.806920389383873271e+02 8.418969805419404540e-02 0
10 7.760386664741581626e+02 2.446290187287598339e-01 1
