# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31127 31127 10973 31127
-1.038629014351136748e+00 -1.520685415433084199e+04 7.700219965997759930e-01 26900 31044 13484 40739
-2.136314546900945466e+00 -2.748276613951459240e+03 5.810389780447486885e-01 23806 31139 16086 43537
-3.132269515403864446e+00 -6.531933943137703409e+02 6.507529518494795662e-01 21775 31110 16017 46007
-4.183773275907610056e+00 2.661255323153454810e+02 6.060331327647743294e-01 19957 31021 14580 45965
-5.321771321695669243e+00 6.111652392580165269e+02 4.891440185789575068e-03 18088 30987 20971 44599
-6.090855233000698199e+00 7.011443903754517351e+02 8.067966181297734352e-01 16709 31007 18484 50465
-7.094971300181189378e+00 7.487650281210741241e+02 4.097918870778081146e-01 15417 30997 17562 48522
-8.110247487705326108e+00 7.653570063352697161e+02 6.180930639548418704e-01 14172 30928 17894 47434
-9.086673200856491661e+00 7.720811077672861984e+02 5.111692611113204388e-01 13234 30643 22561 47420
-9.843771891854911971e+00 7.753577454809808387e+02 2.295714576950599606e-01 12574 30599 17335 51900
-1.093455640398347128e+01 7.779654298543276809e+02 2.088514344071423778e-01 12101 30665 19295 47099
-1.183340035164022552e+01 7.790281976732053408e+02 7.477074134732220045e-01 11650 30792 21311 49098
-1.267726207898536117e+01 7.796198874720245158e+02 6.289988696348134400e-01 11162 30740 16180 50622
-1.380903559927635627e+01 7.800467222992760981e+02 2.861280026878827987e-01 10585 30548 17333 45839
-1.478330911867525010e+01 7.802413674123035889e+02 3.319561625209225264e-01 10182 30596 13314 46710
-1.602019144031459774e+01 7.803544405806733266e+02 4.461351319742328236e-01 9855 30691 14073 43027
-1.712925665590889324e+01 7.804064386358517140e+02 4.071038666845014364e-01 9271 30714 13272 43966
-1.831245188161160797e+01 7.804323884093792003e+02 4.636772874859240168e-01 8659 30506 10915 42775
-1.964831771875112310e+01 7.804457612654023251e+02 5.837541654467393037e-02 8269 30285 11376 40207
-2.088920010686984696e+01 7.804508780250296240e+02 2.549495194478551552e-01 7942 30471 6591 40876
-2.262601388540173630e+01 7.804537691996438298e+02 4.159746399087096425e-01 7457 30414 17176 36679
-2.340186767563921677e+01 7.804543837690888495e+02 9.759314144679889225e-01 7253 30553 10856 46210
-2.481474287158970427e+01 7.804549172765293861e+02 6.324102910193181160e-01 6848 30503 9494 41085
-2.623829145933046902e+01 7.804551385828972343e+02 3.011173497834339630e-01 6482 30431 21654 39288
-2.685910220971200246e+01 7.804551825793106445e+02 3.954764849397562898e-01 6351 30548 13068 51564
-2.820600194387375481e+01 7.804552428543638598e+02 9.080835230426611560e-01 5977 30686 23749 43121
-2.882541762697373144e+01 7.804552572280720142e+02 3.922487565876674465e-01 5988 30722 19402 53818
-2.984451593731059305e+01 7.804552710588724267e+02 1.621231504657494327e-01 5711 30621 14734 49386
-3.104009779320712070e+01 7.804552782362370635e+02 4.708396716194195308e-01 5410 30723 0 0
