# level_assignment log_likelihood tiebreaker ID
0 -1.203221003995272622e+04 9.313831178604086158e-01 3
1 4.952580974095556599e+01 7.460821491223691426e-01 2
0 -3.331156611249085108e+04 5.004409101935276549e-01 1
0 -9.867516138407649123e+03 2.493796386878597282e-01 2
1 -1.129024981145725724e+04 9.869128411903096421e-01 1
0 -1.620591643701825815e+05 9.907434668697474578e-01 0
1 -1.376355517857877931e+04 8.805066979503866076e-01 0
0 -1.670165571991742036e+04 1.175400809137511215e-02 3
6 7.802020996398055104e+02 7.349635062294533894e-01 2
4 3.186315116621265133e+02 2.433439709493561420e-01 2
4 3.537863209794405748e+02 8.450151802731147299e-01 2
0 -8.080773360526445686e+03 6.831735861191566839e-01 1
1 -1.380519227938287986e+04 2.381947690709805554e-01 3
7 7.615771565104657839e+02 6.651957128508632078e-01 3
2 7.801931296725529137e+02 7.852140407217520490e-01 3
0 -2.586165496411611457e+04 1.696849254702359477e-01 0
6 7.101296084701414202e+02 7.007994843704776211e-03 0
1 -8.341160255312988738e+03 9.658764093188308697e-02 4
3 7.455747979964954766e+02 5.457107848491723479e-01 2
2 -1.680047253550744131e+02 9.042680601475296953e-01 1
1 -2.484422747315933520e+03 1.139251632900341454e-01 3
7 7.624225307229073678e+02 1.162297198259527597e-01 1
9 7.723130505790072675e+02 1.936959818527590471e-01 4
7 7.566221700683161089e+02 6.683387495019115221e-01 0
2 -8.161472690736502500e+02 4.885229988283903424e-01 0
2 -2.126840190671861365e+03 6.669660647377707585e-01 1
10 7.760145116108386674e+02 9.610517397811659812e-01 4
8 7.719427483607150862e+02 2.762065491549040575e-01 1
8 7.674819930591070261e+02 5.340838523717149622e-01 4
7 7.542837909882973690e+02 1.039704712767295092e-01 1
7 7.709689787699669523e+02 8.010434275049450603e-01 1
4 4.963663495586422982e+02 4.750190532850890879e-01 4
1 -1.817575216383577299e+03 9.393915680207131080e-01 0
8 7.715430835622465793e+02 2.966711497817340337e-01 1
8 7.663246085174137079e+02 3.460568935498781196e-02 1
8 7.674401778446940625e+02 7.494573849310932623e-01 1
1 -2.391825337083203976e+03 1.079667358768994223e-01 3
11 7.793059932106181122e+02 2.180861427850744327e-02 2
7 7.669777454009839630e+02 5.154198441932196229e-01 0
6 7.204004104449338683e+02 4.158985850405341189e-01 1
6 7.110354218540560396e+02 8.228806579782015074e-02 0
12 7.792031369569806429e+02 6.993171028717850568e-01 4
13 7.799589640518305487e+02 4.548242888522979199e-01 4
13 7.800940465811924014e+02 7.922640577110779958e-01 4
4 7.153795551106280755e+02 5.200267075449933607e-01 3
4 6.312891696875108209e+02 9.613236797639155284e-01 3
10 7.760472769503194286e+02 5.061246820105089195e-02 0
4 5.844825959685452972e+02 3.462616032361806595e-01 0
13 7.803546910860686694e+02 6.073749117081457261e-01 2
13 7.798690716915009489e+02 8.032911933586677211e-01 4
15 7.803221618835825666e+02 7.975091967106227031e-01 0
14 7.801837717886802466e+02 3.605972796048983464e-01 4
13 7.796374649267654604e+02 2.205521690574896998e-01 1
3 -6.358717725221592332e+01 8.517252231217524727e-01 3
3 -1.295327366661468886e+02 7.541290100520305906e-01 3
6 7.055997340253670700e+02 5.004857115800849243e-01 4
6 7.220438255080648560e+02 7.618617353820251736e-01 3
18 7.804403386837067274e+02 4.954794879215524972e-01 1
13 7.798277346123437610e+02 5.417687025680146817e-01 0
16 7.803875864210551754e+02 7.055602562619771589e-01 0
3 -3.076047662884540159e+02 6.416527873837922780e-01 4
13 7.798162100473876990e+02 3.491829448103953570e-01 1
7 7.775784396010456021e+02 9.621930907637439925e-03 4
4 5.451560587328680185e+02 1.352630913999523510e-01 4
16 7.804463243462997752e+02 5.648415884411599475e-01 1
7 7.652062755513884440e+02 8.865928706597094033e-02 3
19 7.804516362207893962e+02 9.920835367924976111e-01 1
11 7.780509891871474792e+02 1.731637075571038631e-01 3
19 7.804486226946388570e+02 6.294947993992101587e-01 4
19 7.804503520983207636e+02 7.443332201283993088e-01 1
3 7.502857492530952186e+02 1.095647217697246489e-01 0
18 7.804455940795046445e+02 3.559814343129711345e-01 2
0 -4.130799599265540110e+02 2.273783073784896303e-01 0
4 6.455509289592577034e+02 4.995430156284164092e-01 0
8 7.659064536298538997e+02 3.035317907529111459e-02 0
12 7.793287953455776460e+02 8.603983178826911660e-01 1
6 7.101097475780959485e+02 7.819705278401453130e-01 0
14 7.800765625986571195e+02 4.662596739587966145e-03 4
14 7.801408162088762310e+02 4.894759938337109872e-01 3
12 7.802559453929468418e+02 3.419072305686245983e-01 4
11 7.781647998345141559e+02 5.142267648418419324e-01 3
10 7.767572362424944004e+02 7.329886018820808147e-01 3
12 7.791157452717578735e+02 2.429114283987287570e-01 0
16 7.803914910392779802e+02 3.363884890398800565e-01 1
21 7.804552006030104394e+02 7.124129221868883421e-01 4
12 7.800620167082480521e+02 8.558770071782939581e-02 3
12 7.801789374302852593e+02 9.231150505654452942e-01 3
20 7.804526820584457028e+02 9.729281593893843727e-01 4
13 7.796822855496523061e+02 5.398356278242291140e-01 3
16 7.803666617628239237e+02 4.536341824419416469e-01 2
18 7.804421208376288632e+02 7.384633289122675137e-01 4
15 7.803549885703553173e+02 8.272439840774489239e-01 4
13 7.802655113030452867e+02 5.749153846081429542e-01 1
16 7.803733634209794445e+02 2.921397415085550953e-01 2
15 7.803661658937614902e+02 2.091995820032002129e-01 4
16 7.804494112476826331e+02 9.191343916200400699e-01 4
15 7.802656666438474531e+02 6.509397669478856896e-01 2
14 7.803260228234821625e+02 8.498636660226892570e-01 0
12 7.791281169985052202e+02 2.713547830332108113e-02 1
15 7.803475811725868425e+02 1.147800003811408065e-01 2
16 7.804011678793968940e+02 9.338839468802168087e-01 0
15 7.803161793440093561e+02 1.257446034187547634e-01 0
13 7.797630281536457915e+02 9.519161733279091209e-01 0
19 7.804461336445624511e+02 8.715036865479390826e-01 4
20 7.804513857622589512e+02 3.965252500721696549e-01 4
16 7.803962420876871420e+02 8.145814400882062101e-01 0
16 7.803926491643468353e+02 7.218635728910071103e-01 4
12 7.791120664937911897e+02 4.331450310059813402e-01 2
14 7.801023157000953461e+02 9.209875680692175548e-01 2
12 7.791317228482288328e+02 6.386653367902788148e-01 2
3 -4.566064896675386535e+02 5.122777440897304801e-01 3
22 7.804548688083372099e+02 5.420697900597427621e-01 0
5 6.781996360920016969e+02 4.949165625538396451e-01 3
7 7.678807186894807728e+02 3.183650385610881650e-01 3
6 7.153246724399919003e+02 7.265893362151878421e-01 3
7 7.522087911432976171e+02 2.189226263661843142e-01 2
3 -4.175412474497874200e+02 7.478641104374779136e-01 1
5 6.214823888878206617e+02 8.292606994421196642e-01 2
23 7.804550359861995048e+02 3.581251242562690784e-01 0
5 7.050216211133786146e+02 7.116075698092148016e-01 3
18 7.804480836398674910e+02 5.383700944936253840e-01 0
24 7.804551773512500858e+02 3.540234084978590712e-01 4
3 5.136943311379583292e+02 1.488966089198608678e-01 1
7 7.722524207459042600e+02 9.853657848814991738e-01 1
2 7.672433474267356814e+02 8.672227006155769358e-01 3
6 7.654120706127366702e+02 3.999731795151442726e-02 3
10 7.775453721373891085e+02 4.365988580337898384e-02 3
9 7.723301330128514337e+02 2.256666348317004633e-03 3
1 -1.027968779431158873e+04 5.957928995969883346e-01 1
24 7.804552193736284380e+02 6.618408043169107802e-02 0
8 7.698749273499588526e+02 3.208194667792526045e-01 2
9 7.736822641524240680e+02 5.630208999468574449e-01 2
5 6.256289283448962806e+02 2.062853558141632959e-01 3
9 7.752254248894539614e+02 2.726995809568037998e-01 1
15 7.802685372702220548e+02 3.433433379411595654e-01 1
7 7.504300656289028666e+02 8.218243645759892857e-01 3
9 7.788271442220841436e+02 8.431580008282100192e-01 2
25 7.804552037422032527e+02 3.878937917867339991e-01 0
12 7.791502112579609047e+02 6.944265132074926017e-01 3
9 7.731874954367995088e+02 1.439034523005808808e-01 1
11 7.783913869923374023e+02 1.313224821498688022e-01 2
11 7.784647543982355273e+02 2.731419705343522963e-01 1
20 7.804515359631215006e+02 6.620859157769556358e-01 4
9 7.763488727242049663e+02 8.331869496792693175e-01 3
7 7.606027633143816047e+02 1.011713643726763756e-01 3
8 7.660336382436648819e+02 3.428794994260295770e-01 2
10 7.769676004354371344e+02 3.653996395552298188e-02 3
10 7.756062395830051628e+02 6.095985651439639330e-02 3
7 7.749827376854844942e+02 1.068099607579160448e-01 3
11 7.789234721867035205e+02 4.423310766240460268e-01 2
13 7.800624694739369716e+02 8.536863349734423734e-01 2
23 7.804550033560147995e+02 3.286312683495843379e-01 0
19 7.804475110433129430e+02 3.196898853028082854e-01 1
22 7.804547267872716247e+02 3.572863427242481404e-01 4
4 7.554185371857175824e+02 8.061994221955082196e-02 3
14 7.802838020274300561e+02 1.114040588509253027e-01 2
13 7.800133768099037752e+02 3.604564894545484455e-01 2
28 7.804552760730767886e+02 4.887369190128185714e-01 4
29 7.804552850099936450e+02 3.847152302792724576e-01 4
29 7.804552847775744340e+02 1.108023936698927514e-01 4
11 7.802551960592504656e+02 2.282002465285382087e-02 3
16 7.803974430273485723e+02 3.746660977636682155e-01 3
2 -1.936036242419371547e+02 9.327470248241986894e-01 1
13 7.802770854442812833e+02 5.418924891062465443e-01 3
5 7.411711279546606193e+02 7.324036300282013023e-01 1
3 -4.306918333977550333e+02 8.414648759851974802e-01 0
11 7.787354880822176710e+02 8.261519050898278316e-01 0
14 7.800475210394108672e+02 8.674751810833554178e-01 3
29 7.804552809019792221e+02 7.727037243908352337e-02 4
11 7.780202339428255982e+02 4.195522835805611805e-01 0
15 7.802952969723849037e+02 1.903337250062016039e-01 3
1 -9.470067866576055167e+03 1.686827211929746717e-01 0
1 3.353056289916443689e+02 2.912366622472443156e-01 0
9 7.789742433209200954e+02 6.677508520005004389e-01 1
28 7.804552787485704357e+02 2.836146326608268153e-01 4
4 3.453508567673843572e+02 8.700948760163278450e-01 0
29 7.804552826480710337e+02 3.583146234156127652e-01 4
7 7.517036731993538297e+02 7.219795591023869807e-01 2
26 7.804552729065208041e+02 2.010357270853404543e-01 4
28 7.804552818118945652e+02 8.061175180106079363e-01 4
2 1.178317749613161425e+02 6.646998863499646859e-01 0
15 7.802494198157127130e+02 5.234378443459235530e-01 3
3 6.077758617995016266e+02 1.579121573689798441e-01 0
8 7.684604241472057993e+02 5.649988754206494157e-01 0
5 7.421906681935950019e+02 8.770407518218241716e-01 2
19 7.804466385399748560e+02 8.519732614251696035e-01 3
14 7.802128275164689057e+02 3.395458175390680955e-02 2
14 7.803289792162581762e+02 4.691337882732257158e-01 2
24 7.804551709269665025e+02 2.182942295506524744e-01 4
16 7.803728509485695213e+02 7.089608446077930726e-01 2
26 7.804552470072375172e+02 1.373431332680326022e-01 4
21 7.804543739942164393e+02 7.659523063267408283e-01 2
10 7.777971244893485618e+02 5.011298666039154526e-01 0
5 7.428544568821480425e+02 3.844519662138776717e-01 0
29 7.804552790075176745e+02 5.643128021913244030e-01 2
4 2.792406641919758385e+02 1.564388026722035863e-01 0
26 7.804552502119197470e+02 7.771447205156414295e-01 2
26 7.804552676487023746e+02 3.877977090113847169e-01 2
24 7.804551890727782393e+02 8.621797921008690357e-01 2
3 -4.059341326962646122e+02 9.238149453740347461e-01 0
26 7.804552504609797552e+02 6.700421257636326455e-01 2
17 7.804269864633749876e+02 9.440181080381871981e-01 1
24 7.804551849437617648e+02 4.549235358096050952e-01 2
14 7.802571030969795629e+02 5.478008615682006255e-01 1
22 7.804549741073469704e+02 9.793522503664695567e-01 3
17 7.804123728418938981e+02 9.130176094721244029e-01 1
25 7.804552001346919496e+02 2.959586373412972926e-01 4
29 7.804552790562352129e+02 2.667961661075798907e-01 2
3 -3.498593681272697609e+02 8.292928453046188864e-01 0
10 7.753648718059449720e+02 1.891716869453172745e-01 1
14 7.802182179119201919e+02 4.449305562515596391e-01 1
17 7.804319439006959556e+02 2.429337656664047884e-01 1
24 7.804552451595279763e+02 1.012033249504502436e-01 2
26 7.804552484036682927e+02 2.687274236421062223e-01 2
29 7.804552800477686105e+02 8.065331655824667934e-01 4
21 7.804542211944863084e+02 3.833899742268572775e-01 3
28 7.804552749212205072e+02 6.390929817314211503e-01 4
7 7.734694614159939192e+02 8.646606256286393233e-01 0
10 7.763205174037395864e+02 9.279134172436981354e-01 0
13 7.800322070278832598e+02 4.764424753240344423e-01 0
21 7.804541762450688793e+02 5.423475388178543577e-01 3
21 7.804543752588240295e+02 2.460405884191025627e-01 3
25 7.804552205170589332e+02 6.528655893552859357e-01 2
28 7.804552716454331858e+02 1.404480069833264899e-01 2
23 7.804549254058254064e+02 2.416435649330752611e-01 4
19 7.804476810988294346e+02 6.264862518356189014e-01 1
21 7.804540611000234094e+02 5.983857337014395483e-01 1
26 7.804552480069617104e+02 7.821943285244378208e-01 2
25 7.804552095260670512e+02 5.940915627431380130e-01 1
22 7.804547245782034679e+02 1.908086317429811274e-01 3
22 7.804549788604383593e+02 8.840269345700723091e-01 4
21 7.804548795524078741e+02 3.323680306315910937e-01 3
21 7.804540934884610124e+02 5.478713839954253428e-01 3
20 7.804548060092787409e+02 3.419152877986827432e-01 3
26 7.804552428629708629e+02 8.843188357480684658e-01 2
13 7.796632662173249173e+02 7.421359289826107153e-01 1
11 7.787136713678760316e+02 9.294599988815306357e-01 3
16 7.803854975019316953e+02 9.503170333630880373e-01 4
9 7.750177620297004069e+02 7.533832388718325612e-01 0
1 -9.320424772951747627e+02 4.606500601599758937e-01 3
28 7.804552735234497050e+02 1.490229412905863526e-01 2
2 -1.211617135274616885e+03 5.868981863250866127e-02 3
4 7.033116402918708445e+02 7.981012878368729524e-01 3
9 7.732513714273201231e+02 1.031392038174339665e-01 1
0 -7.645408447392637754e+02 7.371971465912464661e-01 4
7 7.490857240352856934e+02 4.533074727820554095e-01 3
12 7.800169604648586983e+02 7.004573407493763781e-01 0
2 -9.399430053425802498e+02 3.055603594649500820e-01 4
27 7.804552685897509718e+02 7.368191993670727413e-01 2
8 7.657830564176206281e+02 8.877930637551553206e-01 3
10 7.771729967476364891e+02 3.782591592839779082e-03 1
9 7.782054194227184780e+02 4.505345533510951017e-01 1
4 6.321248372321806528e+02 2.400639950072260831e-01 4
18 7.804348261793843449e+02 3.859431387895094212e-01 0
29 7.804552804897554097e+02 6.320904781594121058e-01 2
12 7.796471662652113537e+02 2.733018166409634242e-01 1
9 7.732113312612892742e+02 2.423801888861624454e-01 4
1 -1.609132320274078438e+03 8.539751075226338362e-01 3
18 7.804328199706344549e+02 6.289196322100035763e-01 0
20 7.804509633910686262e+02 8.697956659088954545e-01 0
4 3.113477583717408379e+02 8.387981966767333875e-01 1
27 7.804552721929886729e+02 1.317876145430615098e-01 2
0 -1.017964392032434116e+05 1.967841789005443098e-01 3
13 7.796728539823245683e+02 8.749785849857438791e-02 4
9 7.756384279606699010e+02 8.951118728707463390e-01 3
22 7.804544590084024094e+02 2.505794049589259442e-01 2
13 7.801023290781254218e+02 8.532833173357028400e-01 3
22 7.804549245632767906e+02 8.694663468297039177e-01 2
13 7.801340241156310640e+02 5.202914045228395068e-01 3
23 7.804549556570616460e+02 9.514790877081394926e-01 2
24 7.804551506453419734e+02 5.478242334353967680e-01 2
25 7.804552019810524826e+02 6.515511223015986175e-01 4
23 7.804549675151031352e+02 1.186696776830480360e-01 2
4 7.423731037831271351e+02 3.394806762545599099e-01 3
2 5.088517110363758889e+02 7.872165860573535623e-01 1
22 7.804547691116540591e+02 4.852603883004816820e-01 2
19 7.804463280019039075e+02 5.339055014587084091e-01 0
5 7.254069898443498232e+02 8.614010316727969130e-01 1
5 7.303629228272750424e+02 3.527135980842294738e-01 1
27 7.804552611116969274e+02 8.916230655032850727e-01 4
18 7.804441612765604077e+02 8.410602065979473352e-01 3
3 -4.960311747819920356e+02 4.915401021964050932e-01 1
2 -2.598398873527254636e+03 3.854813021645208115e-01 1
3 1.747749512788906827e+02 9.984349016852031022e-01 1
18 7.804439189781144250e+02 6.005290732433512524e-01 0
0 -7.931966835860162973e+04 1.524675036662408445e-01 1
11 7.793074938492937918e+02 7.878728227196463152e-02 0
11 7.791257921021107222e+02 5.748847309694522512e-01 2
12 7.799494679761746738e+02 4.106527686324638049e-01 2
9 7.759365172055004223e+02 2.868829572845879028e-01 1
14 7.802042727244452180e+02 3.267058189504642440e-01 0
14 7.801579229350834339e+02 8.084107579574961733e-01 0
26 7.804552643307772541e+02 7.242758054365978637e-01 4
5 6.718003189684870904e+02 5.118413519858444616e-01 1
26 7.804552526088650666e+02 3.764239718676942736e-01 4
14 7.800920696288060299e+02 7.963857943048431309e-01 0
2 -6.320015446286685119e+02 2.026776288546283666e-02 1
15 7.803236360701581589e+02 3.162223886402096285e-01 0
15 7.802883274942439584e+02 4.870521626820544236e-01 0
13 7.796220211331851715e+02 2.422611332927564476e-01 0
16 7.804179814354238260e+02 5.289456400509635614e-01 2
17 7.804066901080993830e+02 4.082743999241768562e-01 2
3 9.951956371066037832e+01 8.423988366306418563e-01 0
20 7.804513970659900224e+02 7.288917013981920448e-03 2
1 -5.168078671961525288e+03 9.697341192883754957e-01 0
22 7.804548487646765125e+02 2.891341373262878989e-01 4
19 7.804494053711964625e+02 2.732888803127985211e-01 3
15 7.803452589227941871e+02 4.996558340017227540e-01 1
5 7.280751857505381395e+02 9.787716248141147268e-01 0
17 7.804123177413383701e+02 7.454790823185154514e-01 2
7 7.637190767588849667e+02 4.808962758724885656e-01 0
17 7.804297251488167149e+02 9.062633865445304249e-01 2
11 7.789040355183437896e+02 2.803688853186445673e-01 1
29 7.804552806035361527e+02 2.204280245515820302e-01 3
1 -5.586030242711501160e+03 9.006040921478017935e-01 0
0 -3.703765583160758251e+04 6.533730407721081157e-01 0
29 7.804552826807040447e+02 2.495016885160197262e-01 3
22 7.804549085615844888e+02 8.805478755333997487e-01 4
12 7.798994769266529374e+02 4.042293131084448987e-01 1
25 7.804552127138555306e+02 3.788210404681866539e-01 4
26 7.804552563024709571e+02 1.133573667266644242e-01 3
3 -6.068903320907268153e+02 8.744415764992767848e-01 2
29 7.804552819283954932e+02 9.085100712720919347e-01 3
28 7.804552783590681884e+02 5.727558222135711308e-01 3
29 7.804552785342334573e+02 1.075883213121124199e-01 3
19 7.804538168471445942e+02 9.841221568037725742e-01 4
22 7.804547159159748162e+02 2.950581683511094289e-01 4
5 7.520574043213947562e+02 8.133648034096555568e-01 0
28 7.804552784320313776e+02 7.933217124224702932e-01 3
9 7.721395791120903596e+02 5.897043827479203637e-01 2
16 7.803575918097336626e+02 4.160497800331159901e-01 0
27 7.804552631697576999e+02 6.266909752837102054e-01 3
