# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31639 31639 10471 31639
-1.095694095093365572e+00 -2.552773462932543771e+04 5.183585749964905176e-01 24976 31510 11607 40915
-2.334515143375560431e+00 -5.222102447449972715e+03 3.061498485621128585e-01 21663 31576 15494 42268
-3.337843178996662274e+00 -1.164598483229185149e+03 1.126214949348534472e-01 19506 31493 14063 45859
-4.507072043430603969e+00 1.927376633436719544e+02 4.640021456892898244e-01 16799 31498 20125 44629
-5.315754817708349123e+00 5.000559502259515057e+02 8.753997602451457638e-01 15655 31504 15699 50220
-6.468151934410243165e+00 6.822254592838935423e+02 7.906476556531975008e-01 14193 31607 16492 46309
-7.498506245473673282e+00 7.365717854442409589e+02 5.166141653860760741e-01 13066 31692 15289 46991
-8.613123256969874575e+00 7.572802956100836127e+02 1.952094767241130402e-01 12035 31571 14391 45906
-9.761997412637335003e+00 7.681456944986820190e+02 8.131249400805993233e-01 11518 31791 13145 45217
-1.098022801673581483e+01 7.756694320425533533e+02 4.165476169184774702e-01 10934 31677 17942 44048
-1.188487138086144590e+01 7.783775448790059954e+02 8.521749604015562696e-01 10319 31482 23954 48613
-1.260822453249946307e+01 7.795899707799505904e+02 5.597586048655105451e-01 9591 30709 21714 53709
-1.351886777536918949e+01 7.804629971502313310e+02 1.603219447276204301e-01 9142 30687 32878 51356
-1.398982611992711256e+01 7.806863944225473233e+02 5.023079946182384958e-02 9079 30852 30870 62169
-1.470251882444418712e+01 7.809982043733014052e+02 8.218569618005608923e-01 8912 30951 50756 61264
-1.491834676869332554e+01 7.810617608875127189e+02 4.103017162824527664e-01 8913 31017 53993 79522
-1.532320309077061893e+01 7.811792410495741024e+02 3.629334387100979775e-01 8709 31046 55067 83864
-1.575995541747543882e+01 7.812806338758300626e+02 5.106898358120322001e-01 8687 31111 40519 85003
-1.650909046245370249e+01 7.813965362509428587e+02 3.835972379466288662e-01 8328 31138 37155 71482
-1.717589472098453740e+01 7.814628191415752099e+02 1.523538623203553044e-01 8067 31088 43025 67611
-1.764691372052038787e+01 7.814991705119505241e+02 6.963089156908092159e-01 8084 31037 60373 73419
-1.786563653978632260e+01 7.815113887564421020e+02 5.115917259860225386e-01 7969 31104 81878 90828
-1.798948764425379920e+01 7.815169020101177466e+02 6.225658972309875416e-01 8054 31104 104099 112357
-1.808246795198061463e+01 7.815207339546071807e+02 2.752742358938734535e-01 8042 31158 119532 134608
-1.821478493247284902e+01 7.815272106575216640e+02 9.421133149992695355e-01 8001 31132 129278 150034
-1.837558026253403298e+01 7.815349223533164604e+02 4.285199409080320265e-02 7990 31136 140935 159770
-1.851239458564510443e+01 7.815408939573514999e+02 9.923624942735589372e-01 7752 31142 161578 171438
-1.858273080629100704e+01 7.815437203431783928e+02 2.941150109636340715e-01 7827 31173 189963 192120
-1.860424134914257266e+01 7.815442167011354968e+02 4.707491119271773883e-01 7970 31137 0 0
