# level_assignment log_likelihood tiebreaker ID
0 -2.214168008982865558e+03 9.313831178604086158e-01 3
1 -5.463468789354510591e+03 4.235438837534999945e-01 4
2 -6.389927494187971888e+02 5.141541819613797415e-01 3
0 -1.200703730635434331e+05 6.387387841594058813e-01 3
1 -2.428008514519274468e+04 4.377365860843286938e-01 3
2 -1.478956210249234005e+02 2.998201563141813519e-01 2
2 -1.064001271650849276e+03 8.439247243064045279e-01 1
0 -4.802332242431949999e+04 3.189330461281005835e-01 2
5 7.501033647664861519e+02 4.289511063835127480e-01 3
1 -3.683210725782357258e+03 5.118023948406043022e-01 1
3 1.865010571533578627e+02 5.873415534129142745e-01 0
1 -1.069385788112862065e+04 4.030012372714700808e-01 3
6 7.511916770104804755e+02 2.932519025732374107e-01 0
1 -1.826913545487070223e+04 1.442128180049060404e-01 1
3 -1.741131459835497992e+02 2.794149890721570606e-01 1
2 -3.311065480671776641e+03 7.369206177852011264e-01 2
6 6.922952342035018773e+02 3.621060131482207733e-01 0
7 7.795303273982328847e+02 1.585136075036918113e-01 1
6 7.324761257668924372e+02 5.314022251140327890e-01 3
9 7.688130868502612429e+02 1.456522211234111408e-01 2
9 7.700893172232755433e+02 1.217681898413589536e-01 4
1 -1.308800349481482772e+04 4.690988296794502688e-01 3
11 7.786044034923402251e+02 4.361660873660102022e-01 1
8 7.673366324929941129e+02 6.912357055349798163e-01 1
2 -4.757692927715631299e+02 3.933157497922726287e-01 2
9 7.752154802317821805e+02 2.715595483257123854e-01 0
6 6.890590242756404677e+02 7.907058936379981473e-01 1
0 -3.451792464985036640e+05 1.567350273128624849e-01 3
2 -2.993525859206218229e+03 7.499732185451963851e-01 3
9 7.772444284498692468e+02 8.037955538023021651e-01 2
5 5.484760360618608956e+02 9.989195432286578358e-01 0
10 7.764330299906213213e+02 5.286583997138083468e-01 4
1 -2.058008143649085105e+04 9.421164658115883661e-01 1
4 3.535350334681769482e+02 1.115354261247965689e-01 1
11 7.786550448434718419e+02 9.018903506458784136e-01 0
12 7.805832768672778457e+02 6.598204134571107327e-01 4
5 6.379189062314949297e+02 3.014389304383389145e-01 3
12 7.796979725396504364e+02 5.091817599990000609e-01 4
13 7.806259885982848346e+02 5.779015064668902024e-01 4
12 7.805328598660353236e+02 5.461355622750277972e-01 2
8 7.702590829391500620e+02 1.772753459968878786e-01 4
8 7.616630847601898040e+02 2.552028849212772954e-02 3
7 7.382088943124801972e+02 8.069239202054680205e-02 1
2 -4.096189089777974004e+03 3.584921150151449964e-01 3
2 -2.268379442007705620e+03 5.810596699086080230e-01 3
0 -4.722594227125178440e+04 6.616776275608535762e-01 3
4 3.060664018955146730e+02 3.390414542632012029e-01 3
8 7.632004987084280856e+02 7.879013758366688602e-01 3
6 7.422790422701878015e+02 8.517349473488462497e-01 1
5 6.777608328320009150e+02 1.592830048526541198e-01 0
15 7.810207217607468237e+02 4.803029965171887739e-01 2
15 7.810365667057860719e+02 9.858925320068470111e-01 2
0 -2.158521196420484921e+05 5.024186437171543895e-01 0
1 -1.357948539403182804e+04 3.058360633066139478e-01 1
2 -4.952878579940698728e+03 8.394241291321092868e-01 0
2 -1.867043174177623769e+03 5.459134373920654371e-01 0
7 7.574781151137071902e+02 5.484188981612814207e-01 3
9 7.734547861669288977e+02 4.555408595480874845e-01 3
7 7.517275037506069566e+02 5.802293239518139245e-01 0
2 -6.222133425538445408e+02 5.533485659062973294e-01 1
7 7.721544550833159519e+02 6.452865761470927275e-01 1
