# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32203 32203 11117 32203
-1.057731588001895373e+00 -1.285992485736919480e+04 4.460925292663764363e-01 27829 32241 16841 42285
-1.983671403343902906e+00 -2.700939380258497295e+03 4.180195610145172602e-01 25067 32258 17468 47897
-2.991813767929530243e+00 -5.462970958828393577e+02 9.245615029149393260e-01 23223 32325 16107 48776
-4.092879979963489845e+00 3.195934210040017547e+02 2.410578758261762433e-01 21662 32354 22065 47437
-4.871443237569347495e+00 5.633795792465566592e+02 3.967113307494027907e-01 20465 32371 17666 53061
-5.965358459227196875e+00 7.019749302187535704e+02 4.862147064908922678e-01 19368 32389 17362 48965
-6.999907662427697908e+00 7.494355922632349802e+02 7.384052440710762166e-01 17944 32348 16458 48603
-8.077517210536177217e+00 7.661834381439971366e+02 5.483290587527445137e-01 16902 32336 16778 47703
-9.119590591479486363e+00 7.731290752390809757e+02 2.071314138976517449e-01 15888 32250 18395 48042
-1.008201183069652984e+01 7.763403969438103331e+02 3.527217686504675043e-01 15214 32193 16079 49471
-1.119799324494986870e+01 7.782363141767943944e+02 7.012445944874409198e-01 14263 32233 13093 47309
-1.246219781849766406e+01 7.791136934255873712e+02 7.886383332245937572e-01 13529 31931 13956 44124
-1.360244432655614233e+01 7.795012368194045393e+02 4.184546130662133989e-01 12750 32032 19102 44910
-1.446623736744167310e+01 7.796438905111588156e+02 4.866488176600123339e-01 12522 32072 23711 49847
-1.522286655741783790e+01 7.797201726800647066e+02 7.772395858591174544e-01 11923 32037 23543 54022
-1.606208506384509960e+01 7.797719163758051764e+02 1.075599730088380585e-01 11965 32169 20526 54539
-1.704054352326889443e+01 7.798069144542400863e+02 3.800499263875440903e-01 11365 32272 18060 51886
-1.809262936230324570e+01 7.798274582583018173e+02 8.839064069269892965e-01 10831 32276 15442 49310
-1.924319106166927540e+01 7.798387014589459341e+02 4.814725039299334597e-01 10328 32374 12143 47195
-2.057409599117142918e+01 7.798443569630492220e+02 1.961695910538330812e-01 9747 32410 18237 44002
-2.146244171215867169e+01 7.798459792180110526e+02 1.014484810723730313e-01 9378 32325 18467 49923
-2.245726514548102770e+01 7.798468660238488610e+02 8.047789155236906300e-01 8929 32321 12389 50144
-2.382676257757585603e+01 7.798475399468634350e+02 8.138049121788414331e-01 8463 32101 13560 43853
-2.498780243318859107e+01 7.798477841441291503e+02 6.707111356336721286e-01 8179 32092 19762 45020
-2.582183210350939362e+01 7.798478758692421025e+02 8.911367418031438392e-01 7659 31949 21237 51048
-2.670562605614593110e+01 7.798479284478037243e+02 1.739976913812155690e-01 7497 32101 17426 52689
-2.780573084801004669e+01 7.798479626900842732e+02 9.234757011535082993e-01 7399 32148 27272 48934
-2.841118998048295907e+01 7.798479739990693815e+02 6.895301978129219078e-01 7121 32236 35164 58882
-2.894646606150715584e+01 7.798479803866506472e+02 5.611912705883050911e-01 6909 32304 0 0
