# level_assignment log_likelihood tiebreaker ID
0 -1.850441375211451304e+04 1.596773640228092150e-01 1
0 -6.641355223403072159e+04 9.846286665088568313e-01 3
2 -3.320771083900717144e+02 8.345177395718108571e-01 0
1 4.816393882899430423e+02 5.348958494443860623e-01 2
2 -9.460697981388432254e+02 3.160124885964656766e-02 3
1 -4.835471228660480847e+03 2.098552865790113131e-01 0
0 -8.784300219855693285e+03 1.274713290882458772e-01 1
0 -2.706448174552452474e+04 3.685880656655624033e-01 0
1 -4.945125872935957887e+03 3.826938666774530873e-01 0
0 -3.297723066353945796e+03 9.407695380443323874e-01 1
1 -2.478498356943994168e+03 6.196260678287757173e-01 3
3 -4.025044188182640141e+02 2.912946250362471456e-01 0
1 -7.947581241882446193e+03 2.936680670340364729e-01 2
4 6.873775450464897858e+02 7.245038586144403325e-01 0
3 3.199012490415758521e+02 4.148186859424364270e-01 3
2 -2.516861826551210470e+03 7.659807588693579028e-01 3
8 7.749018632940251337e+02 7.977616657343354900e-01 3
6 7.136801442533294448e+02 8.692759797778101816e-03 4
6 7.638909355706477982e+02 3.596881483261018531e-01 2
9 7.754636244115094996e+02 8.257520064273702332e-01 0
9 7.740700026344781008e+02 8.935576164305379931e-01 3
9 7.780849496170583279e+02 8.106916394039798135e-02 3
10 7.781007103658664619e+02 9.040912834750187699e-01 0
10 7.772905833085401355e+02 9.038832193288633965e-01 2
6 7.539330871985489466e+02 1.534975311891145222e-01 0
0 -4.146550570349096233e+04 4.364084298742809676e-01 4
6 7.683439088251848261e+02 5.237451169288879216e-01 3
8 7.758111271297805160e+02 4.528786932976542334e-01 1
3 5.406996505267505881e+02 7.442249708986574674e-01 1
5 7.407118657594527349e+02 5.926737024676422827e-01 4
5 5.681588860335432400e+02 7.919398692710354348e-01 2
13 7.795206885548416267e+02 8.143334344810927439e-01 0
11 7.794920116304665498e+02 5.561088644025854455e-01 0
11 7.784313988319320288e+02 6.395257806605911810e-01 3
5 6.528651617501536748e+02 2.993816762447996105e-01 2
9 7.745223225306692711e+02 1.648684127977684544e-01 3
6 7.662868074402440470e+02 3.439450006235028057e-01 3
14 7.797201726800647066e+02 7.772395858591174544e-01 3
14 7.796703901788595203e+02 3.816647478600554422e-01 0
4 5.126204188756155418e+02 7.614284756053970593e-01 2
13 7.797868771577486768e+02 7.004646237556660937e-01 1
15 7.797674917876051950e+02 9.818016237297043647e-01 3
9 7.741728564113516313e+02 8.364127050673036967e-01 2
10 7.770761949997336160e+02 3.335639650585301430e-01 3
5 6.573373881569909827e+02 6.791087838219274087e-01 3
11 7.792689765832212743e+02 8.766683756350825973e-01 1
12 7.791834212521007430e+02 7.772347645764021706e-02 2
17 7.798371961719385581e+02 5.671852082892443470e-01 1
16 7.798179023146957434e+02 3.921261357821100857e-01 1
12 7.792041516465508266e+02 5.500718685456780221e-01 2
11 7.788229494550895424e+02 5.008954945653316670e-01 4
2 -1.972470007114116470e+03 3.765720437477377835e-01 0
16 7.797946573986585008e+02 6.827960027377724117e-01 1
18 7.798315193534289165e+02 3.361284027288126697e-01 1
11 7.787612938385368579e+02 7.059533496459536872e-01 3
15 7.797702069486256278e+02 8.062138660163663539e-01 2
5 7.785040884438519697e+02 4.718400669435094952e-01 3
18 7.798445085380676574e+02 7.503295512848984217e-02 4
14 7.796892632971093917e+02 7.201460823612988449e-01 2
8 7.665118326206439860e+02 9.577099728076223784e-01 0
19 7.798456555674441688e+02 9.305665600731749532e-01 4
