# level_assignment log_likelihood tiebreaker ID
0 -1.665530198100632406e+05 1.596773640228092150e-01 1
1 -5.787928568441833704e+03 1.792610165255037469e-01 3
1 -2.815584955830822764e+03 5.070914993980611962e-01 4
1 -8.470121336623998332e+02 2.897951505760443247e-01 2
2 -2.312700003405549296e+02 2.700817499334231542e-01 4
3 1.521682437851396230e+00 2.762601944695148859e-01 4
4 6.877630397608154453e+02 8.547699849553898055e-01 4
3 3.837036332611289708e+02 7.604102009723562317e-02 4
3 1.958790116830615773e+02 5.843487361982689643e-02 3
2 -1.256135004319154405e+03 9.193632906038151642e-02 3
0 -5.539025505424036965e+03 9.001815735218271497e-01 2
3 4.348231183312967687e+02 8.606954662236603326e-01 0
5 6.831919158747517713e+02 5.402246557818876464e-03 2
7 7.503516332368654957e+02 2.267182247314708243e-01 4
2 -8.115319397065552494e+02 5.327693697254829441e-01 2
7 7.550137495475532887e+02 8.174554745489988061e-01 2
4 5.910933474251257849e+02 2.448179046491203228e-02 0
1 -1.627604168868553643e+03 6.751688261841337635e-01 2
3 3.115011729263841289e+00 4.987042302807476180e-01 4
8 7.599378261504732563e+02 7.474916558091155849e-01 2
5 7.304155601161489813e+02 9.119286972354299081e-01 4
3 5.916697337109745831e+02 3.713276033457271197e-01 3
10 7.638495652291434226e+02 6.964695528840856298e-01 1
10 7.635288775022193022e+02 6.240838834587336681e-01 4
0 -5.780946688532965709e+03 4.271095476090289722e-01 2
6 7.383208635332150607e+02 6.894965660359548831e-01 4
9 7.627563863144403058e+02 1.715296228088039610e-01 4
2 2.451313018978686387e+02 5.401629290337335298e-01 3
4 5.868262827258758989e+02 9.840381326162535025e-01 0
9 7.640183760706386238e+02 7.049517549045599685e-01 4
0 -1.707991402433250914e+05 6.035742679760147666e-02 3
12 7.650547021568111177e+02 3.833930303748212531e-01 1
4 6.380820024303365017e+02 8.427322040280370574e-01 3
0 6.717930343234828570e+02 8.140304576689820770e-01 3
13 7.652767613144977759e+02 8.987244313566041809e-01 4
11 7.650340866275823828e+02 2.354874842594785900e-03 3
8 7.647074422094365218e+02 3.458047895036764907e-01 3
4 5.920424748937617778e+02 3.481299266184453844e-01 0
14 7.653988790289247390e+02 7.186057188411505425e-01 4
8 7.631588631883121252e+02 5.352444016598479903e-01 2
1 -1.034939137717789345e+04 1.720629504280193345e-01 1
2 -4.352807231951230449e+01 1.645479518843200387e-02 0
14 7.654555220499669304e+02 6.574529774942096116e-01 2
7 7.564317342129767212e+02 2.578315880829855633e-01 1
15 7.655024421922414604e+02 7.058559105193715766e-01 4
10 7.648950242241080559e+02 9.711536228841333163e-01 2
16 7.654714879244750136e+02 9.328714716925522454e-01 1
12 7.653941821978245343e+02 8.844879514290848732e-01 0
11 7.647626751297198098e+02 9.031698694753224066e-01 0
4 6.487008601041911788e+02 2.370846514213014178e-01 3
2 -7.192377269328834473e+02 4.776106139125371186e-01 3
2 -9.243366280264187935e+02 4.557667089769425889e-02 3
5 6.346907267389256049e+02 7.132326295854678477e-01 2
