# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32978 32978 12009 32978
-1.009289095650608648e+00 -1.566959258184566715e+04 6.217071094716316582e-01 28944 32893 18994 43763
-1.854276407374147784e+00 -2.892008997603240914e+03 6.356676466812562210e-02 26292 32892 20231 50534
-2.774493434683378279e+00 -6.274356952124846885e+02 2.345323832235324812e-01 24390 32863 24489 51874
-3.537850256995328291e+00 9.286964199760211613e+01 7.025207715875153580e-01 23250 32839 20047 55893
-4.561835631624719056e+00 5.196594596479947086e+02 3.008083591554277514e-01 22069 32818 18479 51863
-5.591941174754120780e+00 6.724415283071012936e+02 8.073726478968747955e-01 20697 32786 16225 50293
-6.714987537022018671e+00 7.258237549682271492e+02 9.681507714756687477e-01 19604 32806 16037 47815
-7.801439053150819980e+00 7.424150230789305169e+02 7.778205721448644416e-01 18204 32978 15436 47839
-8.923927696034231971e+00 7.490470473700858065e+02 1.805670154374450220e-01 16246 32938 18864 47155
-9.845177601330586725e+00 7.527785700626254766e+02 7.738007506645895317e-01 14812 33060 15043 50692
-1.104605825062114732e+01 7.560305204321791734e+02 5.515562850551027907e-01 13735 33068 12854 47182
-1.232465006771771243e+01 7.584288521112850958e+02 7.232421738343999262e-01 12757 32885 15170 44857
-1.340304485729587824e+01 7.599864498966194333e+02 5.824038408405227685e-01 12128 32717 20607 46911
-1.423598313760963308e+01 7.609339866486911887e+02 7.028950870150072472e-01 11563 32685 18325 52015
-1.527671839786137653e+01 7.619477279800611313e+02 4.995626892444859912e-01 11079 32415 19603 49696
-1.621099913010553806e+01 7.627092700585333205e+02 4.986305427276596092e-01 10725 32566 22319 50997
-1.704667912572062960e+01 7.632174146132392707e+02 3.459842201707131193e-01 10404 32581 14058 53033
-1.835281543191713283e+01 7.638749178233373414e+02 2.963340977452524339e-01 9776 32464 10807 45490
-1.975508521517600613e+01 7.644600424641605514e+02 6.172949684713729263e-02 9535 32490 20010 42810
-2.053037985640632712e+01 7.647212331101954987e+02 2.688121999600867618e-01 9087 32371 28231 51768
-2.115564094412218310e+01 7.649072962074457109e+02 6.630844795085391041e-01 8972 32346 15306 59759
-2.249602683293015915e+01 7.652783849284951430e+02 6.476615403472939514e-01 8540 32180 18838 46889
-2.341327530721438777e+01 7.654680552030366698e+02 8.468544015269818814e-01 8190 31525 31449 49723
-2.389670753363103728e+01 7.655632067016051678e+02 2.089581121951741838e-01 8136 31547 10644 61699
-2.560024159057331872e+01 7.658492763606910785e+02 1.188269115160747180e-01 7663 31459 16786 41590
-2.651383024292463730e+01 7.659644578636243750e+02 6.339438620535668978e-01 7675 31556 22920 47707
-2.726156799693918842e+01 7.660550198304422338e+02 1.274443141602881191e-01 7505 31363 12608 53630
-2.867838148626295691e+01 7.662157600601112790e+02 4.913356228629737199e-01 7393 31393 6409 43355
-3.049371108252163154e+01 7.664061983101858004e+02 6.586281913736701243e-01 7084 31292 0 0
