# level_assignment log_likelihood tiebreaker ID
0 -6.407327581142539202e+03 9.313831178604086158e-01 3
0 -1.489913655408912382e+04 2.998467129761594463e-01 3
2 -1.900503017384226894e+02 1.757168595090003449e-01 4
1 -1.325611890562969620e+03 7.028919072739875373e-01 3
1 -2.851574060565391846e+03 1.136437665794587382e-01 0
1 -6.453070756156790594e+03 8.977092394893224636e-01 1
0 -4.495775585878977290e+04 8.963053240160107071e-01 0
4 6.480155659937777273e+02 6.576642187919116145e-01 2
2 -2.052608633319949149e+03 7.018279633038129184e-01 3
0 -1.293874099756758951e+05 1.069364692556873386e-01 4
5 5.935792696617804722e+02 1.713401256563109876e-01 4
2 -2.790866419487983876e+03 1.499521221117592340e-01 2
2 -1.354869226575699940e+03 4.947561153440441784e-01 0
4 4.930439430167756996e+02 7.265077946682829690e-01 2
7 7.370074551383397647e+02 9.143348825173390759e-01 4
5 5.976712325504937553e+02 4.965169773938549191e-02 0
8 7.447307618547931725e+02 1.464313065673734648e-01 2
6 7.287406699253615443e+02 1.816378891268690954e-01 1
0 -2.579949853724028344e+03 6.294435798985490438e-01 0
6 7.524295347291825919e+02 2.041461750047229018e-01 3
10 7.548679759732290222e+02 6.409547721857653535e-01 4
3 3.030859753882418772e+02 4.980671422045837016e-01 3
5 5.879352755271311253e+02 7.170824346813019501e-01 4
0 -9.553528300849741299e+02 4.086787620564333867e-01 1
3 5.176198682288140844e+02 4.515551744979277582e-01 0
11 7.565354384960048719e+02 9.577763616817182024e-01 3
6 7.061994508534937722e+02 9.842456685746259204e-01 3
2 1.480865512636955543e+02 1.901222862442566996e-01 2
9 7.513015609033758437e+02 6.156298797067839557e-01 4
2 1.483227439026514105e+02 4.129801973508494262e-02 4
2 -1.879572819349756173e+03 5.475484580297356185e-01 4
12 7.610000025130348149e+02 4.371885069614739883e-01 3
10 7.551485913798171623e+02 3.629261242914645913e-01 3
9 7.494497355148012048e+02 8.115446113576746390e-01 4
11 7.566835838934637195e+02 3.908159765195726720e-01 4
13 7.608477494928746410e+02 2.876959513966057536e-01 1
4 2.857163353035521141e+02 8.960684559250867709e-01 2
3 4.977274266332237858e+02 8.299482947049385828e-01 1
0 3.073411009347844924e+02 9.753315428367737017e-01 2
0 -4.108704080794925540e+04 4.019954537335025946e-01 2
10 7.540152608059711383e+02 6.840759985290213729e-02 4
10 7.530957580744142206e+02 4.697669795370966739e-01 4
13 7.607810770180042255e+02 5.821279469264324380e-01 3
13 7.607062997913674280e+02 7.736231131403945582e-01 0
3 6.081375112621809649e+02 5.867359840106475266e-01 3
7 7.320916422827750694e+02 5.050771096871249366e-01 2
7 7.368934198626998295e+02 7.879877755262705286e-01 3
14 7.611616637257091043e+02 6.669829321765852193e-01 1
14 7.618923147771338336e+02 4.312776352612104347e-01 3
7 7.383695855890462099e+02 5.489371417122868024e-02 4
9 7.494653058409421647e+02 9.155414291662808957e-01 4
15 7.628648957650993907e+02 7.939117286452652689e-01 1
3 2.237143568490218399e+02 9.177933132343106815e-01 4
12 7.610690107397882684e+02 7.820097834451952279e-01 1
0 -1.041006851403839246e+05 7.229645087392480574e-02 4
4 4.901470376864181162e+02 5.907082285593165949e-01 4
3 -2.477998740875200951e+02 9.431220586799174965e-01 3
17 7.643177267295734509e+02 9.360376960054291873e-01 2
10 7.551814545856283303e+02 5.843818581720507943e-01 1
17 7.639833608601400101e+02 1.742451625592223163e-01 2
11 7.565070714309508730e+02 3.645948089310039886e-01 4
9 7.508714435714525735e+02 9.839150351042746934e-01 1
16 7.642962742222259749e+02 4.800231479123684419e-01 4
1 -2.105613600400315136e+03 2.555955144939283663e-01 0
2 -8.609029909614874896e+02 4.812193870113148364e-01 0
17 7.634889864194806250e+02 9.102265415986062758e-01 4
18 7.644305703483337311e+02 2.285745234082963151e-01 4
5 6.071903366022827413e+02 3.408757564972820231e-01 0
10 7.534284435905713053e+02 5.820018601152683324e-01 1
17 7.643764195244011717e+02 3.147212197506203957e-01 2
19 7.649255476024127347e+02 6.823269194848080588e-01 3
20 7.647376690845924259e+02 9.536934554288317711e-01 3
21 7.650466054990451994e+02 4.532624295460391251e-01 3
18 7.639609111007953288e+02 3.278430869384152402e-01 1
19 7.645021898348322793e+02 5.344634406359745071e-01 4
17 7.638989187415754714e+02 8.379214671489912947e-01 0
16 7.633072344829488429e+02 5.475616634675795069e-02 4
20 7.647720736517786690e+02 2.878963801049533866e-01 2
19 7.647332722271535204e+02 4.474625543149368667e-01 0
21 7.652947156290322255e+02 5.061632779726453757e-01 2
15 7.625617267851928318e+02 2.744272682146208786e-01 0
21 7.652562803634710917e+02 7.031126803125103963e-01 2
15 7.620469321691126652e+02 1.678304274068374013e-01 0
16 7.639094766822265683e+02 8.264077280623833843e-01 0
21 7.650472040131023732e+02 2.582678423216397401e-01 4
16 7.640277918796715539e+02 6.211961025432730654e-01 3
22 7.658087580964119070e+02 5.599485788576425982e-01 1
8 7.465525549176012419e+02 2.829849607654288945e-01 2
20 7.647649725543308250e+02 5.705792350896464749e-01 4
10 7.545332225064815930e+02 1.199149730973303463e-02 2
22 7.653914404510119311e+02 1.324097159940987589e-01 0
21 7.652591532019482656e+02 7.466295116112280361e-01 0
20 7.648689629440264071e+02 1.683206257539198447e-01 0
23 7.656086625143288984e+02 9.266538164040665215e-01 1
23 7.656554752121958245e+02 3.760098596906986113e-01 4
22 7.656046273658018890e+02 4.564792017465557628e-01 4
21 7.649985735954916208e+02 6.956807857630088465e-01 1
17 7.632660644936102017e+02 9.979122095065379172e-01 0
23 7.655998775791656499e+02 1.022469285656044669e-01 3
13 7.611170208440114493e+02 9.897273732017310977e-01 2
16 7.638766996093597754e+02 4.040793889605984734e-01 0
27 7.660768696658624322e+02 7.164916488992716381e-01 4
18 7.638887358774911718e+02 1.321950846731736462e-01 0
25 7.658857490574923759e+02 1.447297083785757110e-01 3
16 7.632847662153121746e+02 2.302249145785587592e-01 0
26 7.659729675672197118e+02 7.449874075260221051e-01 3
26 7.659689907165691238e+02 3.447908305869711310e-01 3
20 7.648898752203438107e+02 4.219467765131771492e-02 2
6 7.381147894783338188e+02 9.526271147098649417e-01 0
5 5.573693833921862506e+02 3.850316829900766180e-01 0
28 7.662540599557933092e+02 8.937994766295387361e-01 1
29 7.665501983621375075e+02 3.175765383393642019e-03 4
8 7.524276905890466196e+02 9.267608006590126735e-01 0
1 -3.839999338950975016e+03 3.038983320262599874e-01 0
29 7.664136995501908132e+02 7.190768030065441963e-01 1
28 7.662733084511107791e+02 1.340556222841625122e-01 4
27 7.661971759534760622e+02 1.744679350932000494e-01 2
26 7.662252455185575855e+02 1.706588247094202870e-01 2
22 7.662344701479178184e+02 9.748591551210520345e-01 2
23 7.654724465120348214e+02 2.280786698988893912e-01 3
22 7.654576573787335292e+02 5.202882268372555075e-01 3
5 6.384460040439275872e+02 1.949420154984133902e-01 0
22 7.658328714130407207e+02 6.815025453666143651e-01 2
27 7.662482472515839618e+02 2.630873402513061454e-01 1
19 7.652689585109260406e+02 6.576026809708430676e-01 4
6 7.131469417244827582e+02 6.841843672171563639e-01 0
17 7.632367529060823017e+02 9.898719592843178150e-01 4
20 7.647238526707768642e+02 1.493027488967157979e-01 3
25 7.659759397379882557e+02 3.527498212016992873e-01 2
27 7.661048959170702801e+02 2.616913052929749628e-01 2
12 7.612326572023769131e+02 8.357150475600128026e-01 3
12 7.603820534180944151e+02 7.083719244187847153e-02 3
25 7.662691122119726970e+02 9.046546637864434359e-01 1
5 6.891588941676964168e+02 4.172059444724178223e-01 4
8 7.529253971399393777e+02 2.485599534835616353e-01 3
14 7.616119226776096411e+02 1.254189309885727077e-01 2
2 -8.182405497351844588e+02 7.951631842529486086e-03 3
3 8.970385299527089273e+01 5.521132620529384250e-01 0
19 7.645456024558786794e+02 4.164780963651821266e-01 3
8 7.521271421877680723e+02 1.603756753129102763e-02 0
11 7.566413743840132611e+02 7.262642808233286118e-01 4
16 7.637511783847862716e+02 3.463542799282173235e-01 2
12 7.627433836934026203e+02 8.964279155606447169e-01 0
8 7.484949210423264958e+02 3.012869092925765310e-02 0
8 7.455352543252240594e+02 9.503987541291253338e-01 4
14 7.610167763202355218e+02 1.187648024850460476e-01 4
23 7.654951154108936180e+02 7.179491001827930097e-01 1
19 7.650118788768894547e+02 9.443885773691840235e-01 3
2 -5.567046715041724383e+02 1.797953634177543725e-01 0
4 4.048340127740262346e+02 1.208342107419732581e-02 2
10 7.558138745523883699e+02 4.856298872606323869e-01 0
28 7.662163610003858594e+02 7.602844446667513800e-01 1
12 7.585903771838654848e+02 2.762259590443386648e-01 2
16 7.631395484990563318e+02 5.615327148282723835e-01 3
11 7.571576844079253306e+02 2.685436060557231386e-01 2
10 7.542166936656221878e+02 1.446526298211852080e-01 4
17 7.633494378694576881e+02 1.173986573080716689e-01 3
10 7.530441244322016701e+02 7.954993185025209801e-01 3
6 7.244458454241000709e+02 2.082782039881827529e-01 3
10 7.592717720595785522e+02 7.395519613674893522e-01 0
12 7.587176003523794634e+02 5.919398339107651008e-01 2
24 7.657801007671481557e+02 1.125377386307263583e-01 1
22 7.653151926870940542e+02 2.675055231225655916e-01 1
9 7.522131652054447386e+02 6.860638795800211298e-01 4
3 -5.382621834396734357e+02 9.779279439011371311e-01 3
11 7.561436090896627320e+02 2.516590059257364231e-01 0
4 3.697787015452149717e+02 7.746952174689841764e-01 2
3 -4.933559461139305427e+02 5.452573100687917451e-01 2
9 7.539823155996019750e+02 4.186681720643285476e-01 2
14 7.618122315060812753e+02 3.347506367006936046e-01 3
24 7.656210412715449820e+02 2.859152432849043635e-01 1
16 7.627788800887460638e+02 6.860273305457287307e-01 4
18 7.642453550041170729e+02 5.379770329820381392e-01 4
1 -8.422568688374738031e+02 9.171230885990994119e-01 2
0 -1.521582213364616618e+05 5.316616644253070040e-02 0
29 7.665118258467080068e+02 8.264125620048452525e-01 1
29 7.664947594902073433e+02 6.442417226780097206e-01 1
10 7.545426254063268061e+02 5.515388140338056688e-01 2
8 7.455514690052502829e+02 8.497832723414416867e-02 2
29 7.665262980994666577e+02 7.614165102518161143e-01 1
4 1.654396008990496227e+02 2.095518000648617374e-01 0
11 7.575417904382262577e+02 1.656004835716822776e-01 2
5 6.992248668360128931e+02 6.728305486453535211e-01 0
28 7.663997041652444295e+02 8.502057366206169364e-01 3
29 7.664099376306518252e+02 6.792964702903514507e-02 3
16 7.637095162009766227e+02 8.157522089411024524e-01 2
25 7.659638099467140364e+02 6.817250143969769693e-01 3
23 7.655524177473198506e+02 3.129768619605224345e-01 4
21 7.650311301581109547e+02 6.511365454968610633e-01 4
27 7.661110305186275582e+02 8.943026762157295639e-01 0
26 7.661360797256518254e+02 8.896380287783486329e-01 1
10 7.528855887716706548e+02 9.430654259710781195e-01 2
20 7.652078570540986675e+02 4.771054597782722340e-01 3
10 7.543303830090812880e+02 2.914507845169889144e-01 2
17 7.632478521723103313e+02 4.881875296821727162e-01 1
9 7.523666692015592616e+02 1.561056936540044793e-01 2
18 7.642842272103443975e+02 5.427077023255022503e-02 1
4 6.891731045187366362e+02 2.725540894865675634e-01 4
26 7.659854078593386930e+02 9.550935868384126115e-01 0
0 -4.328004244385379570e+04 9.428504639860578740e-01 2
27 7.660668102692864068e+02 1.012821199160114788e-01 0
9 7.533750730455797111e+02 2.699868959933482415e-01 2
4 6.317984339422976063e+02 5.221993168174969835e-01 4
2 -2.651154101414900651e+03 9.010230490098232181e-01 2
2 -1.132277967028606781e+03 7.483415126005787954e-01 2
15 7.632714257921509216e+02 6.090556385525414118e-01 1
6 7.501419839803678542e+02 8.136872214134834858e-01 2
14 7.609917694855453192e+02 1.089117202399050299e-01 3
24 7.656385245883967627e+02 4.069640240035514722e-01 1
24 7.662109187153289440e+02 4.656086575144076645e-01 1
17 7.636232734245228357e+02 2.854367066850627133e-01 4
5 5.912021179091047998e+02 6.553653119971597496e-01 3
28 7.663143409059255191e+02 3.328319147542684320e-01 1
19 7.660611264623835268e+02 1.815409325861296885e-01 0
13 7.612416487680801538e+02 3.136028533358370396e-01 3
19 7.646511861541837334e+02 5.936518653378038968e-01 0
8 7.537370048197210508e+02 7.882302602494201116e-01 3
28 7.663451876775283154e+02 6.956983304268238300e-02 1
21 7.649762452207626211e+02 5.111928213226850648e-01 0
22 7.654822613521221228e+02 1.269170823179255336e-02 0
20 7.649933670655016158e+02 8.140525995406748816e-01 0
26 7.659813292475239450e+02 1.241886792506430304e-01 1
15 7.629474246939437307e+02 8.918116965791540729e-02 2
2 2.436519825773567902e+02 9.171024731303312194e-01 4
19 7.647022294077835340e+02 9.154847275899344883e-01 1
10 7.561119967386900953e+02 9.567416121929879225e-01 0
13 7.622086825658982434e+02 5.683553901060893754e-01 0
6 7.516110447458527233e+02 1.259129204419636716e-01 4
9 7.500583917344783913e+02 2.227590126283369720e-01 0
3 -3.660130395349207220e+02 1.787805230632494823e-03 3
7 7.329130551577907227e+02 8.302537432287363517e-01 3
0 -1.075242552276338683e+05 7.957262140967144015e-01 3
