# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31333 31333 12431 31333
-9.311685954128579024e-01 -1.729898410324528959e+04 1.807947591572909296e-01 27674 31274 14627 42394
-1.990719235941296406e+00 -2.618082558885856088e+03 2.872566866409306807e-01 24474 31244 16393 44780
-2.995302037210634261e+00 -5.531863660331299570e+02 6.274174979603235336e-01 22529 31231 15638 46456
-4.078203325043235239e+00 3.468760607333608732e+02 7.021848714960921001e-01 19979 31096 17730 45749
-5.029401734576158134e+00 6.126941774319550404e+02 1.067887680323229838e-01 18080 31044 20251 47512
-5.890758814985336045e+00 7.088981829649475230e+02 9.285878655679784544e-01 16670 31062 19838 50099
-6.821381935350906645e+00 7.504993313965934476e+02 3.599053299029370545e-01 15431 31153 14375 49728
-8.046292473126325007e+00 7.698739529216579740e+02 5.888284475613211333e-01 14338 31086 9611 44561
-9.534548318526994137e+00 7.772072808923646789e+02 5.496300809420777422e-02 13006 30957 16900 39898
-1.040326416483755878e+01 7.789312786884581783e+02 5.032582362766113704e-01 12707 31016 18771 46674
-1.131956318427996244e+01 7.799283732208407400e+02 2.277944302774539409e-01 12047 31138 14505 48709
-1.251668765022192176e+01 7.806033125859996744e+02 5.596854456693517443e-01 11433 31250 11363 44832
-1.385993842493884465e+01 7.809295140330024196e+02 1.369240401422264219e-01 10533 30800 13015 41466
-1.500659186199996498e+01 7.810426354143475010e+02 1.958185954387835492e-01 10233 30952 24446 43220
-1.560055029439542729e+01 7.810735476175195799e+02 3.078810407410084715e-01 9813 30968 20717 53674
-1.655513651373427919e+01 7.811024738896957160e+02 6.053599366660027403e-01 9479 30998 10620 50794
-1.807662767239096979e+01 7.811222080760707058e+02 4.881517752160255408e-01 9072 31126 12751 41074
-1.923325420765940308e+01 7.811290420806117254e+02 6.643794037657299034e-01 8674 31135 11828 42777
-2.049629375379910456e+01 7.811329955345028111e+02 3.719737500298149202e-01 8014 30610 20662 41776
-2.121851065613211063e+01 7.811339361073490863e+02 8.207731041629307001e-03 7660 30426 20699 49445
-2.209659913727931979e+01 7.811346547905537818e+02 8.975491033677095443e-01 7584 30335 12030 49640
-2.348344402353378157e+01 7.811352210594523058e+02 2.632116372288921813e-01 6661 29065 8177 40211
-2.501894976086772715e+01 7.811354906013168602e+02 3.198016001184837975e-01 6613 29235 11300 36636
-2.617998332676964779e+01 7.811355849534699018e+02 8.619927908637300407e-01 6253 29151 11452 39249
-2.739248589519640831e+01 7.811356287720948330e+02 4.325117622643468995e-01 5952 29247 10849 40291
-2.867824009293796550e+01 7.811356497891315485e+02 5.049087637710281129e-01 5671 28983 19730 39197
-2.938499559376101189e+01 7.811356567230532164e+02 3.062807767605644216e-01 5693 29141 19003 48222
-3.032031277280105641e+01 7.811356617727134335e+02 7.838195796899727341e-01 5472 29244 17832 47599
-3.130325296866329410e+01 7.811356644730349217e+02 9.125288109497375899e-01 5086 29185 0 0
