# level_assignment log_likelihood tiebreaker ID
0 -1.189448293389648825e+04 9.313831178604086158e-01 3
1 -4.745629496169844970e+03 8.097801545815768165e-01 3
1 -1.066690582385818379e+04 7.497596952874797660e-01 4
1 5.296581331296432609e+02 1.527042053480819339e-01 2
1 -7.268604589670670066e+03 5.863312738239476740e-01 0
3 4.552061626660531601e+01 2.062853566278803896e-01 0
3 -1.903929374598822051e+02 7.625139026404785803e-01 4
0 -1.641457560982657924e+03 4.464924837392653667e-01 3
5 7.088745709842803535e+02 1.323409743283987527e-01 3
3 -4.006846512983312891e+02 6.963840689784220328e-02 4
4 5.131250265082398982e+02 2.893563765836780211e-01 3
3 -3.552362502708980401e+02 8.948506453526259286e-01 1
3 6.673137024073918155e+02 1.840663477336792753e-01 2
2 -1.579446819327856474e+03 6.103510000737777386e-01 1
1 -4.708544554397639104e+02 6.211030858404589239e-01 0
1 -1.598262082024765914e+04 1.313875621292388551e-01 0
7 7.628036722920639932e+02 7.957693123911510069e-01 4
9 7.779318263784696228e+02 5.544936719346357790e-02 4
4 4.829344832356255210e+02 3.416908973924052684e-01 3
2 -1.573719553944582458e+03 1.085546035735615866e-01 3
4 5.476355133474023660e+02 5.942464110614670281e-01 3
9 7.805534700400116890e+02 8.490473324654873588e-01 2
2 7.578148103209857709e+02 7.533490540585290329e-01 3
11 7.805769460980059193e+02 4.290334119370378119e-01 0
8 7.737839350527879105e+02 4.190412372129381779e-02 4
13 7.810954154068389244e+02 9.959446863097926039e-01 3
7 7.708821570682976017e+02 7.292234865818159051e-01 0
11 7.805342689312642506e+02 6.333529193253295553e-01 2
12 7.807251968144815919e+02 1.192696584604243104e-01 3
11 7.807932273914093457e+02 6.382304139348925487e-01 4
12 7.806273783725473550e+02 9.453117229765984897e-01 0
14 7.810935324154097543e+02 9.051024936163737378e-02 0
8 7.713125680430920283e+02 8.086895596053800261e-02 4
9 7.800835191285493693e+02 8.083256150129453088e-01 1
10 7.793615995650430932e+02 6.924443240487598850e-01 0
13 7.809297867539901290e+02 9.805568997030480460e-01 3
6 7.592807177567661938e+02 9.883119386560055286e-01 2
6 7.114265972272803538e+02 2.997991785825933064e-01 0
1 -2.971368578810808685e+03 7.491383381927843033e-01 0
1 6.475591786945728927e+02 7.747776462337174763e-02 4
10 7.797945332395695459e+02 7.884011095037313233e-01 3
8 7.720179139996116646e+02 5.069917167946220715e-01 2
8 7.769086658782390487e+02 2.348276906756640858e-01 2
6 7.486775645617234431e+02 8.367270414452668836e-01 0
1 -2.558735822255187031e+03 5.405611981707184599e-01 3
8 7.758500640408468598e+02 1.539841670391730588e-01 0
8 7.720961245854052777e+02 3.586929450104179296e-01 0
0 -5.772590384891117537e+03 5.533403467473944071e-01 4
5 7.351433787492442207e+02 5.756165543247712124e-01 1
0 -1.227878689283386630e+05 8.706303688379155581e-01 3
2 -2.551278505979682905e+03 1.195198800034519560e-01 3
8 7.781580327468800533e+02 6.868005862135537765e-01 1
5 7.776025465480568073e+02 3.416515674805175595e-01 4
2 -1.380954814256439704e+03 4.384542562031482071e-01 0
9 7.784217805083360417e+02 5.287469707907310745e-01 3
12 7.807412749978889224e+02 6.639473819114640740e-01 2
6 7.794256801666740557e+02 2.545943500817889338e-01 3
11 7.803559919498994759e+02 1.754558975187093806e-01 3
11 7.803306914610411695e+02 3.209075845125077819e-01 0
2 -1.448311638111164939e+03 8.619012878454989091e-01 4
12 7.806614683274090112e+02 5.286239269599741775e-01 2
10 7.795718157660112411e+02 4.192632378246547997e-01 1
7 7.597141592931191099e+02 4.751809280565724158e-01 4
1 5.193446937021383292e+02 9.680557380232033271e-01 0
5 6.468062771972763585e+02 2.966569003410022276e-01 2
8 7.753183624253310882e+02 9.082131050649487614e-02 3
3 -2.214215028863673353e+02 1.187539968532088097e-01 0
6 7.281019628162976005e+02 2.374031762430461601e-01 1
6 7.201276163951592935e+02 7.079890626514484531e-01 0
6 7.337368003531179284e+02 7.958951640484998036e-01 1
16 7.811267566251689232e+02 2.877708620147105892e-02 4
3 1.660195271888609625e+02 1.097454418500873885e-01 0
3 1.620669369276885448e+02 7.049538295485817674e-01 1
6 7.381941325444429367e+02 5.288626137621221801e-02 1
7 7.677377671419371836e+02 8.668562921160560819e-01 1
15 7.810750500072339264e+02 5.622291344015167835e-02 4
4 5.302069557711508878e+02 5.351788789824318826e-01 1
6 7.308073898190145883e+02 6.353737863600328328e-01 2
16 7.811064046623539525e+02 5.521552434120096109e-01 0
17 7.811254990075160549e+02 4.196893850177489393e-01 4
15 7.810906385990099352e+02 6.675881570121980912e-01 0
14 7.810892467070501652e+02 1.699697515337952325e-01 4
6 7.193708572937189274e+02 3.880036671726649899e-02 3
6 7.299281300711163567e+02 5.780183669144336456e-01 1
7 7.724388839136795468e+02 4.103389926373268715e-01 1
13 7.810558285781833092e+02 9.623928577407495633e-01 4
11 7.803432019769118142e+02 3.042751627518152091e-01 2
1 -2.951423077793707762e+03 9.861927165835302489e-01 3
15 7.810809964472699676e+02 3.124605649411393848e-02 4
18 7.811330662364011914e+02 4.833007288831829840e-01 0
18 7.811294888707269592e+02 1.010501991047335624e-01 0
3 -2.606278532699152493e+02 2.791775085694320202e-02 2
19 7.811332113937131680e+02 5.316539658962228243e-01 0
14 7.810652652837393362e+02 8.150876968820952584e-02 1
18 7.811305634419522903e+02 2.421646924700723291e-01 0
14 7.810889215249230801e+02 6.073949061855898890e-01 1
11 7.805195783566841783e+02 9.531695876064790740e-01 3
19 7.811345704634815093e+02 8.606820601133269300e-01 0
1 -3.837883641433154025e+03 2.485571214922225880e-01 2
20 7.811355813303841842e+02 3.887418250505171313e-01 0
10 7.790202179353800602e+02 8.048307792109032910e-02 4
21 7.811350109774651855e+02 9.996974739450603664e-03 0
18 7.811323646748315923e+02 5.345961083910140133e-01 2
17 7.811229427684402253e+02 5.471202820682201651e-01 1
10 7.792387527460457477e+02 2.467757504171872451e-01 4
20 7.811341287454160920e+02 4.073070045365114744e-01 1
9 7.784971918150358761e+02 9.849716655891928019e-01 4
20 7.811339734962178909e+02 6.586192442395369384e-02 1
19 7.811340541409817888e+02 8.213564328714744178e-01 1
12 7.809045799844067233e+02 9.986508730057576111e-01 0
20 7.811341893974838513e+02 6.295725548692261697e-02 1
9 7.801818350944654412e+02 4.074456267969583934e-01 2
14 7.810505775496753813e+02 2.004416033376354989e-02 0
15 7.811003007692795563e+02 4.690589422126743568e-01 2
9 7.792000626905230547e+02 9.266056685815584615e-01 3
6 7.126000384837618640e+02 1.872796718490847903e-02 4
21 7.811346736772765098e+02 1.044382520886251164e-01 0
12 7.808603597762876234e+02 7.793911797962720378e-01 2
22 7.811352741463622351e+02 1.360458720281283451e-01 1
21 7.811348840081027447e+02 4.244658290441053472e-01 1
16 7.811088231449120940e+02 7.267542207252482012e-01 4
4 6.336556323092509047e+02 5.517403424226836606e-01 3
16 7.811142652703827025e+02 8.223646868572441759e-01 4
18 7.811330426659250179e+02 5.452086037418671927e-01 1
12 7.806575677073115003e+02 5.086010372045544070e-01 2
22 7.811355458169030044e+02 7.693548380798951314e-01 0
9 7.772370596555994098e+02 6.032918531351323388e-01 3
19 7.811350046485632674e+02 8.986223958954070445e-01 0
21 7.811355291422958089e+02 5.231600217625909099e-01 1
22 7.811353022355799567e+02 1.382608451431138752e-01 1
23 7.811355174115674345e+02 2.571158273594159258e-02 1
6 7.783277710204176856e+02 4.119072135117040623e-01 3
16 7.811301763455010132e+02 2.804158442529665618e-01 4
7 7.807687451887636598e+02 7.116314716500977966e-02 2
11 7.807905749371479942e+02 4.430208542144735140e-01 2
23 7.811355466809114887e+02 1.551483376704299033e-02 0
21 7.811351220517558431e+02 1.585937735465146048e-01 0
19 7.811354279086992847e+02 7.529228602028206208e-01 0
18 7.811325457449485157e+02 2.278282989159338967e-01 3
21 7.811351922909375389e+02 1.293725963886940278e-01 1
24 7.811356145271258811e+02 7.067611254045071956e-01 0
20 7.811340561999405736e+02 4.105002675711464377e-01 3
21 7.811353589166612892e+02 5.760500613044586826e-01 1
23 7.811355091512900799e+02 7.997224252801266031e-01 4
23 7.811354912733520450e+02 8.680882012777509926e-01 1
25 7.811356482234202758e+02 7.239326460636963390e-01 0
21 7.811353348653616422e+02 1.398055799543420075e-01 1
11 7.799973304716563689e+02 2.979545513437246163e-01 2
20 7.811344449111010135e+02 6.958960322051344072e-03 4
25 7.811356390114608530e+02 9.446335260805012179e-01 0
20 7.811344621972700679e+02 8.158341579203897131e-01 3
20 7.811344526888764221e+02 9.658508216436753058e-01 3
19 7.811338048243495678e+02 6.645985265593333802e-01 3
19 7.811333256639433102e+02 2.359277540164797793e-01 1
19 7.811336156266550006e+02 4.421910472629004274e-01 1
17 7.811288348326620508e+02 1.330314392759937014e-01 2
17 7.811260060122240247e+02 6.299962883152167292e-02 2
14 7.810708846021232148e+02 1.493799344251662831e-01 1
23 7.811356001836519454e+02 1.556490125495628707e-01 3
25 7.811356292313948870e+02 7.065589787468692373e-01 3
25 7.811356424812263413e+02 3.631554741472154957e-01 3
14 7.810904052952910206e+02 2.664749636204586380e-01 2
15 7.811171957795477283e+02 4.760920821594328833e-01 2
13 7.810024798377844490e+02 7.325476982208591892e-01 2
26 7.811356595088190033e+02 8.401514941261080116e-01 4
15 7.810960041934661149e+02 6.612498531046286931e-01 2
15 7.810896522697306636e+02 9.844707317074785635e-01 1
15 7.810853731467332182e+02 9.694738581351436402e-01 2
29 7.811356663204286406e+02 8.057766100942043153e-01 0
29 7.811356660239564462e+02 4.038802601191577857e-01 3
16 7.811078441347832495e+02 5.410337927770940691e-01 2
28 7.811356665750690809e+02 3.762636382511053701e-01 3
1 -1.448673624713159734e+04 1.757706970991268491e-02 2
26 7.811356615003869592e+02 5.889202888417410797e-01 3
4 5.934826903578386919e+02 2.182274771422401116e-01 1
8 7.720159261835410689e+02 6.418444140916372831e-01 1
28 7.811356646949869855e+02 6.531961866766256009e-01 4
29 7.811356662469459025e+02 1.028882964634137975e-01 0
29 7.811356646543504212e+02 6.830924430619920162e-01 3
27 7.811356621425534286e+02 6.824455045994577418e-01 3
27 7.811356663506612676e+02 6.498835756695306998e-01 3
1 -1.397494329498102525e+04 9.310938065410780951e-01 2
6 7.131477992657244158e+02 7.386229902572254424e-01 2
5 6.569165702714894906e+02 8.652107947748634009e-01 2
26 7.811356669937057404e+02 1.131877860989556339e-01 0
27 7.811356626778298278e+02 4.515963467763658423e-01 3
0 -2.553546298926637246e+04 5.888889415029008312e-01 1
0 -1.189874701408412366e+05 4.198784929186041293e-01 1
19 7.811345975442621921e+02 7.667724278911745017e-01 3
21 7.811347566474480573e+02 1.460606391871963616e-01 3
6 7.214147220619047403e+02 2.291591710863363218e-01 2
23 7.811354925583672184e+02 7.994856990600172075e-01 0
24 7.811356180170922698e+02 7.188597669059429429e-02 0
8 7.771737857192684942e+02 7.139218601302663170e-02 2
13 7.810799258089707564e+02 1.388770483162888869e-01 3
23 7.811355349191828736e+02 6.226642751709272616e-01 0
11 7.806545116824105435e+02 8.409472812375706763e-01 1
25 7.811356481920104216e+02 7.141377878752780406e-01 0
14 7.810693539447105422e+02 1.696071324609256248e-01 4
13 7.810656682610949701e+02 5.541460369375383888e-01 3
2 -1.995918373829860684e+03 8.529628405384683809e-01 2
28 7.811356651953153687e+02 9.875849082390446565e-01 0
3 5.744589873811914060e+01 9.000816836092739859e-01 3
28 7.811356639812934191e+02 7.867154837267302803e-01 0
0 -1.773184745725607718e+04 7.079088237546229401e-01 2
11 7.800623407598537824e+02 5.207580238121813920e-01 4
29 7.811356653896239095e+02 1.445320507768599327e-01 0
28 7.811356656403252146e+02 2.713570259007074270e-01 0
7 7.624406319718510758e+02 8.580916922545298586e-01 3
3 1.364100486930845193e+02 7.871009703321870665e-01 1
14 7.810540853925604097e+02 4.932654747451363231e-01 4
20 7.811339697347442552e+02 9.850267457388047765e-01 0
15 7.811075613516554768e+02 1.802113128945304066e-01 4
27 7.811356669373777777e+02 4.375965164390280826e-01 0
2 -1.148604192210853171e+03 5.502812335262161625e-01 1
12 7.808337186403759915e+02 4.467268407528597329e-01 3
12 7.807620462294817116e+02 3.501436665077886090e-01 2
13 7.810391743906527608e+02 4.827716790542705971e-01 3
3 5.655970469003168546e+02 9.483531091106796040e-01 1
0 -2.375263854800870467e+04 9.085493148113200634e-01 1
15 7.810812173694404237e+02 4.515994255187889550e-01 3
15 7.810842223946797276e+02 4.386679255392194055e-01 3
16 7.811078023541342645e+02 5.143017976398145397e-01 2
17 7.811245144804915981e+02 9.718287324355823209e-01 2
21 7.811351310161912807e+02 9.748202594616444117e-01 0
21 7.811347166779305553e+02 6.889377397958162952e-01 0
19 7.811333612181061881e+02 4.850464756869783400e-01 4
20 7.811355866157493892e+02 8.867260073557696742e-01 0
23 7.811355774151146534e+02 4.744473130520962534e-01 0
12 7.806849275593041284e+02 6.263421467490554173e-01 3
12 7.807181673090742606e+02 8.585287162977954800e-01 1
8 7.726375915119145930e+02 5.630570285631684158e-01 1
4 6.567315226577948124e+02 9.480523510599133674e-01 1
6 7.589980890349106630e+02 7.950492443482228833e-01 1
3 1.298970951254327133e+02 1.689356936415098431e-01 3
10 7.803741625737584400e+02 2.970262802879410913e-01 4
20 7.811341138807329116e+02 7.376446547976098778e-01 0
6 7.422640847916641178e+02 8.390729161378374101e-02 2
21 7.811349073287215106e+02 2.460680373341439520e-02 0
23 7.811356389784534713e+02 1.999943238044166183e-01 0
1 -1.708634289132776757e+04 9.930237835969076832e-01 3
0 -1.628933734628830098e+04 9.022885442505275411e-02 1
3 5.458187845594859482e+02 8.954016781826418248e-01 3
6 7.170622842805864821e+02 1.473251539961770717e-01 3
16 7.811284001232738774e+02 4.988331242825883027e-02 2
7 7.575212146731915936e+02 7.454659973122803596e-01 1
24 7.811356488653827910e+02 7.765417026631027397e-02 0
15 7.810935216085874799e+02 2.362512216466257087e-01 4
13 7.810347728518948998e+02 5.804036350910212194e-01 4
29 7.811356647306930654e+02 3.325761516822394737e-01 0
2 3.660288419266995561e+02 8.578303592201024230e-01 3
0 -3.478304269303716137e+04 5.371861950896298366e-01 3
7 7.777945786606483125e+02 3.894308615649091365e-01 1
14 7.810986280401189106e+02 2.319157968829456129e-01 2
7 7.683728290286803713e+02 6.185401536216872387e-02 3
12 7.807811647825890304e+02 5.376411795606028665e-01 1
25 7.811356534377662229e+02 1.683347085196951198e-01 0
8 7.743984344816238945e+02 8.301770591484455286e-01 3
5 6.489791315545957104e+02 5.693942797230511221e-01 3
16 7.811290765956334781e+02 1.475041909632253123e-01 2
16 7.811064235805754379e+02 5.313461119470870297e-01 2
28 7.811356627632404752e+02 5.843815004903267774e-01 4
19 7.811333493118547722e+02 2.703708411934412775e-02 2
20 7.811344314818589964e+02 8.518135540414478735e-01 2
1 7.972304267251138299e+01 5.489552794693679516e-01 3
25 7.811356458156883491e+02 4.354887760191292895e-02 4
2 7.309402545368016035e+02 7.174376203491571458e-01 1
9 7.799117651061012566e+02 5.389900446603689277e-01 3
15 7.810996858184005305e+02 2.552498130912995711e-01 3
12 7.808162011034664829e+02 6.687290586371474888e-01 3
24 7.811356042066031478e+02 5.069971970003592787e-01 0
3 -3.669267478576268786e+02 3.793708941596851680e-01 1
19 7.811354798324949797e+02 7.456341270116788600e-01 2
21 7.811355834074420272e+02 3.176068174861297333e-01 4
0 -3.572524152798468276e+04 4.089549288096847590e-01 1
1 -2.631077905587003443e+02 3.799876108252783768e-01 3
18 7.811325654205268165e+02 1.585527510767162362e-01 4
19 7.811332130203717270e+02 8.015341737629698704e-01 4
19 7.811334044189259203e+02 4.077020519834995693e-01 0
20 7.811348330848314845e+02 8.191729297097870288e-02 4
12 7.810012556705071347e+02 2.535960751381347578e-01 1
22 7.811352462496653288e+02 8.664074897537212827e-01 2
9 7.787874411728396353e+02 5.994227876327250515e-01 1
10 7.791325794053861955e+02 4.041671387656586845e-01 1
17 7.811283115694278649e+02 9.306218590345904929e-01 4
5 7.572202371361383939e+02 3.419354364775313293e-01 1
12 7.809780619976513663e+02 4.235395791941023447e-01 3
17 7.811257395759591873e+02 5.481100410260065781e-01 2
23 7.811355340040781812e+02 4.438701570534213658e-01 0
9 7.780078286801921195e+02 8.697531325512405376e-01 3
10 7.795882512349235185e+02 3.676641551756802961e-01 4
