# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32912 32912 9658 32912
-1.204061995993134015e+00 -1.160652380771531534e+04 4.181020121235093923e-01 27680 33059 12220 41714
-2.413962337893557741e+00 -2.048816015114928177e+03 1.093400431367281822e-01 24443 33079 19946 44360
-3.225444486957084855e+00 -5.936392370252970068e+02 7.823356384296022981e-01 22480 33158 17367 51584
-4.308745082441864049e+00 2.104640856606721684e+02 2.453720899426277413e-01 20650 33209 19423 49503
-5.248073542222079446e+00 4.693062311794301991e+02 3.828038833863557922e-01 19312 33284 11762 51527
-6.690554548504210608e+00 6.530219382804059478e+02 9.873079936413087232e-01 17825 33183 12306 44378
-7.951717829869350496e+00 7.226012876302090717e+02 2.939215002825386058e-01 16726 33167 18333 44479
-8.845190205513585369e+00 7.467990682689478490e+02 1.119888862826456943e-02 16105 33008 14842 49801
-1.004186791877230256e+01 7.653485560862311559e+02 6.253154913250098534e-01 15194 32931 19113 46613
-1.093993126833219343e+01 7.721628343348971839e+02 4.971282557592804907e-01 14575 32997 16075 50712
-1.207944938530374479e+01 7.765302076196777534e+02 4.930501629105306649e-01 13886 33081 20483 48353
-1.294649088594106523e+01 7.781613505862076181e+02 6.314415130506365603e-01 13147 32707 27396 52014
-1.360503861792035174e+01 7.789234124660756606e+02 2.980457135297661653e-01 12774 32550 24198 58466
-1.449293311168112020e+01 7.795645502742103190e+02 7.437746376920451041e-02 12195 32359 21414 55558
-1.544877140743180988e+01 7.799687946876657634e+02 2.495338803165854102e-01 11621 32258 21029 52873
-1.637500545934610940e+01 7.801671016765509421e+02 8.538321561243744640e-01 11374 32249 20206 52811
-1.733792262980059462e+01 7.802915744792317128e+02 9.856108784323261984e-01 11105 32273 16353 51191
-1.847029428630082748e+01 7.803718651119013430e+02 3.702653435222060807e-01 10627 32467 13323 48358
-1.973906549418618894e+01 7.804162419655860958e+02 6.021167136780918305e-01 10094 32356 25375 45047
-2.033602470430322384e+01 7.804276936364212816e+02 5.321293834793531241e-01 9824 32408 24354 57150
-2.119620169511370023e+01 7.804391621881786705e+02 5.861697344594178904e-01 9524 32300 20212 56006
-2.221434955108882647e+01 7.804466685581712682e+02 7.573452080775811002e-01 9066 32284 13905 51856
-2.350942108357195792e+01 7.804514272111841819e+02 2.091377410260509551e-01 8580 32303 14296 45564
-2.465742730609197153e+01 7.804532541928790579e+02 9.607225667294069238e-01 8414 32347 15957 45993
-2.571214479174784273e+01 7.804542261104598992e+02 1.670670215839714645e-02 8009 32527 14263 47809
-2.690733201729475965e+01 7.804547828504672680e+02 8.489720754911245226e-01 7709 32699 12756 46343
-2.817613401024235031e+01 7.804550657746548268e+02 2.381227744488199904e-02 7520 32633 14382 44731
-2.930134921871245268e+01 7.804551888300812834e+02 8.650335572583447430e-01 7171 32624 23481 46381
-2.999964720756938519e+01 7.804552246030134484e+02 6.520258666297679140e-01 6917 32786 0 0
