# level_assignment log_likelihood tiebreaker ID
0 -3.070048008686950652e+03 1.596773640228092150e-01 1
1 -1.699807689900562536e+03 4.917635184734803766e-01 4
1 -9.488721120807465468e+02 3.935159201498998338e-01 4
3 5.466840337305598041e+01 7.672008867695356837e-01 0
1 -6.941133455000150207e+03 8.073344778384036191e-01 1
2 6.309415392578085857e+02 2.698968678365385454e-01 2
4 6.563568640942781940e+02 4.991738465983828199e-01 1
0 -1.265270053014744008e+04 2.285851757828157027e-01 0
5 6.148918789353974717e+02 5.179017635130461761e-01 4
5 5.514467805059589409e+02 6.937031537034403783e-01 4
4 3.199014366133836802e+02 2.750475558890582151e-01 2
1 1.796536531394614542e+02 6.517482380898513838e-01 4
2 -9.063559541664792505e+02 6.467305513479402190e-01 2
1 -1.484196746472476207e+03 7.148038671503480490e-01 0
1 -4.861152268949740574e+03 4.873672230654514936e-01 1
2 -1.821658038808961010e+03 2.845157213005855001e-01 3
0 -1.079188181723696835e+04 9.572576296028887377e-01 4
2 -1.033471302269528678e+03 9.388169975493418917e-01 3
5 5.787328414848218472e+02 9.303834346312616077e-01 1
6 7.126366443539627653e+02 4.277789714626221151e-01 1
5 5.816813878088138381e+02 6.402026656694632667e-01 1
0 -5.728983019762346885e+03 6.115662591742334619e-01 3
3 -3.227582412340640303e+02 6.264654319290707818e-01 2
2 -1.355253181415676636e+03 6.467871708471572001e-01 4
4 4.830179959142398616e+02 1.099843126743990235e-01 2
7 7.437967251509794551e+02 2.112751477365969188e-01 0
6 6.764896109214495254e+02 5.830969755476232974e-01 2
6 7.163875551761350380e+02 9.605921261985513881e-01 1
10 7.750771687240587653e+02 2.734108383838423917e-01 2
3 -3.165935426901985466e+02 7.085965426006368695e-01 4
11 7.788929527770534378e+02 2.424337120687042879e-01 0
3 1.255008993401911113e+02 8.016209199645214500e-01 4
5 4.982936423493338225e+02 8.968621810177134224e-01 3
0 -6.645200885381153785e+04 9.240954201258757550e-01 3
10 7.750936076039913587e+02 3.311416232594144859e-01 1
2 -1.188813124495997045e+03 3.906401454894571357e-01 0
9 7.730960613548045330e+02 6.672005420763058581e-01 4
12 7.787579683611852488e+02 6.103681584657884018e-01 3
13 7.792794488823681149e+02 3.226497355077583840e-01 1
11 7.780709445111292553e+02 5.006204202779034329e-01 3
8 7.652191578079989540e+02 2.111496253040145432e-01 0
12 7.788662641763783085e+02 2.445484795556882307e-01 1
14 7.802744657655607625e+02 1.695324530565407162e-01 2
13 7.790213831317980748e+02 1.066612964429470706e-01 1
3 1.254193402726048134e+01 4.601900978808812215e-01 4
13 7.789742903182748250e+02 5.289571508612971318e-01 2
9 7.707768256018235888e+02 4.459251996798681006e-01 0
7 7.267608043134232503e+02 3.441835180431169205e-01 0
12 7.794519599028777748e+02 2.372469481544534631e-01 1
14 7.795999443787596874e+02 4.186980281661334402e-01 0
16 7.802525310626162991e+02 5.040654468898058127e-01 3
16 7.802954140285374933e+02 2.767824345098539585e-01 3
2 -9.294614717611380001e+02 3.924231257192112854e-01 0
13 7.803383631091252255e+02 6.369390830709775742e-01 2
16 7.803494085403848430e+02 8.029615990997467367e-01 3
16 7.801710904816191032e+02 1.972342437707032825e-01 1
5 5.070577788639600385e+02 2.736819757786301821e-02 0
18 7.804349835539867399e+02 1.638725490744509794e-01 2
19 7.804256931242850897e+02 1.135013362081809807e-01 2
11 7.795093259153052259e+02 5.082696141546863000e-01 1
17 7.803628457164868450e+02 2.510865667580604033e-01 3
17 7.803081294053124566e+02 2.886426920510684613e-01 3
17 7.803204711396288076e+02 1.843607139946163154e-01 0
17 7.803515206643348847e+02 7.418732868809057024e-01 0
10 7.781794070521449385e+02 2.632049341454625324e-01 2
20 7.804299162968759447e+02 1.847626116025347931e-01 3
19 7.804468560594195878e+02 8.190707491307891441e-02 3
17 7.803679426758280897e+02 2.550553556892151685e-02 0
12 7.798636257687467150e+02 3.909016923085025241e-01 2
18 7.804119696174270757e+02 8.889344628997477571e-01 4
8 7.761437954437692497e+02 3.054557039311811550e-01 0
21 7.804494237764183708e+02 5.814196665070301417e-01 3
22 7.804466887072646841e+02 1.477916000033106803e-01 2
15 7.801487669435675798e+02 4.430153879917324566e-01 0
21 7.804485136590369621e+02 5.161766137241403651e-01 2
1 -4.282232914356405672e+03 9.009410646870321671e-01 1
18 7.803840591227096866e+02 2.286443602195483704e-01 0
2 -3.673166958085095644e+02 1.718505718544238725e-02 1
24 7.804533873960990604e+02 5.176629624889970138e-01 2
17 7.803349238487951425e+02 9.799320284981291040e-01 0
25 7.804547903716177188e+02 9.594191541072962792e-01 2
22 7.804532930980503806e+02 4.391396779710814435e-01 4
3 -4.078500297852026080e+01 8.003167512021036600e-01 1
22 7.804489250941564933e+02 3.576849676670500466e-01 0
21 7.804544680971822572e+02 3.318659425838976218e-01 4
25 7.804549626126089379e+02 8.327931832574719806e-01 3
25 7.804545744274894332e+02 4.014567705015003041e-01 2
27 7.804550962005057499e+02 8.065138197191351610e-01 3
9 7.703795060410620863e+02 4.888247117070790848e-01 1
1 -5.716142586114773621e+03 2.048752396560415967e-02 1
28 7.804552648848148237e+02 4.358132064500062630e-01 4
27 7.804550837649069308e+02 6.587960856040231405e-01 2
25 7.804548150270270526e+02 6.795434287925221639e-01 4
12 7.785670506950589242e+02 9.892539699608977610e-01 0
29 7.804552444651702672e+02 8.598905254824713573e-01 2
25 7.804543943710743861e+02 6.148019679326143239e-01 3
20 7.804327339289056908e+02 5.325457570394540596e-01 4
16 7.802154507349257528e+02 2.331098523389839583e-01 0
20 7.804333546808791198e+02 6.621155755814833732e-01 4
10 7.722095386420737668e+02 7.461931761860925993e-01 0
28 7.804552378772548309e+02 9.119685993297421689e-01 2
28 7.804552487979997295e+02 9.993409270282600509e-01 2
18 7.803953077553001094e+02 3.478553164263298303e-01 1
18 7.803730910436408976e+02 9.567039646538066933e-02 1
17 7.804002657092239588e+02 9.052291609915379400e-01 1
17 7.803619429205450615e+02 1.870079806755143292e-01 1
26 7.804549367287766017e+02 1.962192456048351963e-01 3
29 7.804552277796374256e+02 2.104270045127449862e-01 2
26 7.804550248488060333e+02 6.919062265512506693e-01 3
29 7.804552369006567005e+02 4.368684278358959672e-01 2
21 7.804521911363808613e+02 7.285545730821230137e-02 4
21 7.804406311652678596e+02 5.625407369701823646e-01 3
12 7.802537261562362119e+02 8.107920731078976928e-01 1
19 7.804422940030533482e+02 7.449827794018637483e-01 3
8 7.637187628971648792e+02 8.197032034173536985e-01 0
19 7.804472234869856493e+02 6.664144562405729388e-01 3
12 7.787843174967899813e+02 2.696277979052215112e-01 0
24 7.804548648443601451e+02 8.306103094505901119e-01 2
27 7.804551498174300832e+02 7.525476809047848548e-01 4
26 7.804551361863868806e+02 7.334354212877941537e-01 2
3 -5.084073110383170047e+02 4.804424420137591856e-01 1
22 7.804470586679046846e+02 8.369029942629387930e-01 3
25 7.804552758423674277e+02 8.679174581173129122e-01 2
19 7.804396527869987494e+02 7.294557806460340021e-01 2
23 7.804515684091909407e+02 6.502014711399484170e-02 2
19 7.804429388590683629e+02 4.399945229409993885e-01 3
26 7.804551310238481392e+02 8.873942912437108310e-01 2
3 -4.837084776583600387e+02 9.084104485573536447e-01 1
6 7.081317819365527839e+02 5.198274319384275088e-01 0
24 7.804551644470452629e+02 3.808508961104242752e-01 2
9 7.712725358322962848e+02 1.176811978289263733e-01 0
20 7.804359798354818167e+02 9.080979244806428596e-01 3
10 7.747581647536472929e+02 4.721553100550597293e-01 0
15 7.803863825723090031e+02 1.929142427091523615e-01 3
28 7.804552194095526829e+02 2.040076759108746529e-01 2
23 7.804532373260237819e+02 8.774192301606811295e-01 4
22 7.804470637744429951e+02 7.460707920336595578e-03 3
20 7.804280679089338264e+02 3.461811541819335702e-01 3
15 7.802812741711159106e+02 9.786444193515753120e-01 0
3 -4.901217882029178554e+02 2.600907815228978848e-01 1
25 7.804548835608688933e+02 9.806485873327885905e-01 4
27 7.804551039142227182e+02 7.563323732737075034e-01 2
12 7.799368358189643686e+02 9.025661635220783019e-01 0
10 7.737461823685807758e+02 9.897785682445033872e-01 1
19 7.804419767603692435e+02 4.103347321269232850e-01 3
24 7.804539261627647875e+02 1.532561372721745752e-01 4
27 7.804552633921935012e+02 7.326985765765878789e-01 2
14 7.800128013777473370e+02 4.555720477848156924e-01 1
15 7.802912926101450921e+02 8.067671776047072862e-01 3
27 7.804551626818690693e+02 8.961035125676761193e-02 2
10 7.788206534795804146e+02 6.193434566416101683e-01 1
20 7.804486759360022461e+02 7.131837003025186528e-01 3
10 7.729703268954892792e+02 4.932749744450113383e-01 4
28 7.804552233438419080e+02 5.790692384284856775e-01 2
12 7.784477188793316600e+02 3.467128499047721080e-02 4
18 7.804318272103319032e+02 5.266460633361016441e-01 3
1 -1.849444034557065606e+03 6.071617183123612094e-02 1
29 7.804552594289980334e+02 1.678461795343544338e-02 2
13 7.800186540698689441e+02 6.624400884006227397e-01 3
28 7.804552309902594516e+02 7.740811234075927194e-01 2
3 5.257462266575390686e+01 1.347769254052906263e-01 4
29 7.804552758411978175e+02 6.072172522659124994e-02 2
11 7.767652778428655438e+02 9.592948396431975056e-01 4
13 7.793372010556788609e+02 4.346558121222581783e-01 4
0 -3.370025483318076294e+04 8.207294159915679010e-01 3
14 7.795731767058996411e+02 5.162552324909972512e-01 4
3 7.494073157082340231e+01 2.360753044507468701e-02 1
22 7.804502558914376777e+02 7.256419965987361831e-01 2
13 7.789501035947887431e+02 1.649435587729293218e-01 4
11 7.771637817595455999e+02 2.966867890489087722e-01 0
3 9.960112501112999439e+01 6.648935613736715045e-01 1
16 7.802517985967585901e+02 6.839224959822054473e-01 4
0 -1.146793227829725511e+05 3.782672319293373664e-01 1
13 7.789439643502130366e+02 3.970446632031121581e-01 4
20 7.804321299187696468e+02 4.210430891704497469e-01 2
13 7.797728596251920408e+02 4.829179526346614182e-01 4
8 7.694918549439698836e+02 7.424532837520946005e-02 3
13 7.794642849588482250e+02 5.911884147085899599e-02 4
8 7.659541331311252179e+02 7.501050781029467984e-01 3
1 -1.660931159927881026e+03 2.802020694752860308e-01 1
5 6.382423559761712113e+02 2.179116047321727478e-01 3
20 7.804328647067857219e+02 1.735166516273538850e-01 2
15 7.799718564619872723e+02 4.147841636675724253e-01 4
13 7.792767228770769634e+02 2.508327949741722129e-01 4
17 7.802938583531921495e+02 5.607649759058463967e-01 0
1 4.926055692735122875e+02 6.297721509229603498e-01 1
14 7.797307966035870095e+02 5.610065018507699452e-01 4
17 7.803547670967949443e+02 5.868660061624201285e-01 0
12 7.796311371048712999e+02 8.884854934572469221e-01 4
4 5.491284188896280511e+02 3.690850349696444543e-01 1
17 7.803866911894675695e+02 4.373639131758946808e-01 0
18 7.803907250441448014e+02 3.010438836854510691e-02 0
0 -1.739471728072928672e+05 6.992483814678465137e-01 3
17 7.803972485307114084e+02 9.200261573144044025e-01 0
14 7.801530330294588111e+02 1.958467604795304795e-01 0
9 7.657739254567206899e+02 1.181624849245348774e-01 1
28 7.804552209888125844e+02 5.336014912123810960e-01 2
10 7.791219050741990486e+02 3.138566200211093671e-01 0
9 7.668540914392448258e+02 2.912200681332613450e-01 0
23 7.804523593320020609e+02 6.210055542799963746e-01 4
8 7.503607751366586172e+02 3.644613144893655288e-01 0
21 7.804540218748594498e+02 8.306361249959345328e-01 4
19 7.804164904044996547e+02 9.619807973209799634e-01 3
13 7.790198436927475996e+02 1.419264685346806887e-01 0
20 7.804304619638495524e+02 1.473662675798873833e-01 3
23 7.804546781181031747e+02 9.124352501926139558e-01 4
15 7.799718649437858176e+02 6.957708026529836332e-01 0
22 7.804483871161406796e+02 5.546688590041979339e-01 2
19 7.804174427485576189e+02 7.874396972663978700e-02 3
23 7.804520553499303333e+02 9.478503111173114393e-01 4
3 -1.318611432587637751e+02 8.328475782190466470e-01 1
17 7.803628120348366792e+02 8.440728243109723028e-01 0
21 7.804511673124100071e+02 7.196453429287197334e-01 4
17 7.803705906594075259e+02 8.059873545913101012e-01 3
24 7.804537087088212957e+02 5.112997675993727897e-01 3
21 7.804408010907800417e+02 5.005351372480032479e-01 3
8 7.516875628431212135e+02 2.488782759420404833e-01 1
29 7.804552294292235501e+02 7.337587738359836464e-01 4
28 7.804551991072614783e+02 9.251223320990531462e-01 4
25 7.804546814006870363e+02 9.793420656104760980e-01 2
22 7.804532524657906833e+02 3.695603506758569079e-01 3
29 7.804552438366332581e+02 4.028122293706806190e-01 4
29 7.804552473724727406e+02 4.105713213110147031e-01 4
25 7.804542831028271621e+02 5.874967628917087126e-01 3
25 7.804545189487085963e+02 2.965181536988741318e-01 3
22 7.804516785543545438e+02 5.414168650734669797e-01 2
12 7.793080512693724131e+02 8.265066901041667746e-01 0
28 7.804552278199283819e+02 6.004010551443045296e-01 4
21 7.804444782911709808e+02 7.372713743826939670e-01 3
27 7.804552385475882375e+02 7.165632703398129300e-01 4
15 7.801736874781080360e+02 6.064274806215617097e-01 2
4 2.390074174766959914e+02 5.600377003888237226e-01 1
28 7.804552484685648324e+02 2.262153156767896245e-01 4
27 7.804552112722018364e+02 7.712073005347144239e-01 4
3 -2.965616785479894020e+02 4.003766605799317091e-01 1
24 7.804544751909157867e+02 6.583843133108180368e-01 4
6 7.571926563285372822e+02 1.493739335290927561e-01 1
21 7.804416379235899512e+02 2.315039753713232784e-01 3
6 6.854509315337447788e+02 7.657238648976049111e-01 0
1 -2.160512836635015447e+03 8.081450102888950715e-01 1
5 6.446814848600447476e+02 4.353555307566033816e-01 0
0 -1.320362741563741583e+05 4.810871194507574944e-01 1
26 7.804549970205385989e+02 7.117863075888607449e-01 3
29 7.804552408068611840e+02 5.284162336506396940e-02 4
24 7.804547939049587058e+02 4.547498547453409090e-01 4
25 7.804549047733339648e+02 2.225466090116889339e-01 3
5 6.313641060759957782e+02 4.913091537491123262e-01 1
28 7.804552353049627982e+02 2.242193739964372934e-01 2
2 -1.557413796803234845e+03 3.892178263614368694e-01 1
1 -2.101385771534807191e+03 2.132689709194033334e-01 1
3 -1.534982696043543910e+02 3.932653150492957383e-01 1
7 7.614698036672284616e+02 8.283058014389759194e-01 1
16 7.803219890751032608e+02 7.721640075211624321e-01 3
27 7.804550678303729683e+02 4.257094812223251590e-01 2
