# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31961 31961 12047 31961
-9.778642942725170872e-01 -1.591351642326168803e+04 6.753594869873913442e-01 27946 31918 15966 42823
-1.965392909867770932e+00 -2.856172245494699382e+03 2.748917117848825170e-02 24654 31927 14369 46728
-3.132295963259818627e+00 -5.634269614456186446e+02 3.603246779868160554e-01 21556 32055 15055 45480
-4.230647104767690792e+00 1.729801265978265405e+02 6.007047063591088032e-02 20153 32213 18060 46206
-5.173829852920627914e+00 4.635388707665697439e+02 5.297361007814853640e-01 18941 32269 17063 49077
-6.226797166984912479e+00 6.376917412036804080e+02 8.483840860687873464e-01 17741 32244 13741 48293
-7.465859419408550579e+00 7.187760166389964525e+02 4.706979557837690509e-01 16775 32315 10997 44947
-8.841157504219275154e+00 7.558716270877446277e+02 2.987283180734318644e-01 15663 32319 16732 42593
-9.779924114863245421e+00 7.669373905748752804e+02 6.053107912936019908e-01 15070 32371 18756 47879
-1.072086750877254602e+01 7.731045399638446725e+02 9.013866454476117118e-01 14436 32428 13204 50083
-1.203082115982489952e+01 7.775018166243551150e+02 5.732889010112331984e-01 13738 32439 12584 44918
-1.328284975212858043e+01 7.791780085889469092e+02 4.644744304560300407e-01 12871 32258 16239 44225
-1.428459904725800911e+01 7.797747917288793360e+02 5.628242428091642102e-01 12292 32283 14164 47389
-1.547795047710975602e+01 7.801308683334834768e+02 2.952184226021001279e-01 11591 32261 18954 45995
-1.637139283467170969e+01 7.802508307385771786e+02 2.952184226020575508e-01 11350 32326 15155 50078
-1.755391964670721450e+01 7.803388862345379948e+02 6.091413938847434206e-01 10489 31758 14975 46385
-1.867565007234995278e+01 7.803832273863064302e+02 6.936523589084058194e-01 10177 31519 11144 45899
-2.005852721016548657e+01 7.804082389620923550e+02 3.146874340046643681e-01 9464 31308 23895 41791
-2.064294220191871077e+01 7.804137943728039772e+02 9.018028899101704354e-01 9224 31321 26691 54595
-2.137220174408374973e+01 7.804183991846668960e+02 7.288858319803988017e-01 9030 31325 20400 57379
-2.240453279397878461e+01 7.804218817025046064e+02 3.262255915254135830e-01 8561 31371 32356 51134
-2.288686390639852775e+01 7.804228073101251084e+02 8.345291308051270285e-01 8577 31362 26347 63083
-2.376566578699543086e+01 7.804239579812815464e+02 6.772102053410602451e-01 8071 31320 16637 56573
-2.497637225243649084e+01 7.804247286883464767e+02 2.687600828558172616e-01 7743 31271 11001 47348
-2.640004351700349616e+01 7.804251198351392986e+02 2.778773027882532887e-01 7405 31338 7283 41718
-2.807031502278117685e+01 7.804252753209478897e+02 5.874254561061744706e-01 6747 31368 14434 38005
-2.904085834563066371e+01 7.804253029339415662e+02 4.819222512046790752e-01 6553 31566 20588 45353
-2.984306084609348275e+01 7.804253177452708314e+02 1.411399589496534490e-01 6576 31634 18237 51571
-3.088024249556398715e+01 7.804253300252593135e+02 2.416444359674331521e-01 6361 31798 0 0
