# level_assignment log_likelihood tiebreaker ID
0 -1.516383567069389574e+04 3.798980599434820249e-02 2
0 -1.856486797540092311e+03 5.019359299456037649e-01 1
2 -6.239393890835316370e+00 1.025804971978966224e-01 3
3 5.861431985171607266e+02 9.069841222590444563e-01 4
0 -4.982161384426154837e+04 5.516898448120548526e-01 2
3 4.943345917278879824e+02 1.409107908428566813e-01 2
4 4.406071358280817094e+02 6.872230061403183932e-02 0
4 7.132083047087924115e+02 6.081143399142916461e-01 0
5 7.111429389073399534e+02 7.987797241694387651e-01 0
7 7.665531573910361658e+02 7.230468661774119843e-01 3
7 7.599608991376975382e+02 1.403067839089192637e-01 1
1 5.947974249630285613e+02 8.197492527140519680e-01 4
4 7.269434131925370366e+02 6.847994576327095517e-01 4
7 7.719687399897005662e+02 5.046786403820799904e-01 0
6 7.726068356805271833e+02 6.177459224407471083e-01 4
4 4.165953956405811596e+02 6.777705388050433433e-01 2
9 7.782185177163855769e+02 7.226176729322292269e-02 1
7 7.636109518915368426e+02 8.734000173327771677e-01 4
10 7.798151048634906601e+02 9.413296324187072628e-01 4
2 -1.783153865220900570e+03 8.057856080565024559e-01 3
3 -4.434782458953584410e+02 9.311056391755192507e-01 0
5 7.614009205412323809e+02 4.926613932793260653e-01 0
1 -7.152538138912546856e+03 8.192769213743907875e-01 1
12 7.803663381091195106e+02 6.682647221480001454e-01 4
3 -2.732167643129820362e+02 6.105557699353671985e-01 2
13 7.807351426478121539e+02 5.981616519200394499e-01 4
7 7.586983645714910836e+02 3.211770922280237639e-01 1
2 1.838498929036437346e+02 9.249822506959048951e-02 2
11 7.797600254060700991e+02 9.092139288612495207e-01 0
10 7.796718943985563328e+02 3.148536070686802635e-02 0
2 -1.187158068429013611e+03 1.437486681920034925e-01 3
13 7.809078721422689568e+02 6.665188359306414290e-01 4
2 -1.222306057710035930e+03 1.963226601243446279e-01 2
2 -1.065661297571725299e+03 3.091838959204662451e-02 3
4 5.294716347878379565e+02 3.051354013591833780e-01 2
6 7.366300970917770883e+02 4.338746927450713997e-01 3
15 7.810073651338316267e+02 6.422828509399123309e-01 0
7 7.618389070986452225e+02 6.097641196909823202e-01 2
9 7.757387655027027904e+02 8.937420020048469568e-03 2
5 7.007715936959044711e+02 5.787472933413078113e-01 2
14 7.810534025281745016e+02 7.591871377336996130e-01 3
2 -1.790685275672619355e+03 9.690729454912672125e-03 2
16 7.810766852227375239e+02 9.178369287828971324e-01 3
0 -3.057543144416580162e+03 8.125324484001286152e-01 4
9 7.797119778364908598e+02 1.521751069821374314e-01 3
14 7.809592674710143001e+02 6.170469934069565676e-01 0
5 6.079441269244371142e+02 3.570604142428374095e-01 3
17 7.810676759355325203e+02 7.547413200839832026e-01 1
6 7.380673764195064450e+02 2.861133139004579107e-02 3
6 7.723456885326228303e+02 2.015828818711520309e-01 3
3 7.487579781341817409e+01 7.961670488208865137e-01 4
17 7.810722112557716628e+02 7.893663694087194038e-01 1
11 7.799427667654713332e+02 8.601960700348553202e-01 3
17 7.810768139992919714e+02 4.468995214458058030e-01 2
14 7.809657046865054326e+02 2.286524860994965103e-02 0
18 7.810722158969540487e+02 3.529509232478812431e-01 2
13 7.809752167520485955e+02 3.233410600069697161e-01 1
8 7.711535906678664105e+02 4.235682604792785355e-01 0
10 7.787201468790257195e+02 2.525045232738161172e-01 0
10 7.783616750474784567e+02 2.445051627808902395e-01 0
9 7.783953667092233673e+02 9.882675844666423126e-01 1
8 7.755935060345067313e+02 4.931498872504390674e-01 0
4 7.597168889489373669e+02 1.947256635058589591e-01 4
20 7.810773954206280223e+02 1.938019697144164333e-01 3
8 7.763782148446591691e+02 4.484234324364240187e-01 1
18 7.810773865921916013e+02 8.861350739027811230e-01 3
1 -4.663502917853796134e+03 4.290768800536888250e-01 0
8 7.731869329869904277e+02 1.108488373156930606e-01 1
1 -7.451350906444696193e+03 1.714794019602852160e-01 0
15 7.810196157755389095e+02 5.252769867650537439e-01 2
6 7.520991132750552879e+02 9.309510868849790732e-01 1
15 7.810156061438183315e+02 9.146790123885110146e-01 3
7 7.747433689429154811e+02 2.490175177084095748e-01 0
4 4.604842359045730973e+02 2.425737489062217145e-01 0
4 4.705002532291109674e+02 6.513572806953557004e-01 0
