# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32615 32615 12837 32395
-9.320629422303159384e-01 -1.814362162697566237e+04 5.118513169992491285e-01 28599 32500 16566 44183
-1.914309199395179739e+00 -3.400879413296638631e+03 2.410027894047406249e-01 25723 32455 21148 47721
-2.738747724976758224e+00 -1.054719336038074061e+03 6.640485830962861158e-02 23507 32468 25007 52372
-3.491120482432071626e+00 -6.562169832876327291e+01 7.581186874939053189e-01 21853 32414 17937 56139
-4.624046023896553059e+00 5.160706191572610351e+02 9.152256141364565334e-01 19452 32478 18948 49292
-5.582704015100615536e+00 6.774108062832249288e+02 9.314009417009925240e-01 17591 32555 16526 50162
-6.686134275589422415e+00 7.442229669395802603e+02 8.140123095790592345e-01 16039 32576 22392 48041
-7.462584319704237856e+00 7.602881151659466923e+02 2.368123123975038880e-01 15264 32391 19710 53153
-8.455077542857578621e+00 7.699482225491576628e+02 4.805094714478343465e-01 14453 32456 12690 51191
-9.822058588270643043e+00 7.765866029577706513e+02 5.174980734737031352e-01 13357 32399 21217 44355
-1.057496793599350227e+01 7.783396421737295441e+02 6.602850255437400229e-01 12766 32547 20172 52639
-1.153639980472637205e+01 7.795626532233206945e+02 4.341839134359342101e-01 12309 32581 29822 51571
-1.210535582890487483e+01 7.799862720850605911e+02 2.859653481627842941e-01 12109 32626 19991 60711
-1.321041245371569417e+01 7.804858256405284465e+02 5.940446733037747507e-01 11360 32723 29990 51822
-1.377853660201145303e+01 7.806269198210318336e+02 4.050880004548972901e-01 11226 32665 31273 60978
-1.446032864056625833e+01 7.807421752997524891e+02 3.316030606404023473e-01 10911 32641 32784 62535
-1.512057450162293826e+01 7.808200808437934484e+02 9.556494983692073730e-02 10537 32569 33834 64382
-1.577808468653659446e+01 7.808705119084344233e+02 8.244028843473629742e-01 10270 32500 31593 65438
-1.651728390194796958e+01 7.809054159786052196e+02 8.950094168756330681e-01 9996 32375 23731 63315
-1.749950368287902691e+01 7.809352460387956398e+02 9.994869535847263897e-01 9556 32434 40201 55841
-1.785467535937906547e+01 7.809420743340264153e+02 2.022408063424954161e-01 9565 32507 47161 70880
-1.828137466877561934e+01 7.809483467782320076e+02 9.813937614913346152e-01 9202 32373 28982 77645
-1.926741140351552062e+01 7.809581583215885985e+02 2.148012459229336479e-01 8867 32316 12042 60185
-2.083542562699916090e+01 7.809659343120529229e+02 7.869243806239345496e-01 8393 32218 14695 44002
-2.192536760600854606e+01 7.809679306735459932e+02 3.945729934961991203e-01 7982 32408 19909 46469
-2.278202695715369686e+01 7.809687205252098465e+02 2.306397264706970818e-01 7762 32447 20548 51726
-2.370949184357746731e+01 7.809691813283409374e+02 4.885773072198636990e-01 7499 32432 17513 52337
-2.479860499721022649e+01 7.809695027065563409e+02 3.663581633573915752e-01 7235 32573 11871 49456
-2.619408392210472059e+01 7.809697049559727020e+02 1.515476908960273761e-01 6913 32605 0 0
