# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32138 32138 10631 32138
-1.096272128725952921e+00 -4.281443743022220588e+03 6.824928764421123173e-01 25372 32166 14868 41793
-2.127395124377883029e+00 -2.221449420253317726e+02 6.696081163065468189e-01 20045 32195 17116 46047
-3.117705953166544308e+00 1.942824666223276608e+02 6.389383162341140121e-01 16982 32097 15075 48085
-4.266994399073857025e+00 3.028606311524895318e+02 3.527954730955791263e-01 15307 31990 18598 46040
-5.179206492261598349e+00 3.353207565184985697e+02 7.900215597632000986e-01 14293 31997 14787 49372
-6.371193521606302035e+00 3.511508499713993388e+02 7.818845466105355246e-01 13117 32085 16645 46069
-7.388056048849843904e+00 3.559137961110781134e+02 7.961903748042298279e-01 12327 32006 26270 47736
-8.006124451888322113e+00 3.572005681033872406e+02 4.982565326017045493e-01 11837 32113 16325 56812
-9.238507229568700296e+00 3.585205177291983318e+02 7.600019162582154486e-01 11135 32129 23777 47376
-9.944750403608688671e+00 3.588710218231954059e+02 6.654177772454872297e-02 10498 32198 18949 54263
-1.099390182613082878e+01 3.591379966099895569e+02 6.349248984307571675e-01 10411 32334 21997 50384
-1.183200613316964400e+01 3.592429962327702242e+02 5.032683583223483970e-01 9574 32191 13729 53015
-1.315967363136376989e+01 3.593237477006762219e+02 2.121223560352641924e-02 9039 31732 7477 44610
-1.486968356760932153e+01 3.593635608454710564e+02 3.319448685786015665e-03 8032 31666 16528 39066
-1.573969776824960043e+01 3.593717678959797581e+02 5.039318381593380636e-01 7612 31441 13931 47003
-1.694070247150029118e+01 3.593778794018130611e+02 6.188956613271632268e-01 7239 31406 17475 44119
-1.787159589014076388e+01 3.593805418989159080e+02 8.620996048377431720e-01 6869 31583 19949 47831
-1.875343153809896535e+01 3.593817903473952811e+02 7.922611857185273276e-01 6516 31724 20031 50469
-1.968182959623262462e+01 3.593825580129656601e+02 5.901369080640357367e-01 6194 31860 14516 50873
-2.091912436872417302e+01 3.593830361693907207e+02 1.328098797477637871e-01 5752 31699 21790 45744
-2.167556558090509000e+01 3.593831730414690924e+02 2.154918736585820227e-02 5512 31623 19703 52787
-2.266187385000040422e+01 3.593832894447465378e+02 8.993749773930914682e-01 5285 31423 13763 50480
-2.394108580427181820e+01 3.593833612125097829e+02 2.198063968901712573e-01 5140 31513 14643 44629
-2.504751867217575523e+01 3.593833930779151729e+02 8.183569150852565421e-01 4764 31540 14087 45541
-2.620866440281355381e+01 3.593834087170150724e+02 9.880534881763642918e-01 4556 31140 20451 44585
-2.700122852471475454e+01 3.593834143433772397e+02 8.524602355896813144e-01 4424 31191 24386 50980
-2.775223138267473644e+01 3.593834175365473129e+02 1.167006992107202379e-01 4136 31233 29669 54944
-2.838593958454443822e+01 3.593834194331238905e+02 6.717598953142011053e-01 3958 31134 22122 60188
-2.938679503148448902e+01 3.593834211224954061e+02 1.581648998065741663e-01 3662 30944 0 0
