# level_assignment log_likelihood tiebreaker ID
0 -1.113182611959210954e+04 4.030932871328706257e-01 4
0 -9.543650424596580706e+03 9.294746202637408361e-01 2
1 -8.714509318926481001e+02 2.654862698440251800e-01 4
2 3.405829280162550958e+02 6.575792579061303655e-01 3
2 -1.233424263066057165e+02 8.105894114828141594e-01 4
2 1.622810656179491389e+02 7.850530213207833619e-01 2
1 1.826584774538237923e+02 5.390819373538471293e-01 0
3 2.731971014472369461e+02 5.675412311504499652e-01 1
3 2.919330105894481449e+02 9.601879164274148559e-01 3
5 3.375611043438222509e+02 2.949286689834416109e-01 3
5 3.545498190424284530e+02 5.879155354794416422e-01 0
7 3.574865400684524275e+02 2.885699256557114900e-01 0
4 3.318096302460618290e+02 9.217259199887515297e-01 1
3 3.298045070783341544e+02 7.811419528162077963e-01 0
3 3.199888403333416704e+02 8.319102811890179971e-01 1
2 -1.411080552421620382e+01 9.111650608632377857e-01 1
0 -9.767862031711041709e+03 1.400275928301571993e-01 1
3 2.636344620334427304e+02 6.977620142092084699e-01 2
6 3.513110089408253316e+02 8.554725381645607030e-01 2
5 3.466662849262742725e+02 2.226477095881425894e-01 4
5 3.383507750440315931e+02 9.623431070054357939e-01 1
7 3.562120869205988356e+02 6.178909693326262165e-01 4
7 3.564489483701704557e+02 4.867148343373486341e-01 2
1 -8.591279739329299900e+02 7.425755205779100976e-01 0
9 3.590998706597847558e+02 4.097518755317031136e-01 3
2 1.146713773355532879e+02 1.627656774037014031e-01 1
8 3.577479053201077477e+02 5.090859607949749233e-02 4
3 2.918296584583348476e+02 2.403243143045394326e-01 0
4 3.436417389488761955e+02 1.144313715554331895e-01 3
3 2.557066622947276642e+02 1.590026482016307086e-01 1
11 3.592358103834309873e+02 6.818104176968664554e-01 4
10 3.589230639547414512e+02 5.265909300750333255e-01 4
6 3.542283448457193344e+02 7.959720564884330551e-01 2
2 3.588326388333088062e+02 9.653307122968257659e-01 3
10 3.589530145522468843e+02 2.515041354519364503e-01 1
