# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32640 32640 11749 32640
-1.019828462314649631e+00 -5.075173453433382747e+03 6.970825036453817125e-01 27245 32620 18917 43274
-1.858167495157577509e+00 -6.739132465640853979e+02 4.975971188209520335e-01 25058 32611 17530 50221
-2.907498155751381042e+00 2.306525050605444562e+02 5.934107053202821724e-01 22430 32552 18590 48841
-3.875482300054319929e+00 3.350917205304482422e+02 3.519450913123255420e-01 19831 32498 15000 49910
-5.064392576364801002e+00 3.516891120212500255e+02 3.895016074149507679e-01 16852 32259 20559 46291
-5.887078919139897337e+00 3.555180640466027171e+02 6.458053277940094539e-01 15745 32146 25065 51176
-6.615466222802241170e+00 3.572263901719145451e+02 7.481434827091071327e-02 14393 32123 19024 55728
-7.686087056051780664e+00 3.583971476460799863e+02 6.263835388483066646e-01 13308 32016 18507 49859
-8.677668548609155152e+00 3.588852843884274648e+02 6.783885075952733601e-01 12434 32066 12507 49397
-1.002438407035573853e+01 3.591878544221106040e+02 6.936781427242960651e-01 11154 32145 13696 43906
-1.117735589140929697e+01 3.592939307453957554e+02 9.659383496306959138e-01 10411 32324 18684 44935
-1.206251100422355194e+01 3.593324652175581946e+02 1.621472670611520395e-01 9747 32370 25977 49839
-1.273180447997441789e+01 3.593503422712253723e+02 1.309907494547857820e-01 9423 32494 35028 56955
-1.323928018669218076e+01 3.593600283880814459e+02 5.756657091840589047e-01 9170 32488 22806 65792
-1.429594867789508505e+01 3.593722067022382589e+02 6.826994157560422050e-01 8622 32405 12993 54171
-1.569466990361359748e+01 3.593791546836686166e+02 2.133301177818971439e-01 7826 32327 16626 44526
-1.668075621010156340e+01 3.593810939039783534e+02 7.219950235097640778e-01 7424 32298 27095 47653
-1.726756288447908361e+01 3.593818086100038727e+02 2.087443100756348757e-01 7180 32468 7018 57867
-1.927706895360702077e+01 3.593830428017594159e+02 9.370745666328986756e-01 6208 32291 15480 39393
-2.021586249541901381e+01 3.593832274685129846e+02 6.385273794596900698e-01 6066 32248 22487 47084
-2.096942039448934381e+01 3.593833035144317591e+02 2.783950831088333189e-01 5751 32117 16658 53976
-2.213449907675167694e+01 3.593833674005340981e+02 6.902835224914181111e-01 5452 32179 19415 48204
-2.304924159794854788e+01 3.593833950601804759e+02 5.209221652355155996e-03 4991 31851 35672 50619
-2.342770698859316525e+01 3.593834006623924893e+02 4.236866915532766509e-01 5055 31776 39594 66557
-2.396454650119502006e+01 3.593834075789822009e+02 3.042744901426482906e-01 4673 31690 12299 69565
-2.565137086345457007e+01 3.593834178599643678e+02 7.761267972527119419e-01 4449 31443 9588 43352
-2.711610359356174271e+01 3.593834210232877240e+02 7.945979408108647668e-01 4197 31720 16347 40668
-2.803363655270498356e+01 3.593834218207628055e+02 6.598961165822103681e-02 4018 31712 24091 47418
-2.872819893771432120e+01 3.593834222144613477e+02 9.522201906452457676e-01 3947 31578 0 0
