# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 30962 30962 10305 30962
-1.090419927483243567e+00 -2.923817345734620631e+03 6.519819251478065070e-02 24670 31025 13743 40294
-2.160389291508547416e+00 -5.688544620429479437e+01 6.838908489403751068e-01 20201 30992 16726 43650
-3.122329748105996838e+00 2.748910181176055971e+02 7.984504181267144673e-01 16874 31114 13558 46607
-4.340431053173959164e+00 3.332425612761419416e+02 1.470329912558802632e-01 14778 30983 10857 43732
-5.701729326230086770e+00 3.513376971972083993e+02 4.857808822004764937e-01 13139 30581 10826 40671
-6.998107138020352558e+00 3.564810139141808349e+02 7.010122082452356906e-01 12088 30730 11460 40580
-8.240876729952287150e+00 3.582662122708626384e+02 3.098024820042368788e-01 11352 30687 17184 41260
-9.125132701503707366e+00 3.588035446878965331e+02 3.393465968284692380e-01 10810 30723 20114 46778
-9.978317274264053793e+00 3.590765229221692607e+02 9.687787040189879129e-01 10265 30693 18334 49656
-1.097489666594452018e+01 3.592357367216049511e+02 4.514017894676473630e-01 9729 30752 8923 48234
-1.260328541188400919e+01 3.593336790349663374e+02 2.131467454166902087e-02 8882 30697 12348 39136
-1.374450366925462319e+01 3.593598384981158915e+02 3.359381402077303846e-01 8434 30813 20785 42175
-1.446994042857136975e+01 3.593681050202953315e+02 5.219743830534158135e-01 8224 30969 21918 50192
-1.530786943930698740e+01 3.593748758308225320e+02 6.842775723526077769e-01 7919 31131 23472 51794
-1.611022457754811299e+01 3.593784987756858982e+02 9.799230959332851931e-01 7347 31104 19285 52956
-1.711978463365688796e+01 3.593809463559677511e+02 7.081669375076375950e-01 6981 31163 18513 49290
-1.810027154750095946e+01 3.593821758731271530e+02 6.996080768371695791e-02 6602 31129 11131 48418
-1.953427511147502926e+01 3.593829814856754297e+02 9.598941391466269124e-01 5937 31031 9045 41381
-2.100753539900431832e+01 3.593832657348064004e+02 5.523194054887079485e-01 5524 30777 23083 39322
-2.156840159440386984e+01 3.593833140743158765e+02 3.180541158032003102e-01 5345 30541 24164 51804
-2.234323611588322933e+01 3.593833621798103195e+02 8.806950987904382799e-01 4988 30580 30595 53243
-2.291764186767177236e+01 3.593833808031859007e+02 2.713990845221690429e-01 4855 30537 9774 59208
-2.465855325431864387e+01 3.593834098969458637e+02 2.155102223217199853e-01 4527 30488 7686 40158
-2.624683668523942259e+01 3.593834182999969471e+02 4.937536098490511449e-01 4069 30599 15983 37637
-2.711371565263555539e+01 3.593834202448080077e+02 9.176979988855523684e-01 4089 30628 14476 45977
-2.825858586186072685e+01 3.593834216875159200e+02 4.500556305688548364e-01 3818 30552 17438 44382
-2.919701349468985541e+01 3.593834222287817965e+02 5.615542295918021093e-02 3714 30510 33373 47316
-2.957654203575686580e+01 3.593834223811550146e+02 2.841092543807945958e-01 3497 30543 17271 63255
-3.085828556112411292e+01 3.593834226616756382e+02 1.404983557400130145e-02 3543 30783 0 0
