# level_assignment log_likelihood tiebreaker ID
0 -2.139634721447800621e+04 4.030932871328706257e-01 4
0 -8.011306477473925725e+02 9.073120714568119194e-01 1
0 -1.703413896464101708e+04 9.173274466805558802e-02 2
0 4.424054104155463563e+01 1.619456001812892287e-01 2
2 1.883483601000716590e+02 3.405214005114121090e-01 1
2 3.121542220958482403e+02 5.876931684448649662e-02 3
4 3.205023454999073920e+02 2.768087834170545047e-01 0
1 -3.652374571146794551e+03 9.401446685582637297e-01 2
5 3.547006074620120444e+02 4.009364209043588811e-01 1
0 -1.435942524477256666e+04 9.254679573851811725e-01 0
7 3.545991707593775573e+02 5.737402901980123149e-01 2
7 3.545282112325286334e+02 8.866233328612013187e-01 2
6 3.498418495132814314e+02 3.513131964086608772e-01 0
3 2.635725262034899856e+02 2.548111362105598965e-01 1
8 3.569319081218249607e+02 8.707312830213999044e-01 3
8 3.580719546278101006e+02 7.149543040982321296e-01 4
9 3.590950009260084812e+02 7.287411801427237101e-01 0
10 3.588107398287066303e+02 5.384770290001688053e-01 4
0 -1.413135980115027814e+04 9.510991051401501695e-01 3
4 3.373947679215816038e+02 6.296103810803881373e-01 2
7 3.563463215920625089e+02 1.133326618310499939e-01 2
10 3.591818464901373318e+02 5.189774953832366755e-01 2
9 3.582939599699481050e+02 6.584809944172249629e-01 0
0 -1.288678789205955354e+03 9.413201203064147649e-01 3
13 3.593126438736197201e+02 6.811863158106514771e-01 4
11 3.592503579935261655e+02 6.239560833476733848e-01 0
5 3.546014891906773983e+02 1.655813507353609826e-01 3
14 3.593786599657058787e+02 3.160560539671768976e-01 1
9 3.581241376027802517e+02 9.868276462645267921e-01 3
12 3.593518496011254229e+02 8.994606846939158240e-01 1
12 3.591900085167274597e+02 3.705893578206344019e-01 4
12 3.592319876063198194e+02 8.996857939725195763e-01 4
14 3.593435872313895061e+02 9.278201868902860028e-01 2
8 3.569616886012435089e+02 9.622020681688638888e-01 1
14 3.593300370437978586e+02 6.333626771319025295e-01 2
14 3.593265677790697623e+02 7.192793741713348066e-01 4
14 3.593547355599896491e+02 3.138490213718396760e-01 2
15 3.593696456375669186e+02 1.449233265938381643e-01 4
14 3.593375441327432327e+02 7.704261877858179508e-01 0
13 3.593013648604993477e+02 8.964796154948947438e-01 3
10 3.589883106540372637e+02 8.923092095265933166e-01 1
13 3.593038732409429485e+02 4.582829173503533138e-01 4
15 3.593712046219569629e+02 7.719549020622213931e-01 0
2 -4.759464033435812667e+02 3.735015169100787125e-01 3
15 3.593728101475014682e+02 2.374906231951004754e-01 4
17 3.593819887702204596e+02 5.969834961817417351e-01 2
16 3.593775915632991200e+02 4.970344287158035002e-02 4
13 3.592981400895704951e+02 5.771184484381541857e-01 1
13 3.593498372829583332e+02 3.989244663384345913e-01 1
10 3.588382796574197755e+02 6.803427721928506644e-01 3
13 3.593483983407924143e+02 2.743811440178419714e-01 1
14 3.593691696103542199e+02 1.040098544608412112e-01 3
12 3.593391008841235248e+02 2.917343418858956428e-01 4
17 3.593806418171585619e+02 7.956632835968444617e-01 3
6 3.514173411097591497e+02 3.426113080419725954e-01 0
8 3.571180560042236038e+02 1.900981815826026378e-01 1
13 3.592722987149816163e+02 2.989212647691150138e-01 4
19 3.593831612136822855e+02 1.115915910228331143e-01 2
5 3.423923877191904808e+02 6.194552902155254781e-01 0
18 3.593828751361102150e+02 3.020030040526336390e-01 2
2 -2.957600921449558200e+02 8.233892812282093132e-01 0
17 3.593823841859464210e+02 8.021059668190275715e-01 3
16 3.593824356543665886e+02 9.229672996812853247e-01 3
21 3.593831859502147381e+02 1.923330088055088538e-01 4
10 3.588878606052304576e+02 1.405959408630224061e-01 1
4 3.575159698118074516e+02 6.098489679976896172e-01 0
21 3.593833035020406896e+02 8.345060223709308000e-02 3
14 3.593556273232694593e+02 2.565912065621817617e-01 0
23 3.593833195194008567e+02 1.586949087877513875e-01 2
10 3.589057283426379854e+02 7.742484691403941355e-01 0
14 3.593315279275100238e+02 3.675729104442932993e-01 1
20 3.593830594392638886e+02 3.847105482172530344e-02 4
24 3.593833813656102620e+02 8.636887575109400972e-01 3
10 3.588280405290128101e+02 2.710292255072235465e-03 0
23 3.593833826086778913e+02 1.279986389439677907e-01 3
18 3.593832122164835710e+02 6.370483866677045803e-02 2
25 3.593833995738339127e+02 4.744059367357515988e-01 3
22 3.593832538525230120e+02 8.284560414325090605e-01 3
11 3.590116235485546099e+02 1.765543399152215698e-01 4
24 3.593833980472099938e+02 2.623472838526051398e-01 2
23 3.593833468960612549e+02 8.189758154506243670e-01 2
26 3.593834181750924017e+02 5.233148179703486225e-01 2
26 3.593834140440067699e+02 8.997705998744702782e-01 2
22 3.593832925344578939e+02 9.191808640263642305e-01 1
23 3.593833506678916478e+02 8.398124164628197885e-01 3
20 3.593833638280111700e+02 4.271513140069713721e-01 1
24 3.593834194100793979e+02 6.276007479230845398e-02 1
27 3.593834209839288860e+02 6.046082537827113246e-02 3
18 3.593823397325612063e+02 5.174667240363334253e-01 0
27 3.593834180883835074e+02 5.114947055515184360e-01 3
28 3.593834211022403338e+02 1.834685316787364462e-01 1
28 3.593834212944789215e+02 6.555810288663324048e-01 1
18 3.593828111407735832e+02 8.603110369152968673e-01 0
28 3.593834207237813416e+02 7.815632078188811116e-01 1
29 3.593834226382766701e+02 6.752192469623756743e-01 1
20 3.593832689259694462e+02 7.370606398789258940e-02 4
28 3.593834209788141152e+02 5.797459837282357142e-01 1
29 3.593834221075140931e+02 6.589172195017867217e-01 3
20 3.593831233716709903e+02 5.040141692161526077e-02 4
28 3.593834225848906954e+02 6.520558093688074708e-01 0
28 3.593834209677180525e+02 7.964170089816090536e-01 3
28 3.593834204615528733e+02 2.406169300661946675e-01 1
28 3.593834208044303296e+02 8.901232309707787227e-01 2
27 3.593834206057277925e+02 5.864711300231157942e-01 2
5 3.586541656508414917e+02 5.856500418699647215e-01 4
8 3.572317743426431775e+02 6.672875332099881263e-01 4
29 3.593834214476587476e+02 7.041836182306937530e-01 1
18 3.593829216812768550e+02 4.742578601154137652e-01 0
16 3.593811885374284429e+02 5.416177946703789603e-01 0
21 3.593832466782102983e+02 2.162344636127828124e-01 3
6 3.574096018651389386e+02 3.962377629471066087e-01 4
20 3.593831927736769103e+02 3.761813866122373784e-01 2
2 3.643042714667299720e+01 6.787617101702172473e-01 4
16 3.593769378648183874e+02 2.582825881469902884e-01 2
2 3.195909809407273201e+02 8.034423657967713073e-01 4
11 3.591451764611834960e+02 2.893265904251052234e-01 1
18 3.593823459671552314e+02 3.373297473693960269e-01 2
5 3.561534381704686893e+02 2.079777579599983994e-04 4
22 3.593832781218892478e+02 6.435385625180526370e-01 2
1 -2.869049201079841623e+03 9.041314122660311092e-01 0
26 3.593834186107766300e+02 3.251852503947280648e-02 2
28 3.593834220217967186e+02 4.400988274990620397e-01 2
3 3.029947727229635461e+02 5.880047579780257605e-01 3
8 3.573173511608441686e+02 7.773563851414545534e-01 4
10 3.589100027670724558e+02 4.435822670058727213e-01 0
29 3.593834214552993558e+02 4.116465454482370889e-01 2
15 3.593705787190654064e+02 7.226180145797160836e-01 0
20 3.593832200697135022e+02 4.780142061598173786e-01 1
0 -3.791925041992493334e+03 5.280081768681217369e-01 3
10 3.592603163438210458e+02 2.195507039817352346e-01 0
8 3.580432956408345717e+02 1.215231915677001950e-01 4
12 3.592132592465766265e+02 9.497869717876007423e-01 0
16 3.593761163746142984e+02 2.582268248038725456e-01 4
13 3.593691952289930214e+02 2.606215413139008064e-01 0
17 3.593814472569717964e+02 1.544560948720781202e-01 1
15 3.593683393935476715e+02 6.106345095013734348e-01 4
13 3.592707496399922320e+02 7.546003365635582938e-01 0
8 3.589509064649315633e+02 5.919482108677271981e-01 4
5 3.434477394970947444e+02 7.530716760610089988e-02 0
