# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33007 33007 11679 33007
-1.035463065945540162e+00 -5.040353608165536571e+03 4.030932871328706257e-01 26378 32965 15719 43558
-2.053373531111578387e+00 -3.562530739184668391e+02 7.577047663863112348e-01 21180 33059 18133 47598
-3.020572185525571385e+00 1.650416619505979554e+02 6.257229075613128799e-01 17843 33086 15896 50036
-4.157901299993598698e+00 2.902049981117562538e+02 5.971718351282078174e-01 16028 33041 12598 48102
-5.473034485098279944e+00 3.391358962919828173e+02 6.421100432213464604e-01 14498 32929 16429 44831
-6.476632052297641273e+00 3.507570067853568503e+02 2.503819516717746829e-01 13333 32603 19346 48033
-7.391398660908137686e+00 3.555571215718058511e+02 8.862233854590328974e-02 12421 32745 23192 50999
-8.190612945497807829e+00 3.573544449724314518e+02 9.213553701824735986e-01 11917 32689 19498 54558
-9.217957450170580103e+00 3.583880515234058066e+02 5.295571342249435487e-01 11450 32798 18626 51341
-1.023107510367690054e+01 3.588946362892866091e+02 3.542305217629946879e-01 10877 32754 20959 50059
-1.110894495700337359e+01 3.591089486857254087e+02 5.918314172931872230e-01 10434 32694 17209 52380
-1.221524390199862253e+01 3.592572734995692372e+02 6.216027034647977345e-01 9719 32434 30493 48656
-1.270804636018149480e+01 3.592899893369168467e+02 5.281422256021217621e-02 9442 32413 19686 60852
-1.382983092262384872e+01 3.593393184004164596e+02 9.260265949153585474e-01 8687 32216 21812 50915
-1.468582299175877637e+01 3.593585806862942036e+02 3.532446167368837042e-02 8473 32320 17903 52964
-1.576550319629091135e+01 3.593712838493345316e+02 6.143012285072335654e-01 7859 32406 23643 49301
-1.651451633100489147e+01 3.593763698204182901e+02 8.764891674812478328e-01 7433 32360 11934 54354
-1.799417837754977967e+01 3.593809581682449448e+02 6.320368168919608953e-01 6859 32470 16375 44142
-1.898638989312918213e+01 3.593821467003538146e+02 8.453724851002739626e-01 6529 32577 28522 48313
-1.953683636886930941e+01 3.593825390012144680e+02 7.166811040648216613e-01 6245 32384 28017 60267
-2.031326594955105236e+01 3.593828845700178363e+02 4.466302795953776550e-01 6142 32458 39226 59652
-2.075488064417766054e+01 3.593830176120104625e+02 1.315200411976977790e-01 5960 32281 27065 69579
-2.170146312039858572e+01 3.593832075818246494e+02 5.042418989239250138e-02 5612 32301 14581 58069
-2.305964246424759168e+01 3.593833375476190213e+02 1.258016200697875675e-01 5259 32162 23855 46334
-2.374192937176557550e+01 3.593833684305961356e+02 3.006873720703904240e-01 4985 31926 11284 55148
-2.528620448373908403e+01 3.593834028885112275e+02 7.704259067063086164e-01 4673 32101 16761 42745
-2.622666839842323938e+01 3.593834123726526286e+02 6.499903423359546517e-01 4568 32220 19510 48349
-2.713962391706935406e+01 3.593834169044565101e+02 1.986873070580474909e-01 4418 32228 17495 51091
-2.820699461500237248e+01 3.593834197150065961e+02 6.952290405331648104e-01 4285 32275 0 0
