# level_assignment log_likelihood tiebreaker ID
0 -2.994508728324670301e+03 4.030932871328706257e-01 4
1 -1.374028156299871989e+04 2.725082193868970104e-01 3
1 -3.241270692156658242e+03 8.198531319765173242e-02 4
1 -1.090029876040035560e+03 9.687514600451997415e-01 2
4 -6.257230581860878829e+02 8.084287797033105072e-01 1
2 -2.271638569200142229e+03 3.360370803754619828e-02 4
4 -7.433768727474840716e+02 6.205617724761757215e-01 4
5 -4.052169521262634362e+02 4.893937620759842844e-01 1
2 -1.437847739505984464e+03 8.578035723096899545e-01 0
0 -1.086666751809202979e+05 8.297265489071334876e-01 4
3 -7.846982224612349910e+02 1.218121206506095865e-02 0
1 -7.678995814412344316e+02 5.449350621989123428e-02 4
4 -6.762852811848199508e+02 5.014146602592384205e-01 3
7 -3.515308425262408605e+02 7.976561188727475660e-01 1
3 -1.315673740920310138e+03 9.125298430871627842e-01 1
7 -3.598676954320304162e+02 8.912794871335609770e-01 4
6 -3.656695438539555312e+02 2.822816489775731297e-01 1
3 -1.369056708508928750e+03 5.330538235271742309e-01 2
5 -3.658300699054591405e+02 2.293686962098231419e-01 2
7 -3.635650492878747855e+02 5.146100205768142644e-01 2
1 -9.628175345604400718e+03 2.818742724939227173e-02 0
2 -1.294672009759195134e+03 6.018482172029574473e-01 0
6 -3.788377475242446621e+02 6.546541207249765293e-01 2
4 -5.402242497638061423e+02 8.886031654802875046e-01 0
9 -3.502231913559186296e+02 5.495334975821797308e-01 0
6 -3.742079119023536578e+02 9.517576244920439299e-01 3
9 -3.508439810431538604e+02 4.219684288617402412e-01 3
0 -9.358787629657284924e+03 9.922263133341312491e-01 2
4 -7.796184167498046236e+02 1.505678301219481874e-01 4
5 -4.738838986773644137e+02 1.564174787784411436e-02 3
3 -6.621313652339729288e+02 2.545944774068444050e-02 2
4 -6.686736592593706519e+02 6.933705564088743500e-01 2
8 -3.495990423389962984e+02 6.445649661306757094e-01 3
6 -3.829943914210889488e+02 8.219502759926810009e-01 4
11 -3.474771698520835344e+02 8.014998590523978450e-01 3
11 -3.476408023473000526e+02 7.052290037542423562e-01 3
11 -3.477012295445279051e+02 3.604053731526042359e-01 3
12 -3.476136700538191917e+02 9.372742112025349570e-01 3
5 -4.371813313981527926e+02 3.946805006864839704e-01 1
8 -3.502384395045248766e+02 7.818291244204973456e-01 2
10 -3.489359404254817036e+02 3.492732169953084442e-01 1
8 -3.554206677259005573e+02 9.374912747762147447e-01 4
12 -3.475904283225851259e+02 5.519078993404045175e-01 1
12 -3.475346970202963917e+02 1.114964301883922815e-01 0
8 -3.550455762056233766e+02 5.103866393761626874e-01 4
1 -5.404866686335695931e+02 1.223425988123114649e-01 1
10 -3.492989089800375950e+02 9.274461359492143231e-01 3
14 -3.472895435690094246e+02 7.508004500522585944e-01 2
13 -3.472329169982573376e+02 1.484713743293846200e-01 2
15 -3.471994280263318160e+02 8.340493888297251246e-01 2
7 -3.597077095698805920e+02 5.495344750989499261e-01 4
15 -3.472231361370797913e+02 6.612180792131050477e-01 2
1 -1.139741212620563238e+04 9.312006811731308176e-01 3
14 -3.472062063452077609e+02 7.290637925028855548e-01 2
8 -3.500090936648944080e+02 3.074847044085737835e-02 4
17 -3.471961145505028981e+02 7.688454832935316396e-01 0
2 -1.622908741210090739e+03 1.533158587193972633e-01 1
0 -3.452665372070259036e+04 6.970621750062465649e-01 1
1 -3.158117177311998603e+03 4.849334198166150856e-01 1
4 -4.205796909361793610e+02 3.393011522309244965e-01 4
18 -3.471982490595991067e+02 6.487014821289915911e-01 0
15 -3.472177468734897161e+02 8.968650696323487992e-01 2
13 -3.473318797581032413e+02 1.146380589117751564e-01 2
1 -2.764044574028467650e+03 7.508645306847687717e-01 4
15 -3.472361474807226500e+02 4.110725953902039098e-01 2
4 -4.223992022480442756e+02 7.959799582706290622e-01 4
0 -8.206192634564594482e+04 5.154880259639537110e-01 1
0 -7.221846875381183054e+03 3.936532716040170854e-01 4
3 -8.876911050415873206e+02 6.954020669600358140e-02 1
13 -3.473953889264101917e+02 6.096970729451428594e-01 1
3 -1.006561005019136815e+03 2.962896234242243243e-01 4
20 -3.471919247388898384e+02 4.485876188936859243e-01 2
1 -1.654324851571076124e+03 4.406407090397134740e-01 4
6 -3.486726769374168953e+02 9.136740091511379447e-01 4
12 -3.474295144618439508e+02 6.892738554121402572e-02 4
10 -3.483176750839533042e+02 2.472988408617311507e-01 0
12 -3.476006843167920692e+02 7.260386474397942935e-01 1
17 -3.472046744630761737e+02 2.910467543995259310e-01 0
18 -3.471966331413907483e+02 1.969251349696263809e-01 3
7 -3.561872443550059870e+02 1.794163788406134483e-02 2
15 -3.472260815691105336e+02 8.412973286385927452e-01 0
14 -3.472755130171620976e+02 6.503430738723193771e-01 2
14 -3.472543026509238757e+02 8.370141270206785666e-01 0
14 -3.472078225499395785e+02 6.172677144772804603e-01 4
17 -3.471999352670694066e+02 2.925144110220071481e-01 3
16 -3.472032620839702304e+02 9.640905237870305289e-01 3
14 -3.472234231490675711e+02 7.639681981800485744e-01 3
16 -3.472083035967843898e+02 3.682186362674338270e-02 3
8 -3.558828820428796007e+02 4.813276936471790890e-01 2
20 -3.471919006705799688e+02 1.332460047237180589e-01 0
19 -3.471930454800977941e+02 5.334338602092154602e-01 1
15 -3.472513256811055271e+02 6.813181638632935799e-01 4
19 -3.471938499747528795e+02 6.509000062679377585e-01 1
18 -3.471980681776449273e+02 9.531289861076024383e-01 0
10 -3.492740751642268151e+02 2.829888837778237742e-01 2
21 -3.471908533016546698e+02 1.988888961381173603e-01 3
17 -3.472022978689204251e+02 6.150763522146496243e-01 0
18 -3.471990903883848318e+02 9.704021789933622855e-02 3
18 -3.471962027108450570e+02 3.898287186245418812e-01 4
18 -3.471993973772234199e+02 5.620666272947471009e-01 0
18 -3.471984334232965921e+02 9.855943148561174816e-01 4
9 -3.497383709826572726e+02 4.126100528924918631e-01 2
18 -3.471974236953658419e+02 8.537370946570312924e-01 4
20 -3.471913360829571502e+02 9.018028164339396413e-02 0
4 -3.700558917845532392e+02 7.564448466517410541e-01 2
