# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32957 32957 12182 32467
-9.820005362068607857e-01 -2.218239821610019499e+04 3.813172375910630074e-01 28864 32988 14885 44471
-2.069927472767407295e+00 -8.929120279052798651e+03 5.005022592733157083e-01 25751 32974 16269 47103
-3.128915415994238280e+00 -4.745198025093730394e+03 2.223879376278866948e-01 23622 33024 16207 48602
-4.220852245636903532e+00 -2.445479929151927990e+03 9.274244844125779652e-01 21678 32972 16124 48374
-5.313164482322371818e+00 -1.218637420660407770e+03 6.480867837972674739e-01 19977 32916 17646 48280
-6.319271480121391171e+00 -6.985026642017306813e+02 3.098277751909130906e-01 18492 32898 17877 49947
-7.345063524681164857e+00 -4.869335277494644174e+02 8.259412081836565722e-01 17110 32779 29420 50023
-7.898387950151181336e+00 -4.344665593978252787e+02 9.331328211694693842e-01 16630 32812 27900 60629
-8.684526098493071444e+00 -3.913284562330790664e+02 9.245942730983708335e-01 15678 32696 28172 59010
-9.435641489916418934e+00 -3.717392738796186791e+02 1.451263523395160959e-01 15019 32837 31983 59588
-1.007387093865269634e+01 -3.633531688751367597e+02 6.740936658461643693e-01 14744 32945 22653 63035
-1.109613860105959304e+01 -3.547690922445590331e+02 3.406613341640173376e-01 13944 32980 20570 54471
-1.207139127518493815e+01 -3.508188600515583175e+02 2.048450736485299961e-01 13443 33001 17973 52547
-1.313994934156462691e+01 -3.486329023265250839e+02 4.017743311982582277e-01 12860 32959 21056 50239
-1.401682046808819671e+01 -3.476630843013779781e+02 3.196165117271192457e-01 12441 32980 20773 52863
-1.495447866146655436e+01 -3.471095184663540181e+02 8.848494206321396716e-01 11670 33003 16732 52460
-1.608852300319090389e+01 -3.467570063572982235e+02 7.719260542542949466e-02 11268 33009 18425 48860
-1.706526058888276864e+01 -3.466228314136176323e+02 7.381123747853921557e-01 10858 33081 24265 51081
-1.782287437804890473e+01 -3.465585291305789042e+02 1.464770012452507597e-01 10669 33058 27546 56659
-1.855701230712893590e+01 -3.465183884414389013e+02 5.803896212922408093e-01 10096 33022 39092 59926
-1.900630283188775849e+01 -3.465024073364621700e+02 9.327312048013105539e-01 10020 33127 32063 71393
-1.981450017144751641e+01 -3.464814294186165853e+02 8.077038279760540007e-02 9813 33222 31960 63839
-2.051897272248217519e+01 -3.464705375438865076e+02 8.501791008528130078e-01 9324 33165 26570 63426
-2.139486559759879114e+01 -3.464618277475541390e+02 9.569439648196165216e-02 9017 33179 20782 59649
-2.244644579273080609e+01 -3.464561219665704925e+02 1.029982775177388024e-02 8904 33245 15585 53385
-2.366322507626368932e+01 -3.464528340682587100e+02 9.055676034686754861e-01 8398 33377 14126 48328
-2.487746371787353539e+01 -3.464513404248553456e+02 9.317899074069712073e-01 8091 33440 21818 46932
-2.565668695396027132e+01 -3.464509058301684377e+02 3.610200042765854267e-01 7840 33583 37604 54753
-2.605808794657436778e+01 -3.464507433880045824e+02 4.528091872760571235e-01 7814 33508 0 0
