# level_assignment log_likelihood tiebreaker ID
0 -7.082644039092332241e+04 1.440075494667957812e-01 0
1 -2.821341121149118408e+04 9.705161440753157231e-01 0
1 -2.872059292340399406e+04 7.859466450309682273e-01 1
3 -2.918090576723907361e+03 1.422992429053319685e-01 4
3 -3.191130844994823292e+03 2.640001635625880416e-01 1
0 -3.682291630307713149e+03 4.853471757796024022e-01 1
0 -7.294925660714915721e+05 3.919711203410698452e-01 3
0 -1.151032688692781376e+05 9.891006535072752737e-01 0
5 -2.133652965281841716e+03 4.884697256431073664e-01 2
2 -1.291236169818400958e+04 4.475792731756831344e-01 0
2 -3.123265174483508872e+03 3.757523708138938989e-01 4
4 -3.024802191088510426e+03 3.084717622341856536e-01 2
1 -3.372689744281435651e+03 3.942701911317461616e-01 2
3 -2.983263597702933566e+03 6.427127782142958434e-01 0
4 -3.002777509161807757e+03 1.477443904687489873e-01 2
0 -1.874133254274120554e+05 6.791617350185967794e-01 3
4 -2.964300944475175129e+03 6.799847383240350540e-01 2
1 -1.997887840072355539e+04 3.744889832759987769e-01 4
7 -5.871629680056375946e+02 3.990173718494580690e-01 0
9 -3.875593447385050467e+02 8.040645210488144290e-01 2
5 -1.234915093766978998e+03 5.774576255435956984e-01 3
2 -3.950524864399678791e+03 8.803974153431567418e-01 4
8 -4.340172967397242019e+02 8.939448611090305974e-01 1
6 -7.884115799836921497e+02 9.285468331213729831e-01 2
6 -8.484708239032081565e+02 7.471998965420141303e-01 4
6 -1.102659002397526137e+03 7.330907415703628027e-01 1
4 -1.834430517112129337e+03 8.785791422106209447e-01 1
3 -3.004747779239484316e+03 4.771983756233525442e-01 1
9 -4.179414427849906133e+02 2.818741306030937421e-01 4
3 -3.487455669678977301e+03 5.614986614340510274e-01 1
11 -3.634301661539535644e+02 5.842646160556704826e-01 0
10 -3.726953978249345028e+02 1.126770434169573343e-01 1
10 -3.639170220049808222e+02 1.245787454374600312e-01 3
12 -3.553091160753626241e+02 2.554914167034976202e-01 0
10 -3.795171658923500217e+02 8.116117244077258874e-01 0
5 -6.730869106305358400e+02 9.903607800495346503e-01 4
9 -4.204379224887209148e+02 1.579143905190278918e-01 1
0 -5.957621891752765514e+05 4.478485218075312080e-01 2
7 -5.818188334028234294e+02 4.309023968673132976e-01 4
7 -4.906930294740295722e+02 9.002975440135130292e-01 4
8 -4.357610721401579212e+02 9.804799610683827549e-01 2
10 -3.735584014046235666e+02 6.801114290273339025e-01 1
11 -3.652332186029768764e+02 2.051824444454172502e-01 1
13 -3.478148352453229109e+02 5.527095520326770484e-02 3
9 -4.030261177902034433e+02 5.963429859813720313e-01 0
12 -3.463385391241614002e+02 1.543131083722659724e-02 3
7 -6.445656766566785336e+02 6.869565629030756071e-01 1
14 -3.475913487154011818e+02 8.744784235860296739e-01 3
4 -1.144353587631240316e+03 8.507256142524433074e-01 2
7 -5.441543105194186865e+02 4.803410207919320274e-02 0
8 -4.679050485454243926e+02 3.492348646944867796e-01 4
15 -3.463608170660975247e+02 2.074004410463944348e-01 3
9 -3.904203165217492142e+02 1.420003888907957479e-01 2
12 -3.577830553907083413e+02 2.430844445866404968e-01 3
14 -3.460903624122568090e+02 7.041595297332922110e-01 3
1 -1.327234039849555847e+04 7.358167329588898298e-01 4
5 -1.886896117824674548e+03 6.918154979891063538e-01 4
8 -4.594603229067579377e+02 8.836958884694260385e-01 1
4 -1.586720287958331937e+03 3.934773990694270807e-01 4
8 -4.402021837261743258e+02 2.181498193576805744e-01 0
0 -1.654488206510317686e+05 3.807311364518062291e-01 1
2 -4.084712317187894314e+03 9.883925910052382413e-02 1
9 -3.604836004503134177e+02 2.048176893890634176e-01 2
16 -3.461078852697999082e+02 6.439317066090985975e-01 3
0 -8.429733940854424145e+04 3.357824258936583650e-01 0
10 -3.506318601922361040e+02 3.978592289518876335e-01 2
7 -5.855986799633833471e+02 2.215285952044432349e-02 4
13 -3.494885777174436612e+02 2.498208741040957026e-01 2
12 -3.543329536225356264e+02 8.773226228663996151e-01 3
16 -3.457600471013568040e+02 1.437073865435846698e-01 3
3 -3.441336559941226369e+03 3.229599764701286957e-01 4
2 -8.556039989736740608e+03 1.089492034735251025e-01 0
5 -6.890368505690595384e+02 4.746932105616387398e-02 4
4 -2.218128777452905979e+03 1.092799023895620891e-01 0
15 -3.459465171986901169e+02 1.031981300981437144e-01 3
10 -3.741194130421174577e+02 4.743332798016386964e-01 1
2 -1.531772791003525163e+04 7.359669955083369963e-01 0
1 -3.416855765659205645e+04 8.156663090650467796e-01 1
1 -5.178525369496001076e+04 8.796658257710360251e-01 1
5 -1.248410672087953344e+03 4.051301729240949778e-01 0
10 -3.737773533094955383e+02 3.380215167181084834e-01 0
1 -7.286533863143129565e+03 5.447138649897453888e-01 4
2 -5.170773308847953558e+03 4.435776960027500437e-01 4
2 -9.344012398182660036e+03 2.660889356514890558e-01 1
17 -3.459311289560329783e+02 5.022777621743932351e-03 3
16 -3.459033496729264243e+02 9.936314884462451591e-01 3
14 -3.462505897206353893e+02 5.963852056542557900e-01 3
5 -1.638948526707600422e+03 6.851419566542329420e-01 1
9 -4.099359761781395264e+02 7.510433866591046392e-01 0
5 -1.783738072845673059e+03 9.760719000827258185e-01 0
4 -3.011532538587493036e+03 8.023015311675483208e-01 0
2 -5.864077193730870022e+03 2.630111206037533123e-01 0
3 -3.529846712704089441e+03 5.370028963029328806e-03 0
5 -1.499009195676379022e+03 9.251448028645977706e-01 1
3 -3.487911858646187284e+03 6.641620103627053628e-02 0
11 -3.615715825767198339e+02 5.489425663176739079e-01 2
4 -1.135805312309652891e+03 3.931075263841585787e-01 2
2 -5.655895764934181216e+02 1.115317018068121696e-01 1
3 -3.001400597774474136e+03 6.788217011798939327e-01 0
13 -3.503530093205393428e+02 1.321233969302350320e-02 3
3 -3.055504743079053696e+03 6.876724917968597417e-01 1
3 -3.225620566377499017e+03 6.447894162381581085e-01 1
6 -9.798240507108786232e+02 3.711559043315832418e-01 0
11 -3.614263265491135826e+02 5.879888439251587107e-01 3
6 -1.062426992488778296e+03 8.888352770295439020e-01 1
11 -3.593800097383091838e+02 2.947308786830546978e-01 2
12 -3.531643355846510417e+02 1.471458278680273790e-01 1
9 -4.083749547843241317e+02 2.370096040236587265e-01 4
10 -3.618337278172696188e+02 8.447052091118500972e-01 1
0 -4.501440571955898195e+05 9.727851294651601588e-02 0
14 -3.477309938726010046e+02 1.696854006817481997e-01 3
8 -4.115718137787861224e+02 2.907994369398871903e-01 0
12 -3.506096423381114278e+02 3.962627493377093302e-01 1
15 -3.465194163778397183e+02 1.244103500176964999e-02 2
14 -3.474327737772771343e+02 6.037823640217913068e-01 3
13 -3.521163491214625765e+02 1.442840615923503544e-01 1
11 -3.618393078341014757e+02 6.769281183645357858e-02 3
12 -3.541799873169457555e+02 1.145178886860675621e-01 1
14 -3.473587611146460858e+02 8.468140393785653641e-01 3
12 -3.563818873492973580e+02 8.500191573411703949e-01 3
12 -3.521226791111327543e+02 6.991067293790806381e-02 2
10 -3.712367476586493353e+02 8.101493901802143682e-01 4
12 -3.511659093869558887e+02 1.391267876164636874e-01 3
13 -3.508430864775185682e+02 1.671555970326365215e-01 0
9 -3.855293383003847794e+02 3.879190716058958377e-01 2
8 -3.581989835841284275e+02 7.071635314619140189e-02 1
12 -3.544967984929792237e+02 4.189653163404024605e-01 2
0 -2.569282210194062500e+05 1.898525410332509711e-01 2
11 -3.574935008729080437e+02 6.297452361019431066e-01 0
13 -3.512716734720751788e+02 9.389100874027909160e-01 4
14 -3.480120428835963935e+02 4.061369754879937122e-01 0
13 -3.482616829837693899e+02 7.384205828301126928e-03 0
14 -3.474110089285188678e+02 9.930986661589102926e-01 0
12 -3.529767549290860984e+02 5.674144011373828400e-01 4
2 -3.106116767173866720e+03 9.038467346178539197e-01 2
1 -2.468161155514467464e+04 8.261323784634183598e-01 1
10 -3.642034644276969289e+02 5.297996479135949066e-01 3
1 -2.280906681797151396e+04 3.265912223681137760e-01 1
13 -3.493319372199477471e+02 1.745229658339638723e-01 0
5 -5.842342322263068581e+02 3.499435930214165325e-01 1
12 -3.561235265517740345e+02 8.361741316272285340e-01 3
9 -3.905449443584552682e+02 2.230991082641903267e-01 2
9 -3.623684623572123655e+02 4.266049062803256020e-01 1
8 -4.512573825283872679e+02 3.841368861600319984e-01 2
11 -3.608979160160573088e+02 3.745154225821853422e-01 1
13 -3.525010595520532775e+02 6.471973531257111389e-01 0
6 -7.218952380997031923e+02 1.253604781708070326e-01 2
2 -1.202140636685098434e+04 4.910474762655789860e-01 4
11 -3.595984300357977759e+02 5.277875601502320102e-02 1
10 -3.606908248517083848e+02 2.828181705227476583e-01 1
4 -2.592785333808149062e+03 8.284179351676941305e-01 2
11 -3.483977839554917182e+02 7.416350828491147240e-02 1
0 -1.448478338278205367e+06 3.177738542971569879e-01 4
13 -3.485804672231865879e+02 5.207297052971280316e-01 1
9 -3.613030191858980515e+02 6.031286065263562479e-01 3
12 -3.553730719739035067e+02 6.561324593914310555e-01 4
9 -3.997115596403922382e+02 2.019689116683569263e-01 2
6 -1.097176696039672379e+03 7.893944839561624072e-01 3
9 -3.961185438252531412e+02 7.626010979816508772e-01 2
21 -3.456593990147655973e+02 2.355958434925690126e-01 0
14 -3.472269741093259086e+02 8.267091915819746450e-01 1
11 -3.594404690180596731e+02 1.415324964413817721e-01 1
13 -3.508578663777822726e+02 5.393843218953002783e-01 1
19 -3.457285496038584824e+02 5.195394863817277553e-01 0
12 -3.583472087300280577e+02 7.704458815307902997e-01 1
13 -3.495100826028299252e+02 6.686554229136563166e-01 1
12 -3.506414995495468929e+02 6.703707391880693311e-01 1
22 -3.456270486823223109e+02 7.530961611621490581e-01 0
8 -4.152945118889979312e+02 7.751959743361864774e-01 2
10 -3.772808015908341304e+02 5.595990013818236131e-01 4
12 -3.579174377364561792e+02 2.870087473400603773e-01 1
21 -3.456312811590651108e+02 9.553754847925463589e-03 0
20 -3.456703307847495239e+02 7.175811648986623048e-01 0
0 -1.641345529380653170e+04 5.913124230095522238e-01 3
21 -3.456355512312552491e+02 9.645345424493827480e-01 0
22 -3.456296469108336851e+02 9.732981638370539201e-01 0
4 -2.695675533781162358e+03 8.425809829178391996e-02 3
12 -3.560403857060363748e+02 6.999183573486957854e-01 2
11 -3.579664633923684960e+02 7.314507745619464041e-01 1
12 -3.479134985507549231e+02 4.373352970027024611e-01 1
8 -4.383634393579822586e+02 5.349746627709919267e-01 3
11 -3.642357235675626157e+02 4.535386898037438996e-01 4
0 -7.934842036588863266e+03 8.162708005928144273e-01 3
16 -3.462751593437042175e+02 3.593497643612515446e-01 2
14 -3.473438555878036595e+02 3.676877912907719481e-01 1
14 -3.480553695496028581e+02 2.888053170099702527e-01 1
14 -3.464899221247861192e+02 1.940832884656999713e-01 1
13 -3.506287321977060287e+02 3.116964639055450070e-01 4
4 -3.012879807093076579e+03 4.317458928848036948e-01 3
4 -2.687384788514738830e+03 4.490717256119765022e-01 3
16 -3.462740594185968916e+02 9.259755261988242836e-01 1
12 -3.524963349495301372e+02 8.360658667467468774e-01 1
5 -1.341994901527725460e+03 5.001998058814882686e-02 3
25 -3.456169980795128254e+02 9.372372141075282492e-01 0
2 -6.295145181828960631e+03 3.165137905052146650e-01 3
10 -3.671883478633014875e+02 4.921658966610069630e-01 4
25 -3.456162823646864695e+02 3.124724607334837256e-01 0
26 -3.456141678666216421e+02 8.491258305259283823e-01 1
6 -9.043246702305991676e+02 1.332846764731032696e-01 4
25 -3.456167035826450729e+02 9.239268070491939433e-01 1
25 -3.456159502423989807e+02 7.173328541769979916e-01 0
