# level_assignment log_likelihood tiebreaker ID
0 -2.294165953038435418e+03 4.030932871328706257e-01 4
1 -3.421657013884438129e+03 5.145477358294325843e-01 2
2 -4.612984022442850573e+02 9.437069561887589941e-01 3
0 -1.917116192416723352e+05 7.995663264660802794e-01 3
2 -2.757633306572287438e+03 8.325427063979180531e-01 2
3 -4.480192079304348454e+02 3.293113168061765350e-01 3
3 -1.271658721211411830e+03 3.731727073476550638e-01 4
4 -7.001193796298964571e+02 1.466545774007625980e-01 4
5 -4.856498020555033008e+02 7.299022043138783111e-01 3
3 -1.055413578282362323e+03 7.287477523036360871e-01 4
5 -4.270533764185788641e+02 1.190487116576096766e-01 0
0 -2.475052716676321324e+03 3.611824364394928821e-01 4
8 -3.731575305787937396e+02 9.441521659692189150e-01 4
7 -3.666559663760760372e+02 1.287433713410746083e-01 0
1 -4.211982742329748362e+03 2.644297668283446257e-03 1
6 -3.970745011258421755e+02 5.415568725732707867e-01 2
8 -3.712615594146221270e+02 9.822965396615757072e-03 0
5 -4.533809861234061600e+02 8.498458884370991839e-01 2
3 -7.353244190923633141e+02 1.671432505819492320e-01 2
3 -4.087960939338583444e+02 6.421346891923461753e-01 3
8 -3.741414297467911183e+02 8.788726965519284562e-01 4
8 -3.672757925959458021e+02 2.686076905614922516e-01 1
0 -8.845550408400400192e+04 3.850768034014362406e-02 3
8 -3.728922640559339357e+02 7.383520769558614694e-01 2
8 -3.694209807101849492e+02 6.711054057618681679e-01 1
0 -1.752295838133000507e+04 7.500936088015479619e-01 4
4 -4.457920949667393415e+02 2.384158615382858670e-02 0
5 -5.016032731134216647e+02 1.242411419294346814e-01 3
12 -3.643761020894603462e+02 7.207648265824389000e-01 4
8 -3.649514879216430927e+02 1.369191242853828872e-01 2
0 -1.767114119313962874e+04 3.559132255190888827e-01 3
4 -5.494992224587681449e+02 6.893233240891840641e-01 2
1 -4.848944354382293568e+03 8.568338000408195487e-01 0
4 -7.089269343392688825e+02 8.305841002770417703e-01 0
13 -3.644395092080061431e+02 8.445824522210557683e-01 4
13 -3.644693615118351886e+02 1.030216803433675055e-01 1
11 -3.643195885412296775e+02 5.493298881776542686e-01 4
10 -3.664743305613257576e+02 7.889980440867122580e-01 1
15 -3.641801248666636184e+02 6.517588397857363436e-01 4
8 -3.731422052815286179e+02 6.615913981149577072e-01 3
3 -8.619320703198303590e+02 6.373570197373008561e-01 3
3 -1.358763086707991079e+03 7.786284956811059810e-02 1
6 -3.929530474482524482e+02 9.514899409745803949e-01 3
9 -3.662303645785207209e+02 1.023659364821845191e-01 4
