# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32747 32747 10651 32747
-1.111682817635381904e+00 -1.216212701208176622e+04 5.278700882490769963e-01 28490 32877 12550 42482
-2.314193571409738581e+00 -2.380261129174408779e+03 7.554801359186824605e-01 24935 32809 13842 44423
-3.468312030514414612e+00 -9.928446950851340489e+02 8.785541209237397453e-01 23231 32789 22394 46040
-4.204813320416677769e+00 -6.731820765468409036e+02 6.832676969975289838e-01 22152 32762 20409 53633
-5.172854552529664751e+00 -4.958946186772470810e+02 8.065910430232174910e-01 21195 32752 24513 52714
-5.950423654533902429e+00 -4.355958727020927199e+02 5.186213374923136499e-01 20497 32680 27216 55934
-6.683929186288914082e+00 -4.070859047989615078e+02 4.472684314382114334e-01 19491 32618 28715 57948
-7.399474423216232388e+00 -3.932607307132706183e+02 5.554779325691731051e-01 18550 32469 21403 59593
-8.422257925943299028e+00 -3.847368839697883232e+02 7.013006971176055648e-01 16601 32620 19968 52898
-9.397928203851968476e+00 -3.799004115426291150e+02 2.903209576626144539e-01 15332 32628 23879 51347
-1.017573023833159063e+01 -3.769701804590586107e+02 6.342494998030581144e-01 14497 32653 20718 55238
-1.115741671742447849e+01 -3.741860892400485454e+02 2.700767153133036835e-01 13535 32682 20621 52314
-1.209218067867419322e+01 -3.721814052959108494e+02 5.532301384819494627e-01 12916 32643 22521 52117
-1.293976414005488884e+01 -3.707928068891803832e+02 3.518625233222859028e-01 12363 32643 19548 53795
-1.395138444057055338e+01 -3.694496959442584512e+02 6.283834792746582076e-01 11545 32252 21273 50761
-1.482826426700685296e+01 -3.685093459015170652e+02 6.039773098848844057e-01 11148 32236 21366 52294
-1.572904039058816750e+01 -3.676827664960189281e+02 1.696689346212920668e-01 10733 32260 14677 52510
-1.698596450906489252e+01 -3.667184115997445701e+02 8.821538387380343238e-01 10212 32165 18359 46033
-1.791020243960535296e+01 -3.661284087316004161e+02 7.527371053084470631e-01 9865 32243 10801 49546
-1.939304792075634509e+01 -3.654379418779282105e+02 1.009249460139362981e-02 9394 32258 10869 42484
-2.072637461967638828e+01 -3.649434526346558982e+02 3.529878899411194593e-01 9056 31959 12639 41740
-2.190602643628977830e+01 -3.646201393723554247e+02 4.821676336410085084e-01 8524 31764 11209 43185
-2.322672816887394731e+01 -3.642915184696773849e+02 4.108746683905245556e-01 8270 31507 8837 42487
-2.474510129785312884e+01 -3.639916170800098598e+02 5.169285422012810383e-01 8029 31558 15907 39757
-2.566707962475626914e+01 -3.638329219808545076e+02 4.335512750264269854e-01 7914 31547 18016 46820
-2.662491439279994410e+01 -3.636919791238462949e+02 8.504183774533657925e-01 7700 31644 23991 49024
-2.735470238868100878e+01 -3.635994272722666096e+02 7.878554144796479086e-02 7439 31673 9143 55028
-2.908566687553887675e+01 -3.634089178756480578e+02 4.596117080085104778e-02 7479 31631 12099 40130
-3.026871422899058928e+01 -3.632896589508491161e+02 8.525200775730699121e-01 7263 31762 0 0
