# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 28448 28448 10372 28448
-1.008067279977227670e+00 -1.722138024681579554e+04 8.042160318583135847e-01 24408 28507 11697 37718
-2.164568249610579365e+00 -3.902132355294392255e+03 4.553382259464119342e-01 21557 28440 12879 39224
-3.269316809424554826e+00 -1.560342827126509974e+03 4.184680923132211294e-01 19023 28507 13617 40404
-4.350303037798648909e+00 -8.744782340983928179e+02 5.850669028444765996e-01 17292 28378 14380 41028
-5.395176074527217480e+00 -6.121783271463157234e+02 1.188994451469032043e-01 16106 28280 15915 41662
-6.360114951127592064e+00 -4.901023727771739686e+02 1.506986720698500481e-01 15247 28171 13011 42941
-7.539567109636333697e+00 -4.133870935745795805e+02 3.100027350570238038e-01 14572 28286 14089 40426
-8.589622956631810524e+00 -3.798667080117866135e+02 2.951907432895186645e-01 13766 28364 14039 41342
-9.663759586505596744e+00 -3.637205101472285378e+02 8.168816700159724498e-01 13209 28462 14245 41441
-1.072665861452215275e+01 -3.558729468343353233e+02 7.977065390997833960e-01 12599 28476 16803 41559
-1.163860765301686584e+01 -3.520310170201099140e+02 4.936940507213720686e-01 12093 28290 10513 43830
-1.303102946565774367e+01 -3.488937161008113890e+02 5.090263587046650606e-02 11545 28368 9643 38152
-1.437210762802798314e+01 -3.476649014360473302e+02 3.479435052823953711e-02 10652 28283 11095 37012
-1.555912970909493609e+01 -3.471575860455770908e+02 1.927898741559945783e-01 10449 28251 9178 38351
-1.694899705928907352e+01 -3.469052005720457714e+02 5.535925051302677258e-02 9753 28387 6732 36828
-1.857136709542906772e+01 -3.467907274229971790e+02 1.533512563909937843e-01 9158 28615 15706 34835
-1.938338276818205941e+01 -3.467660320661304922e+02 3.351101965509004632e-01 8998 28745 14523 42987
-2.046247449743065161e+01 -3.467468788720609041e+02 8.366545924560413461e-01 8658 28667 16823 42109
-2.138553441670359945e+01 -3.467373974230308136e+02 7.200139403018006590e-01 8291 28677 21725 44257
-2.211393439493055624e+01 -3.467335725025154147e+02 1.501415029541483016e-02 7916 28607 7212 48565
-2.393463517153555031e+01 -3.467291577228833148e+02 7.061081664527649737e-01 7305 28755 11375 35396
-2.505801601352625241e+01 -3.467282984822077196e+02 3.951317552547883860e-01 7240 28957 9842 39383
-2.641020730295798202e+01 -3.467277055332860982e+02 5.293311861735479074e-01 6960 29092 6073 37888
-2.814589712395259724e+01 -3.467274284018070603e+02 9.406182810246350723e-01 6564 29248 3368 34764
-3.027053953308669065e+01 -3.467273234960573518e+02 7.002397142829985821e-01 5931 28878 11030 31795
-3.132377699506692181e+01 -3.467273103144557354e+02 4.948210504707436508e-01 5748 28823 7699 39220
-3.288870177208282541e+01 -3.467272994838815521e+02 3.708558239626039144e-01 5306 28883 10639 35945
-3.408671434840783121e+01 -3.467272968849487143e+02 4.306058019538318571e-01 5020 28850 9588 38840
-3.544941097216417347e+01 -3.467272955499181535e+02 9.044300856320814930e-01 4941 28802 0 0
