# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33203 33203 10226 32803
-1.149877650471401225e+00 -1.201911526675392452e+04 8.319392383901980104e-02 26174 33063 14835 42426
-2.197043783749901280e+00 -3.003988281345443283e+03 9.725370745155693664e-01 21804 33117 19001 46947
-3.107333936106194461e+00 -1.491405895383034022e+03 3.741960931104929555e-01 19452 32999 21667 51038
-3.971929099657188544e+00 -8.652436059441020006e+02 7.393489375212866643e-02 17955 33067 25618 53762
-4.725944696503940889e+00 -5.999719162511232753e+02 2.499689454046095660e-01 16592 33110 25721 57007
-5.531561918392246646e+00 -4.700699906242609813e+02 4.071642609889763453e-01 15606 33057 21241 57341
-6.525004874725620851e+00 -4.017684594728379466e+02 7.728524510670915504e-01 14416 33015 18463 53081
-7.577819282544997925e+00 -3.753336391438214150e+02 1.628561485119844332e-01 13233 33034 23240 50469
-8.365230844651035724e+00 -3.684194419632385689e+02 1.428699275335504337e-01 12590 32988 30594 54737
-8.965810391047261518e+00 -3.655878548812063400e+02 9.899651191230336433e-01 12143 33039 31067 61944
-9.668922121192187191e+00 -3.638255304571520128e+02 8.117988658500401300e-01 11502 32937 20678 62322
-1.076692827176550082e+01 -3.627426678171117373e+02 5.570001059659714926e-01 10651 32896 18502 52466
-1.180676259793122540e+01 -3.623982982158084951e+02 4.757059005834740617e-02 10039 33027 14040 50440
-1.306684075820652602e+01 -3.622605064661262873e+02 3.231859103932479549e-01 9003 32911 28711 46190
-1.356882265381418584e+01 -3.622399616778982363e+02 4.120163298644753946e-01 8906 32782 16475 59397
-1.483486378812222561e+01 -3.622155851576184205e+02 3.235723365945081254e-02 8166 32602 10743 48196
-1.629662231083927182e+01 -3.622079735146490975e+02 1.778372475350682436e-01 7532 32647 14228 43349
-1.740251297650215534e+01 -3.622066044594662344e+02 1.439971900910155256e-01 7002 32536 23167 46127
-1.810849410182516905e+01 -3.622062213882106789e+02 4.381025458513398974e-01 6983 32675 18963 55201
-1.917315205163498959e+01 -3.622059943180931896e+02 3.537441290851033315e-01 6550 32557 20605 50882
-2.008249879365666857e+01 -3.622059143016892904e+02 3.962427424237946472e-01 5982 32529 29348 52495
-2.068361167997526096e+01 -3.622058911277010793e+02 6.935483836695510718e-01 5808 32647 17163 61339
-2.194195877905697500e+01 -3.622058710374653288e+02 4.130564981927337675e-01 5422 32169 27931 48699
-2.251998580419565243e+01 -3.622058674912028096e+02 7.955431924308165037e-01 5303 32185 39336 59427
-2.295529226807789058e+01 -3.622058658888505533e+02 9.453834342831820559e-01 5191 32194 22217 70243
-2.409939332280429980e+01 -3.622058639195130354e+02 8.292989549141216443e-01 4941 32229 29949 53911
-2.470612332946757661e+01 -3.622058634497367962e+02 5.635998621047051405e-01 4757 31975 27540 61260
-2.551456869217647494e+01 -3.622058631472768866e+02 6.026365708106297125e-01 4556 32046 17082 58960
-2.673976494698852591e+01 -3.622058629589727730e+02 6.424288027389409850e-01 4259 31936 0 0
