# level_assignment log_likelihood tiebreaker ID
0 -8.115898609707012656e+04 1.440075494667957812e-01 0
1 -1.007335814921027850e+04 8.966610090961167900e-01 2
1 -1.138145406183898376e+04 9.623226689064856565e-01 2
0 -5.374429336652612983e+04 7.566270565339652254e-01 4
3 1.036153060709802958e+03 8.873052502696257005e-01 2
2 -1.172984731689481350e+03 9.273001523181698680e-01 4
0 -2.549024967668410682e+04 6.316895084205741417e-01 0
4 1.437030775019570228e+03 7.562571113871141559e-01 4
2 1.619380331926413874e+03 7.650340599959284393e-01 1
3 9.313236077519658238e+02 5.696937299399524868e-01 3
5 1.671747922135534736e+03 4.228947404776642327e-01 3
5 1.647614887360553439e+03 6.192538683588931780e-01 3
4 1.362664851160709532e+03 3.414234312970600982e-01 1
1 -1.380700624528414482e+04 6.400514922241420379e-01 2
1 -9.247519202519821192e+03 3.927707848282993019e-01 1
2 1.187086165326019227e+03 1.419080166235628659e-01 2
1 -7.683660559186309001e+03 6.058729646086313814e-01 0
1 -1.326066835428820923e+04 3.401401495889149751e-01 1
3 8.736119616512598895e+02 5.936650140173116430e-01 0
8 1.674632257307486270e+03 7.770729240676743643e-01 1
3 1.046050134826681642e+03 9.622211422548618831e-01 4
5 1.575910955077643621e+03 3.189499134151554394e-01 4
9 1.677151688928858221e+03 8.849291617330603543e-01 0
6 1.663737733756120633e+03 5.799751041100696947e-01 4
5 1.634899860698249086e+03 9.542656187226492559e-01 1
8 1.672975366692923217e+03 7.778855776545344769e-01 0
6 1.646420921822918672e+03 1.828488543614653350e-01 2
7 1.665387768517942050e+03 7.971800753735410749e-01 4
10 1.678640421644220169e+03 7.689990825093195870e-01 2
10 1.678121452273129989e+03 8.625295973310904696e-01 0
9 1.678193171250063642e+03 8.241814177812727404e-01 2
9 1.676166537794247688e+03 4.460725020398245699e-01 2
7 1.668042782152364907e+03 7.606191789475481579e-01 2
10 1.678811285292774301e+03 6.615133089459448446e-01 3
11 1.678753135052483685e+03 4.154473265623424144e-02 1
8 1.675317366926333534e+03 9.805060860351171304e-01 0
14 1.679228663978541135e+03 5.420655698689460511e-01 2
14 1.679230940595208494e+03 9.982286927970780432e-01 3
15 1.679294330718443916e+03 6.454833671025854702e-01 2
15 1.679305500171136828e+03 2.321882827751902689e-01 3
16 1.679312978667011066e+03 3.725742111697893932e-02 4
17 1.679316437424039577e+03 5.547436388100324134e-01 2
14 1.679287992913732978e+03 5.202088472249126738e-01 3
9 1.675967807575330880e+03 3.622924475612770978e-01 0
10 1.678152413612656801e+03 9.317710158530686515e-01 0
13 1.679241831564177119e+03 5.721015812858016858e-01 3
13 1.679225457432498843e+03 2.449780284820869403e-01 1
14 1.679280860532540373e+03 2.162359447668285861e-01 0
13 1.679306194925265800e+03 3.624040693300187854e-01 3
18 1.679317343921112297e+03 2.566100891609158774e-01 1
18 1.679316713018608425e+03 1.084591820235036863e-01 4
17 1.679314161484549004e+03 9.499555941917596780e-01 3
17 1.679315457315020467e+03 2.162137085684676663e-01 1
17 1.679313967784815304e+03 1.536427825905484212e-01 2
16 1.679309042334490414e+03 6.613223371535612571e-01 2
21 1.679317454852364108e+03 4.447699185272253608e-01 3
19 1.679317289684998286e+03 7.089253150218937094e-01 3
21 1.679317415620778775e+03 6.359798752085359386e-01 0
15 1.679294089026305983e+03 5.173709611330847835e-01 1
21 1.679317444288999013e+03 8.155893918111505325e-01 4
12 1.679223089095439263e+03 5.956090186544379383e-01 1
22 1.679317460932821632e+03 8.958981494830808856e-02 3
21 1.679317447352234012e+03 9.182087403846789231e-01 3
13 1.679276509249958281e+03 8.809079598029889713e-01 1
22 1.679317449962618184e+03 6.401051114001259368e-01 3
14 1.679232854456306541e+03 2.729381577847773688e-01 4
14 1.679307692695990454e+03 4.107279062557802618e-01 4
18 1.679316592836443306e+03 1.085484195251260192e-01 4
16 1.679311493308196532e+03 3.277150248591125248e-01 2
13 1.679146635302633058e+03 8.617842715202518322e-01 4
7 1.675708204580160782e+03 2.970436024019140753e-02 4
2 -4.057439062535682979e+02 5.483243011724825422e-02 4
20 1.679317410167177059e+03 9.740883426343134310e-01 3
24 1.679317462124127815e+03 3.236023503316441952e-01 0
22 1.679317460707901773e+03 6.431624422297735899e-01 3
12 1.679013722620746876e+03 2.707148119297805300e-01 4
24 1.679317461316325989e+03 8.576910273196042267e-01 3
25 1.679317462062940422e+03 5.336280672356696897e-03 3
24 1.679317460645047504e+03 5.974492962526840589e-01 3
16 1.679312848518637566e+03 3.446476651212658504e-02 2
16 1.679314607254651946e+03 9.928494324640836366e-01 0
21 1.679317455117764212e+03 3.147613953024290256e-01 3
16 1.679307303373444483e+03 3.552222479869086014e-01 1
17 1.679313358375568441e+03 6.196647272476478729e-01 1
17 1.679315284925850619e+03 4.323709007625571865e-01 2
15 1.679310748031293997e+03 9.965202488420930871e-02 1
20 1.679317449072259706e+03 2.892987037478246259e-01 3
18 1.679316798050404486e+03 5.935077220981264112e-01 1
20 1.679317369986078575e+03 2.067438302925609650e-01 1
18 1.679317318695548693e+03 1.191170203062896782e-01 2
18 1.679316756948998318e+03 7.087084186607139902e-02 0
17 1.679313264464975646e+03 6.223414150553359114e-01 2
9 1.678127442617330416e+03 5.632977610330129892e-01 2
15 1.679300804620273993e+03 2.899639857576695456e-02 1
16 1.679315402823770000e+03 2.418741620901395661e-01 1
23 1.679317461841199020e+03 2.987985307293153370e-01 4
12 1.679138667306353000e+03 5.199096874509545607e-01 1
8 1.679222201616148141e+03 6.544909221348302886e-01 2
24 1.679317461002812706e+03 1.105428248139622427e-01 3
26 1.679317462339052554e+03 3.741925839937021436e-02 3
10 1.678569350223532183e+03 5.573743024645069766e-02 2
28 1.679317462413566318e+03 2.136395380582021275e-01 4
8 1.672909245307666879e+03 4.773773212219780682e-01 2
27 1.679317462404445223e+03 9.241409466890442292e-01 3
0 -7.228334267775097715e+02 3.057773391675149277e-01 1
28 1.679317462387337173e+03 8.450594285329383615e-01 3
3 1.277379181674594747e+03 2.584072325486104216e-01 1
15 1.679295860124648698e+03 3.490564159450417758e-01 2
23 1.679317461988869582e+03 2.249336801720911438e-01 3
28 1.679317462394947370e+03 3.384254301902007711e-01 0
26 1.679317462298682358e+03 6.764033219500888983e-01 3
4 1.617355078567637747e+03 1.108706334313240977e-01 2
27 1.679317462361631442e+03 6.938810597607649733e-01 3
23 1.679317458882735991e+03 1.354345493016153590e-01 0
12 1.679193818671531517e+03 4.386656299463664865e-01 1
14 1.679314292321617359e+03 2.872664266770694752e-01 1
12 1.679043105992730489e+03 4.517509745854386694e-02 2
25 1.679317462028117006e+03 7.207539541597534072e-01 3
24 1.679317462166725818e+03 9.008630203726681884e-01 4
17 1.679314463993188156e+03 5.653779491840954519e-01 1
1 -8.802898969660593139e+03 9.828229355378041987e-01 2
11 1.679133653555618139e+03 3.920631502921788636e-01 1
28 1.679317462388322383e+03 2.618907570127628759e-01 3
27 1.679317462382378835e+03 7.005483911290433241e-02 3
23 1.679317459961559052e+03 2.837718045403530565e-01 0
25 1.679317462130304648e+03 6.678404028484561383e-01 0
23 1.679317460560670270e+03 9.983809869388395875e-01 0
23 1.679317460238233252e+03 4.301272770837583082e-02 0
19 1.679317366822191389e+03 2.906599026003160446e-01 0
17 1.679315822609943552e+03 3.295180875011145538e-01 3
26 1.679317462374088791e+03 8.207473538641367750e-01 1
18 1.679317257266774959e+03 2.775695355354557137e-01 1
20 1.679317350727363646e+03 6.078836917371435167e-01 0
12 1.679190576863201386e+03 7.589161177848603446e-01 3
5 1.630783891780075464e+03 1.685837609032110329e-01 2
9 1.676714173280006435e+03 5.439825145863750322e-01 0
1 -3.856544337157655264e+03 9.114391765333778039e-01 2
10 1.678943361713753575e+03 2.531820701095238157e-01 0
4 1.568105971819381466e+03 7.073676087332840812e-01 1
