# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32633 32633 13417 32633
-8.981413886261001567e-01 -2.393142838935522013e+04 4.263669657141547775e-01 30097 32701 22408 44786
-1.608231375063182700e+00 -1.096313420385292011e+04 7.826344672995497742e-01 28445 32684 21601 53539
-2.520832567414466485e+00 -6.052982484349573497e+03 5.173218551757482464e-01 26776 32812 19132 53135
-3.541087695942032987e+00 -3.203921397452245856e+03 1.896103995197155889e-01 25397 32720 14702 50792
-4.765089303265126475e+00 -1.464021156531170391e+03 7.662842283511526187e-01 24018 32675 16306 46519
-5.810270547528550544e+00 -7.936418983896224972e+02 2.431577930907058149e-01 22982 32603 25944 47935
-6.444195675812719237e+00 -5.998828878458077725e+02 9.756649121981331163e-02 22286 32282 21745 56742
-7.405442512800593846e+00 -4.542559845386160760e+02 8.940879964026604565e-01 21586 32369 15243 52849
-8.633329179929964070e+00 -3.798428043912903149e+02 2.582626179297171087e-01 20436 32007 25409 46321
-9.255091490305060731e+00 -3.663769049376811608e+02 8.232465268462298980e-01 19646 32050 20510 56029
-1.025978291403055920e+01 -3.561230203157469987e+02 5.919621619190663653e-01 18618 32023 28517 51717
-1.087443234662511315e+01 -3.526715058350822574e+02 3.266853622818897129e-01 18067 31953 25508 59013
-1.172079970024288720e+01 -3.498079820466098795e+02 5.692017976780094912e-01 17074 31924 16040 56258
-1.296033313478122651e+01 -3.476424792035981000e+02 5.789242377710035470e-02 16424 31848 26866 47194
-1.354620284745363712e+01 -3.470940480293628525e+02 9.449737507012567761e-01 15931 31943 33978 57366
-1.408993369396015183e+01 -3.467591777302582727e+02 4.246665002905158914e-01 15529 31937 30372 64408
-1.485199230596355768e+01 -3.464472379107995721e+02 2.410482585178039538e-01 15142 32007 34036 61201
-1.545550689627230057e+01 -3.462917453521088760e+02 3.824415457240721850e-01 14816 31950 23599 64470
-1.646026843815529972e+01 -3.461257933090241750e+02 1.186767197442472610e-01 14105 32182 26048 55114
-1.722182885106452233e+01 -3.460577014293456841e+02 5.640574953903083610e-01 13652 32281 31182 57547
-1.785145409983120501e+01 -3.460199056262277963e+02 3.269582597516828004e-01 13610 32344 44408 62772
-1.822083163999512934e+01 -3.460033279781859505e+02 9.570339537362082538e-02 13410 32383 54504 75868
-1.857126743765345722e+01 -3.459890007915616934e+02 5.998962504303351206e-02 13476 32542 66791 86601
-1.884960584048145904e+01 -3.459782625407407295e+02 5.176444513638792655e-01 13447 32596 38156 98072
-1.979532667521254652e+01 -3.459456880263412017e+02 1.243708829585160464e-01 13280 32633 34490 70246
-2.051751971644443628e+01 -3.459274377870517583e+02 8.407848662712269494e-01 13253 32620 16390 66474
-2.189556313982508229e+01 -3.459027483457150538e+02 9.722995374956977521e-01 12367 32517 17560 48259
-2.290584453426746947e+01 -3.458921774414845913e+02 5.125224952079663332e-01 11861 32578 14741 49492
-2.410300133042533588e+01 -3.458835414058557944e+02 9.814369829136592172e-01 11216 32568 0 0
