# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33646 33646 12541 33646
-9.880103188064836006e-01 -1.598236560339198149e+04 5.719093926743529233e-01 29207 33719 15659 45199
-2.044002511647736497e+00 -3.871309541619619267e+03 3.661247757471720599e-01 25623 33635 17383 48218
-3.062984710997925575e+00 -1.651584291785116420e+03 6.529730006245927365e-01 23139 33414 16371 49672
-4.165984390061650444e+00 -7.921619850215356564e+02 3.076977630594108781e-01 21112 33188 20654 48653
-5.030963828417810646e+00 -5.418752054827280062e+02 6.030963553870554161e-01 19725 33225 19204 52585
-6.037859953621359743e+00 -4.209735959039960562e+02 3.502659216465917602e-01 17975 33211 13679 51538
-7.342246844128831995e+00 -3.713964172613435153e+02 7.321207690175890459e-01 16037 33167 17337 46350
-8.326678485049495038e+00 -3.595863936754671499e+02 6.503903915479102293e-01 14770 33170 18227 49868
-9.332766698044409281e+00 -3.535187063408341714e+02 1.570884467513607718e-01 14027 33202 21092 50763
-1.021778363778460985e+01 -3.505612526293779183e+02 3.446984521744316243e-01 13546 33328 22867 53797
-1.108080252802633048e+01 -3.489468462076110882e+02 4.450190188156606663e-02 12806 33306 21296 55538
-1.204154037589965753e+01 -3.479915207677835269e+02 5.552466930689494706e-01 12344 33409 23187 53770
-1.289085645720358109e+01 -3.474868660651546293e+02 8.655155287590146074e-01 12093 33405 33962 55875
-1.341010101106730623e+01 -3.472819167956866977e+02 5.057396253278403919e-03 11641 33462 34195 65531
-1.407421699730848630e+01 -3.470963942870623100e+02 1.515307462798455851e-01 11649 33494 24732 66033
-1.505708663603504149e+01 -3.469156364451855552e+02 4.868131505790761482e-01 10950 33386 20169 56806
-1.609067842336417087e+01 -3.468230904820991896e+02 7.167191615348330602e-01 10432 33448 19062 52385
-1.710097686066633216e+01 -3.467780979929372052e+02 6.553307898581313129e-01 9981 32797 16253 50703
-1.823005497171819300e+01 -3.467515092035665134e+02 3.776812383871465673e-01 9294 32450 10457 47435
-1.970119930056013047e+01 -3.467363730409250593e+02 5.370486178402308353e-01 8623 31832 15020 41556
-2.071759958863906803e+01 -3.467322944042919062e+02 2.774747319987252991e-01 8353 31813 29035 45613
-2.119703400303916041e+01 -3.467309673836937236e+02 7.898207911113350743e-01 8036 31809 8446 58786
-2.306060473280149736e+01 -3.467284264248262389e+02 8.801551669240266218e-01 7590 31534 8178 39476
-2.457891215892509962e+01 -3.467277856445517727e+02 9.393760361007778004e-01 7011 31275 19251 38899
-2.530180066299380925e+01 -3.467275966906575491e+02 4.007736486266777476e-01 6820 31219 21946 49833
-2.613176592024579392e+01 -3.467274773844885090e+02 2.247102513845069538e-01 6659 31345 29028 52648
-2.674616734143560848e+01 -3.467274203711864402e+02 1.287621673040212633e-01 6502 31428 23684 59817
-2.767622220851114534e+01 -3.467273645856572557e+02 1.732807646341782970e-01 6387 31525 27875 54557
-2.836319521450588255e+01 -3.467273417603517487e+02 2.434465057084529149e-01 6280 31369 0 0
