# level_assignment log_likelihood tiebreaker ID
0 -6.308272499149059513e+03 3.798980599434820249e-02 2
1 -1.343500274305492894e+04 8.019673850464237308e-01 4
0 -1.217525807001057401e+05 4.240515041343219660e-01 4
1 -1.464311074379069851e+03 6.354550783397868718e-01 2
4 -4.798116540091854745e+02 3.962712183128228594e-01 1
1 -9.555677985155742135e+03 4.714289588598861158e-01 1
0 -7.650180348374968162e+03 5.922098662191204177e-01 1
1 -3.583396463925209900e+03 4.665616346765053546e-01 2
5 -4.697151798116425425e+02 1.383284398222173195e-01 4
3 -1.650858004954513035e+03 7.080665581642420214e-01 4
2 -2.783219267561965353e+03 9.410213221779153425e-01 1
5 -4.800802045035508741e+02 6.970188288168961410e-01 2
6 -3.778461898711236699e+02 1.886586212175202504e-01 0
5 -4.199436040431306765e+02 3.352424065602311876e-01 0
3 -8.436941574020697772e+02 6.684947045697567924e-01 3
7 -3.591216413646532146e+02 3.318017930335491750e-01 1
4 -3.765236673572741211e+02 2.183971112485268429e-01 4
4 -6.933752041222569460e+02 5.683226555255488366e-01 2
5 -4.321612316136115624e+02 1.860073223934000097e-02 4
7 -3.507281291590463752e+02 6.783699776741001219e-01 3
6 -4.112554125442572968e+02 5.737136789044652296e-01 1
4 -4.889478950244034650e+02 2.856798789215838630e-01 0
9 -3.526371530338508933e+02 1.726530248934565193e-01 4
8 -3.528938667277770946e+02 7.017927711814451186e-01 1
8 -3.591848506325028438e+02 1.758259873688354236e-01 4
11 -3.479965618719473923e+02 2.705824124593805280e-01 3
10 -3.490800919622763558e+02 1.584984230969233854e-01 1
10 -3.480923048854133413e+02 2.880126495918158280e-01 1
13 -3.469711646674015242e+02 6.149295429350922770e-01 4
1 -1.151363614292141165e+03 3.000105135264509171e-01 2
11 -3.488175886249817950e+02 8.703582589453013885e-01 0
11 -3.472009199211743180e+02 6.637066504972437275e-02 1
11 -3.472089998484482294e+02 5.351201479748775997e-02 1
9 -3.496166283642176040e+02 1.020996146932132281e-01 0
16 -3.468037867223010267e+02 2.479605162127640483e-02 3
16 -3.468470698090441147e+02 6.075417756920774986e-02 3
13 -3.473698434073911585e+02 7.100169289088631430e-01 0
15 -3.468382938903772583e+02 4.816052406912160189e-01 4
14 -3.471257700934740456e+02 1.032786892744570473e-01 1
18 -3.467642390774706200e+02 8.507958704913709536e-01 3
14 -3.470039686176468194e+02 5.695668471182651071e-01 2
2 -7.759721139619740597e+02 3.582701131219522273e-01 0
17 -3.468208429499667318e+02 8.525964613817176296e-01 1
8 -3.514552373780613266e+02 6.698551849312847084e-01 2
17 -3.467314934869598346e+02 2.938514332383785899e-01 3
18 -3.467726190256381642e+02 6.492827268753540437e-01 3
20 -3.467361672349313721e+02 3.006796604108892268e-01 3
15 -3.469439971228902095e+02 1.434533677608096532e-02 0
3 -6.414398980567314084e+02 7.735964873843487188e-01 2
19 -3.467350794254349466e+02 1.554553891122506248e-01 1
16 -3.468782003441170900e+02 5.446923689770081234e-01 3
6 -3.990628081120541992e+02 5.038079318152967057e-01 2
19 -3.467414028729139659e+02 9.920620996589413210e-02 4
15 -3.470885486062268797e+02 6.568100717815483769e-01 0
19 -3.467354102915952581e+02 4.553378449179540377e-01 0
16 -3.468740582752723185e+02 1.579708452080961778e-01 0
18 -3.467706369867602234e+02 6.003184230833813473e-01 3
14 -3.471145520799671544e+02 6.729094401774027290e-01 1
18 -3.467526631450241439e+02 4.057815777897214593e-01 4
7 -3.706783234982456179e+02 5.257337771073868904e-01 2
15 -3.469101261125206292e+02 2.223383918327641595e-01 1
18 -3.467463394207742908e+02 7.156911484220843667e-01 3
11 -3.469629265628441317e+02 8.155063856411755904e-04 1
23 -3.467277082168792504e+02 6.070525315485731932e-01 4
19 -3.467411256329134517e+02 3.333728806530247279e-01 3
20 -3.467326015900461584e+02 4.925254864225963036e-01 1
22 -3.467293410146272095e+02 3.516652516384199956e-01 1
12 -3.475456142029523789e+02 9.942423095099559571e-01 2
20 -3.467351019703239672e+02 4.727295872419585154e-01 3
11 -3.487055288976016527e+02 6.801826976085037502e-02 2
21 -3.467279095154803485e+02 8.217898651037081059e-01 4
