# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 27667 27667 10483 27667
-9.734728713948936907e-01 -6.236842308405761287e+04 5.535960982635947936e-01 24723 27589 18877 36924
-1.666758025201487747e+00 -1.712186053917293611e+04 5.222301141159735316e-01 23543 27644 10874 44951
-3.052305690920986692e+00 -3.724453767538000648e+03 3.619740321802034089e-02 21218 27432 14059 37547
-4.035997714836944361e+00 -3.028429599066955234e+03 1.416794847407611968e-01 19429 27508 12143 40505
-5.224357676117239002e+00 -2.156989105555957394e+03 1.532243086430122858e-01 17061 27353 15922 38633
-6.118919763156720926e+00 -1.194997895868702699e+03 4.405682582453311902e-01 15563 27193 13455 41856
-7.243712465110272447e+00 -6.599434757514142120e+02 6.679902158673943768e-01 14174 27227 12457 39743
-8.391144294957802785e+00 -4.725177548590699530e+02 3.837584953088079565e-01 13005 27152 16602 38644
-9.246940718866952125e+00 -4.223930367941818531e+02 6.880060934300683551e-01 12279 27184 11270 42522
-1.054831573360231722e+01 -3.835682928953874580e+02 5.478156444140844794e-01 11290 26895 12450 37405
-1.164022819573597189e+01 -3.657165195597797265e+02 6.446324532632198290e-01 10966 26881 17946 38497
-1.241957391221964713e+01 -3.584376842708314825e+02 7.996167640776573604e-01 10480 27023 21515 43669
-1.314471364418673183e+01 -3.537312915778649085e+02 4.075515243338436733e-01 9979 27059 10054 47286
-1.464820533065774022e+01 -3.485087292892753794e+02 8.700830205940052187e-01 9417 27160 8498 36831
-1.606878830404125580e+01 -3.467847730116390039e+02 9.988208736162080825e-01 8946 27144 14221 34967
-1.697642018117364060e+01 -3.463113982433004026e+02 2.164842170675410071e-02 8623 27049 19335 40127
-1.772397996756004801e+01 -3.460606293055035394e+02 2.476126905164568459e-01 8236 27125 18776 45456
-1.861528441194658257e+01 -3.458798565768829576e+02 2.268271107837216416e-01 8083 27216 26510 45377
-1.917718631735799661e+01 -3.458058416850544177e+02 6.795755255545135598e-02 8110 27222 33287 52362
-1.965448586416318122e+01 -3.457543228682673657e+02 1.841366302735867322e-01 7849 27365 16875 58846
-2.088925561290835375e+01 -3.456768762835232565e+02 4.059082848992936476e-01 7587 27497 6053 43765
-2.276151549561534893e+01 -3.456320929042827288e+02 2.845031703249605304e-01 7036 27392 13401 33023
-2.367159131228741131e+01 -3.456253778739249469e+02 2.028960700576440956e-01 6595 27152 16497 39202
-2.454657476699543750e+01 -3.456205112623104014e+02 1.343974736080957300e-01 6507 27169 18458 42158
-2.538371081557614772e+01 -3.456172904010597335e+02 8.373792777443624935e-01 6308 27156 16713 44604
-2.636655273938865918e+01 -3.456154891235355535e+02 3.235127480527655308e-02 6040 26966 14367 43650
-2.746990356398235633e+01 -3.456145599702189770e+02 8.592580895735904001e-01 5720 27141 18790 40880
-2.826165601286283291e+01 -3.456141678666216421e+02 8.491258305259283823e-01 5684 27292 14051 45428
-2.942284227213209036e+01 -3.456138279013516694e+02 6.508716311156103052e-01 5550 27364 0 0
