# level_assignment log_likelihood tiebreaker ID
0 -1.159861658349104982e+04 3.798980599434820249e-02 2
1 -4.662110164400540270e+03 3.311212065103808500e-01 2
1 -3.313155071659945406e+03 4.822300054364365707e-01 2
2 -1.705409160252936545e+03 1.469376197732140676e-01 4
0 -1.501833461488134344e+04 7.731735543565461111e-01 0
2 -3.956401993568201760e+02 1.348400753949398900e-01 1
1 -5.832787262040901624e+03 4.171085666438343886e-01 2
4 -6.678655834219604230e+02 7.122999634980925476e-02 3
2 -1.134517676429544281e+03 4.562538380749336930e-01 3
6 -4.112019132417931360e+02 9.156166379270580524e-01 2
0 -1.282645370745806431e+05 4.956968233693584414e-01 0
2 -1.771085820507450080e+03 1.454788512354951990e-01 2
7 -3.860435324307334213e+02 9.106144852546521617e-02 0
7 -4.017627668131622158e+02 4.888360500338055914e-01 2
4 -6.284670129348860428e+02 1.648229367079607766e-01 2
6 -3.968255609253393459e+02 1.962167947902699328e-01 3
9 -3.830159503270193682e+02 7.570664451435417386e-02 0
6 -3.979719364269075754e+02 7.133592100789130086e-01 4
2 -1.781479951378009446e+03 4.724306567109621824e-01 2
4 -6.257918374636774388e+02 7.597959213016380886e-01 2
9 -3.788651912138694229e+02 9.894216995418343430e-01 4
4 -5.371831484226238445e+02 2.776708536632181978e-01 3
7 -3.850602486276667378e+02 6.532960695358163150e-01 3
8 -3.820881609295355474e+02 8.154825349564689407e-01 1
6 -4.039837156916291860e+02 6.037395567059906654e-01 2
11 -3.721006767760544562e+02 8.848279429582208699e-01 2
11 -3.757127120171304568e+02 1.110679227657431767e-01 3
10 -3.768515025133497147e+02 6.563247581412695597e-01 1
14 -3.695214311612943447e+02 9.078995138314110980e-01 4
14 -3.677432910863174129e+02 5.550818265245964778e-01 0
14 -3.706408603280154921e+02 1.711373853648268106e-01 4
9 -3.842018396459903329e+02 8.272329624615600840e-01 0
3 -8.891431182495817893e+02 9.827123780150960330e-01 3
15 -3.681597374704065260e+02 3.269995704981685236e-01 0
8 -3.834572410816710999e+02 5.281497254370756123e-01 3
12 -3.703940201883684153e+02 7.211022960949632354e-01 2
11 -3.759763835220349506e+02 5.184545037725010186e-01 1
8 -3.815439510374847032e+02 4.167802184115196873e-01 0
12 -3.710783588749399655e+02 1.333720102107951999e-01 4
2 -1.690106218539410747e+03 3.196220155762212189e-01 0
9 -3.809376832740823602e+02 8.446120157098335746e-02 4
11 -3.762762941618614150e+02 3.240624458415304332e-01 4
17 -3.674300261766193785e+02 7.557798356798155481e-01 1
13 -3.709191038961221238e+02 6.720994402209110596e-01 1
12 -3.735873039090336647e+02 8.546386507032125435e-01 4
15 -3.678072280732476429e+02 8.574783472704119447e-01 1
19 -3.654177901505155432e+02 4.096878576845179865e-01 4
16 -3.647981525990522300e+02 6.686597454643177230e-01 4
14 -3.702266966913029478e+02 1.842864436844715570e-01 0
12 -3.720033824628504817e+02 5.648029798890038533e-01 3
17 -3.669001436719229332e+02 5.231265493687609763e-02 4
10 -3.792699851349341316e+02 3.788455597808331743e-01 0
15 -3.690031632365007681e+02 3.520031799733167599e-01 3
15 -3.683600819299628029e+02 9.262762388191347895e-01 4
19 -3.648995237005266858e+02 8.077033356806401221e-01 1
19 -3.659269633893406990e+02 6.135733268551792907e-01 3
17 -3.675996571491297686e+02 1.773784197161836773e-01 4
4 -5.236669826850929894e+02 1.401205801848964816e-01 0
11 -3.746059349619642376e+02 9.456125409581790375e-01 0
12 -3.736593092652258292e+02 9.396792673565816933e-01 0
14 -3.700293340574198737e+02 9.486347489993296467e-01 2
8 -3.923996410323668442e+02 2.633157409685822348e-01 0
9 -3.776793002593833535e+02 9.210790771866552706e-01 0
19 -3.660788158535827961e+02 9.380203084652927181e-01 3
12 -3.740607383426394108e+02 1.904873363453243318e-01 2
4 -3.791573059512496116e+02 2.481655488292463241e-01 0
19 -3.659963618411899233e+02 5.128058856253403519e-02 4
18 -3.638979780293968815e+02 1.910729670723856910e-01 4
22 -3.641854861207732483e+02 8.553575836727915771e-01 4
17 -3.668719187639650272e+02 3.365522647523847000e-01 0
16 -3.669340002855699368e+02 7.706960468064441017e-01 3
21 -3.647231024746974981e+02 8.764420766512143190e-01 4
9 -3.832038181128330621e+02 1.706426248679422386e-01 0
12 -3.733963697395369081e+02 5.776960501930865632e-01 1
11 -3.742204364352633092e+02 6.724354181825914489e-01 0
9 -3.806174524506687931e+02 1.263264156138841354e-01 1
16 -3.682376706832755531e+02 4.081935876888058701e-01 1
11 -3.734941975626737758e+02 7.199327839756938241e-01 0
23 -3.642275625867530948e+02 5.883554768586591877e-01 4
9 -3.818783349432143837e+02 5.396322781388973588e-01 0
24 -3.637955543376623382e+02 7.733249448278157745e-01 3
9 -3.814783799409036078e+02 9.981140435721348458e-01 0
24 -3.638374325457438090e+02 8.613551059199883175e-01 4
23 -3.641609033094918573e+02 2.791109445616562490e-01 2
23 -3.642277597644351772e+02 9.066123680918858341e-01 2
24 -3.637346900165437091e+02 6.631989258603110393e-02 4
26 -3.636003167369750599e+02 7.949455826038117623e-01 2
14 -3.699909182250385697e+02 9.867617427837820365e-01 0
26 -3.636203899292319193e+02 3.679013854265007488e-01 4
23 -3.641712122701444514e+02 2.898144060238414532e-01 2
26 -3.636668086375451594e+02 9.281735337426009202e-01 4
22 -3.644061947241465305e+02 4.409605839218148637e-01 2
14 -3.686607288806618499e+02 7.592623963671026877e-01 1
22 -3.645848739347208607e+02 1.413350759352098862e-01 2
14 -3.697070751443325776e+02 1.300880706562569378e-01 1
20 -3.652845087098677936e+02 7.923129082492817998e-01 2
17 -3.668640209791391271e+02 5.488974475607122372e-02 2
16 -3.671652301165502195e+02 6.942426708110165379e-01 2
27 -3.635348990975786592e+02 5.368822222867521976e-01 4
14 -3.705113309999651960e+02 9.381185543528471893e-01 2
26 -3.636529524630086598e+02 6.663907756935081306e-01 4
17 -3.675480260995377080e+02 4.294185323750396854e-01 3
22 -3.644203138516597278e+02 7.837678007174673223e-01 0
21 -3.647999037926920209e+02 3.056649746971196180e-02 0
18 -3.660117816411470812e+02 1.389589393955051322e-01 0
22 -3.645896990387009282e+02 2.440272054427330417e-01 3
12 -3.740427345524975635e+02 9.290577905279795434e-01 2
9 -3.837098272813231006e+02 9.483635061025449398e-01 2
12 -3.721759582614895976e+02 6.420939208105167495e-01 2
27 -3.635082591399911962e+02 1.721794321184089149e-01 3
24 -3.637417544554922415e+02 8.637957506446283240e-01 3
25 -3.636846902481104280e+02 1.185286158855137217e-01 3
27 -3.635905162751190574e+02 6.654421158889811672e-01 3
7 -3.995698785968610309e+02 1.911150214485162202e-01 4
8 -3.830709165036963668e+02 6.589113327167224199e-01 1
4 -4.963618347406321618e+02 3.054812756328302847e-01 4
9 -3.824002377322901793e+02 7.579369304583400968e-01 2
1 -1.547696071441746881e+03 6.743489474236857850e-01 4
27 -3.633438451117916657e+02 8.563493261968917469e-01 3
5 -4.625997011997779964e+02 6.409471455806240447e-01 1
24 -3.636511616595921055e+02 7.799216630045853471e-02 0
28 -3.634041272061898553e+02 9.446718948241646929e-01 3
24 -3.639050549668285157e+02 7.521258700491016969e-01 0
27 -3.635644240578812969e+02 8.880017784375534573e-01 0
2 -1.686943026703338091e+03 4.366267932918865835e-01 1
0 -7.640728205361973778e+03 6.713281288698926819e-01 1
17 -3.672887067296814507e+02 1.026711452634421207e-02 2
29 -3.631032231526630767e+02 1.408119889963907467e-01 3
29 -3.632762495662985884e+02 8.553761410639859619e-02 3
25 -3.638194802667907197e+02 9.545611779161374821e-01 3
24 -3.639280371446902791e+02 1.297680579009093949e-01 0
18 -3.653419011387615001e+02 8.072371992060536350e-01 2
26 -3.636481753744202479e+02 2.536573570332660843e-01 0
16 -3.676661524878708747e+02 5.380211317624746803e-01 4
25 -3.637129195737343252e+02 3.413064831219791984e-02 0
25 -3.638049040788456523e+02 4.690130073399479960e-01 0
3 -9.294474420256781286e+02 1.802395443695756216e-01 1
27 -3.635382181486210698e+02 5.938957275477116937e-01 0
1 -7.014224020828130961e+03 6.223719970173233751e-01 1
3 -4.500088550462662056e+02 2.670544476487321517e-02 4
5 -4.922390156650179733e+02 7.440833850288264273e-01 4
29 -3.632594979987505894e+02 4.078481300551430877e-01 2
29 -3.631747563863624464e+02 3.279178760634415823e-01 0
22 -3.645592273255506370e+02 4.926157234593357970e-01 3
13 -3.707142995861443637e+02 3.876830778483912887e-01 4
21 -3.644462011698203128e+02 3.321491121833540783e-01 3
21 -3.638797176846520642e+02 7.604354481492947571e-01 0
18 -3.666845319041249809e+02 9.186990909133510019e-01 4
20 -3.650975376241837012e+02 3.125769520097194665e-01 3
22 -3.645548619119284695e+02 5.305566730780529872e-01 3
20 -3.649676453937476026e+02 3.818761193080980748e-02 2
22 -3.644599000245673892e+02 4.665489470444139641e-02 2
16 -3.684929470709913062e+02 4.102806202623909826e-02 4
14 -3.691540138011880572e+02 4.505567349645901998e-01 4
6 -4.093574820455188501e+02 5.950765265018920225e-01 1
23 -3.642900977738423762e+02 2.826664837539253905e-01 3
8 -3.842667017226872304e+02 4.707461649097216538e-03 2
28 -3.632791946281536184e+02 7.648739644975768304e-01 0
11 -3.756097683909284797e+02 3.811820279973510139e-01 4
24 -3.638420282555173344e+02 1.934079706517070341e-01 0
4 -4.040395669974147381e+02 3.373697372247264070e-02 3
2 -8.844777972061237961e+02 9.086058293756028581e-01 2
2 -7.434289222857097457e+02 8.069610515910632387e-01 1
5 -4.376538867200011964e+02 4.216479885808799288e-01 1
13 -3.690278486799433608e+02 7.190684915319524029e-01 0
5 -4.051425059931275428e+02 7.468732040240856351e-01 3
11 -3.747060436599343234e+02 6.472133084042562823e-01 2
3 -5.670848636812430641e+02 7.598515209687919381e-01 1
26 -3.636351914408010089e+02 4.589452232522130970e-01 4
18 -3.662734729277282213e+02 7.372985334966578042e-02 0
16 -3.664757539561554722e+02 3.779738856968703486e-01 0
3 -9.582484286636770321e+02 5.617613474013349872e-01 1
6 -4.023753592087098241e+02 5.896878008042920616e-01 1
15 -3.680879634534296088e+02 6.074332125021426193e-02 2
28 -3.632554486439696575e+02 6.814243206000032416e-01 4
28 -3.632121563867019063e+02 4.894363509543055990e-01 4
5 -4.787192390922858749e+02 2.717743789634309223e-02 1
28 -3.633316649686593109e+02 2.165545958279069261e-01 4
11 -3.759530182878095843e+02 7.203632895254463708e-02 3
12 -3.740989155230963661e+02 2.316554668367196146e-01 0
10 -3.798040256524997176e+02 6.667296076268627303e-01 0
20 -3.653437252302040292e+02 4.014543833223864211e-01 3
21 -3.645002230664982790e+02 6.245157749415355397e-01 2
23 -3.642185577307889730e+02 8.115852553173543704e-01 0
17 -3.669858686003375396e+02 4.426932421277915419e-01 0
19 -3.648898659875677026e+02 3.861096001070576378e-01 4
1 -7.401982514686893410e+03 5.254118735728425804e-01 2
18 -3.660979015201736502e+02 2.015020951504196134e-01 0
3 -4.519199725061646404e+02 4.559316501705053537e-01 1
3 -7.015172022299725541e+02 3.794774748953192445e-01 3
3 -7.706389602640872454e+02 9.938602176839784752e-01 1
0 -1.732593558627883904e+05 1.859253438717711759e-02 1
4 -4.681641118636465535e+02 5.083830498074859428e-01 4
0 -3.914003532169697428e+04 5.971399125506744454e-01 1
12 -3.712489586996023831e+02 5.714266159295354752e-01 0
18 -3.661582849570971234e+02 1.093795146685427877e-02 3
0 -9.338923478082835572e+03 6.244249428468684471e-04 1
19 -3.660861932103535992e+02 8.030407544100756079e-01 3
12 -3.739696929313502665e+02 2.798497069962062600e-01 0
6 -4.219957429039386057e+02 5.487629734670859127e-01 1
14 -3.694877637634865550e+02 8.224249675645933788e-01 3
6 -4.102674857466924436e+02 8.118631280817436568e-01 1
1 -9.158011423924735936e+03 9.732671130437378082e-01 4
16 -3.684218353969181408e+02 4.645844367349951654e-01 3
5 -3.841662929018746127e+02 3.742416292462467098e-01 2
6 -3.889022175010643991e+02 3.928877859794130956e-01 2
4 -5.215502025814143963e+02 3.966413769818419865e-01 1
6 -4.001731444606192554e+02 7.857210365516340556e-01 1
2 -1.186148143249203258e+03 4.740639931758905967e-01 2
15 -3.684981645153692398e+02 5.705356662849426774e-01 0
10 -3.782464975318547431e+02 3.979520492017282057e-02 4
13 -3.703757389642248654e+02 1.460065349060359063e-01 0
9 -3.811381671810561897e+02 9.150554699868687081e-01 1
8 -3.822485007280743048e+02 7.854700613965432954e-01 4
24 -3.639527098050316454e+02 5.798133961056449737e-01 3
26 -3.636715879805509530e+02 1.011398528869580649e-01 3
0 -1.021984775986962995e+04 8.146822046494337499e-01 2
19 -3.650835958603444737e+02 7.196945564481042057e-01 0
20 -3.651834416095689448e+02 5.245844116502883514e-01 0
23 -3.642229491669678509e+02 4.902662923682168383e-01 0
22 -3.643302805598149234e+02 7.278109839660374947e-01 0
22 -3.642412688642014018e+02 8.759462115476424060e-01 0
19 -3.655861085000908588e+02 2.274091413280197593e-01 4
22 -3.642019032891207075e+02 5.277243309056312004e-01 0
15 -3.682923633842994491e+02 5.885509839263365350e-01 2
16 -3.684066208420889552e+02 8.123115807488875961e-02 2
20 -3.651266836971545899e+02 5.478878690730477619e-01 1
21 -3.648101502587209666e+02 8.058320622516247367e-01 2
28 -3.633531680545166864e+02 3.828186893861911244e-01 3
22 -3.645316788983648166e+02 7.205659228414104112e-01 0
12 -3.710118090802664597e+02 8.342876080081772505e-01 4
21 -3.648879677448451275e+02 2.589008202241623313e-01 1
9 -3.754558005385956676e+02 3.430977355136033413e-01 4
25 -3.637008155619142258e+02 3.578189262317070241e-01 3
6 -3.842358311505824418e+02 2.799636241555170102e-01 4
2 -9.077748813857390360e+02 7.513380995630822845e-01 4
19 -3.660058371335710490e+02 4.769911351673563615e-01 0
27 -3.635630103276819796e+02 1.148696594890492445e-01 2
27 -3.635453786113739056e+02 1.992439030400084132e-01 2
11 -3.749482656024996459e+02 6.796309941861445880e-01 0
12 -3.728793623101209960e+02 7.501330725468713378e-01 1
23 -3.636285731669444772e+02 5.589287701933584041e-01 2
28 -3.633391633931931892e+02 1.845462315198192205e-01 3
1 -6.229209889667362404e+03 3.464859601127356914e-01 0
27 -3.634733535350715670e+02 1.456203271453517800e-01 3
24 -3.637181793740199964e+02 8.001140466200877821e-01 3
1 -6.412335459680260101e+03 3.927001673121952030e-01 1
14 -3.697210949949013639e+02 8.378696027904039556e-02 0
3 -8.188620573906430309e+02 5.076504409544631002e-01 1
25 -3.637392448917455567e+02 3.567143950631909144e-01 3
14 -3.688834322295409720e+02 7.650184158336454932e-01 0
16 -3.682620772062355741e+02 5.817204283664509923e-01 4
14 -3.684280959724085278e+02 1.868654758431487484e-01 4
26 -3.634114919987989083e+02 2.288269427916058696e-01 3
8 -3.897347846381342720e+02 4.581296035353127349e-01 0
11 -3.763553488144401626e+02 3.303938537962182731e-01 0
14 -3.694972170756848300e+02 8.825043954061217999e-01 1
24 -3.638893355630108886e+02 8.920705458735632698e-01 3
27 -3.634469612847802864e+02 9.137968792955364350e-01 2
