# level_assignment log_likelihood tiebreaker ID
0 -2.721189861474456484e+04 4.030932871328706257e-01 4
0 -8.268877110200490279e+03 5.146040376255751614e-01 2
0 -3.673389169046980533e+04 3.768656648811872234e-01 0
2 -6.538660113040974466e+03 3.378770142569487156e-01 1
3 -3.008500884703101747e+03 8.027673544369999803e-01 3
3 -1.043464228133188954e+03 8.030771479575378180e-01 3
4 -1.174310509438940699e+03 6.077562086489128879e-01 1
4 -1.563434464154528087e+03 1.800718614502085646e-01 1
4 -2.039603037902546475e+03 6.994663305286010768e-01 0
5 -1.147561600133742559e+03 3.717405238253624900e-01 2
1 -1.358022535543383856e+04 8.957583737472217811e-01 4
4 -1.750594713442912962e+03 2.928847180805799755e-01 2
6 -5.964383222992200899e+02 6.946494641598306430e-01 4
6 -6.911615513513797850e+02 1.795392074971762508e-01 1
0 -1.087197334643919748e+05 2.742737614534482837e-01 0
0 -8.254752647337467351e+04 2.513199719902712848e-01 0
4 -1.677898979200407211e+03 3.215409584953632938e-01 2
8 -3.667374364827102227e+02 8.146048871968117888e-01 1
7 -3.837769330012891942e+02 5.712885291347825634e-01 2
7 -4.661664525843577280e+02 7.037685662115268359e-01 2
4 -8.950450876412907064e+02 1.277108702784032490e-01 3
10 -3.572917420382406704e+02 7.247007288910755074e-01 4
5 -1.107825943708541672e+03 2.544020041932029130e-01 0
0 -9.579513166834580261e+03 5.857529585418621565e-01 3
12 -3.511032083059214415e+02 2.111257388375165078e-01 0
9 -3.596033207198025821e+02 2.324965369354720368e-01 0
12 -3.495408854445594216e+02 2.921516812607378166e-01 0
12 -3.478251742181574286e+02 4.735342429467057634e-01 0
14 -3.466447307941963913e+02 7.417036664104385002e-01 4
15 -3.467985872016812436e+02 2.261910476882395271e-01 0
11 -3.586647120372340964e+02 4.478992561466541567e-01 2
13 -3.496787943512363199e+02 8.252743650351178628e-01 4
12 -3.554488633576630718e+02 1.886548136126095510e-01 1
16 -3.462204970019312213e+02 5.192464590138710229e-02 4
16 -3.462161620436671114e+02 3.535230698530477667e-01 2
17 -3.458886341068211436e+02 8.288648459485146169e-01 0
16 -3.459271358915013934e+02 4.899480134367717454e-01 4
17 -3.459333889142279759e+02 2.878342713222536986e-02 4
17 -3.459746479851173717e+02 9.025616075002744765e-01 3
16 -3.461545759116855265e+02 3.425639438561458028e-01 4
15 -3.463945604436069061e+02 4.991107872986516036e-01 4
15 -3.465330024816585706e+02 5.531467679222674960e-02 4
19 -3.458766713263930797e+02 4.260739850874982193e-01 0
18 -3.458888857184480230e+02 9.661878878870169274e-01 4
13 -3.487607502069309930e+02 4.552582114893120036e-01 1
13 -3.476018024588676099e+02 1.246409634935552457e-01 1
14 -3.470157403309998472e+02 4.838094342313723484e-01 3
16 -3.460761696540912453e+02 6.634424056128683800e-01 3
21 -3.458655009164359626e+02 6.121040000196036335e-01 0
21 -3.458657748958140132e+02 9.866514123004287429e-01 0
15 -3.461880953678945048e+02 1.657298837299872041e-01 2
14 -3.479044887633518783e+02 3.379876503151719724e-01 2
11 -3.568652788987184294e+02 3.945764375303986715e-01 1
16 -3.459872378282404952e+02 6.243408560731720236e-01 0
19 -3.459019580442609936e+02 7.550072931893287986e-01 0
16 -3.460697260480212663e+02 4.664836101824681447e-01 0
