# level_assignment log_likelihood tiebreaker ID
0 -4.000150532942894870e+02 1.440075494667957812e-01 0
0 -5.845013001392873412e+04 3.565532508284379731e-01 2
0 -1.874133899705373042e+05 1.280819205689631701e-01 2
3 -6.900875353956672598e+02 4.721390597543901335e-01 1
3 -9.662746357848353682e+02 9.960855432489506001e-01 2
4 -3.683137757015950342e+02 4.190609205200956922e-02 4
0 -1.457381349789815722e+05 3.086811257400312591e-01 3
0 -1.351472310045869926e+04 2.018877845994080378e-01 2
4 -7.362597709296023822e+02 4.480568092060366325e-01 4
1 -1.074827791943910961e+04 9.134215299547288058e-01 1
5 -4.483999658536247352e+02 5.732024227820534668e-01 1
4 -4.535919702221573289e+02 5.597414760261653077e-01 3
0 -2.112907376259037392e+03 3.315410087724860455e-01 2
3 -9.023167537463565395e+02 2.897123047878461533e-01 0
3 -7.906145179146585633e+02 1.442514648738899563e-01 2
7 -3.553280358914933004e+02 8.442938312948168322e-01 2
6 -3.641355706159327497e+02 5.304422029484755496e-01 3
8 -3.507217920291162159e+02 4.777173183140153157e-01 2
3 -8.239878511871204410e+02 1.563058680839048975e-01 4
9 -3.479632795254415214e+02 6.567897045560191494e-01 2
7 -3.599652817775655649e+02 1.589874349239970286e-01 2
9 -3.472988021579805036e+02 5.016838547329026676e-01 2
5 -3.798618344286578576e+02 5.810393422964035270e-01 3
9 -3.490066267189347968e+02 5.676768899225063114e-01 0
9 -3.481985481143141214e+02 7.956765995121148904e-01 3
9 -3.499831663692900747e+02 9.177536168358259028e-01 3
3 -1.233353184545740305e+03 1.658510329633340885e-01 1
10 -3.474758145257986826e+02 1.563183785387954605e-02 0
1 -6.154471801780614442e+02 9.931818999340538134e-01 1
8 -3.480608527901854359e+02 8.927146049252813187e-01 0
10 -3.465411322661713029e+02 9.208268918829110028e-01 1
8 -3.489843312022140935e+02 1.068361662870446344e-01 1
3 -4.629100146425886351e+02 8.310737201165496746e-01 3
1 -1.100562151644366168e+04 7.067676557210087473e-01 4
5 -4.202175416137253592e+02 6.538430821248314428e-01 1
5 -4.495237627629492181e+02 9.482118100307698194e-01 3
1 -7.486401181434974205e+03 3.080732964548848485e-01 1
13 -3.462096606992745365e+02 3.806264457325397310e-01 4
5 -4.617243577944063304e+02 3.407674129029191201e-01 1
14 -3.461072890536057685e+02 9.387526625461878327e-01 2
10 -3.467479199026693095e+02 3.159579782795880476e-01 4
10 -3.473772423711279203e+02 2.859776670427294221e-02 4
14 -3.460982091888602099e+02 5.746618564809446994e-01 2
12 -3.463157199074548771e+02 7.185640641926943628e-02 2
5 -3.493345008606377178e+02 8.929443840743773730e-01 2
5 -3.811067495928340350e+02 3.026284027198840043e-01 3
5 -4.519340400644919669e+02 4.607483275949935120e-01 1
6 -3.742461839027996007e+02 6.073129400094895436e-01 3
5 -3.575509320276245262e+02 9.748031183919145803e-01 2
10 -3.470557348875455546e+02 3.969844074254372801e-01 2
5 -3.972719307955043746e+02 4.695106052026233323e-01 3
7 -3.574899070452345313e+02 5.410854657522587985e-01 3
6 -3.491069724996785908e+02 5.893909688358716092e-01 4
5 -3.800234862419347905e+02 1.939240858901861986e-01 3
16 -3.460913302197795360e+02 6.950267095795208405e-01 2
11 -3.463909727697778180e+02 3.844503685013950234e-01 2
9 -3.481847157771264847e+02 4.086083819580221821e-01 1
12 -3.460924693124090368e+02 6.699259998546220896e-01 4
0 -2.008021633836572437e+04 8.269105960949829637e-02 0
3 -1.198236664380900947e+03 4.533300688691461189e-01 0
17 -3.460828617886750180e+02 6.398231974900228103e-01 4
17 -3.460872039268944036e+02 7.544017828400744197e-01 4
15 -3.461037667963764761e+02 9.793071676078159982e-01 4
8 -3.531568825087011874e+02 4.877896835777216222e-01 3
10 -3.472666152199611815e+02 7.125595442592034257e-01 1
3 -1.269325426935905170e+03 5.939830738000243526e-01 3
16 -3.460895904420834768e+02 2.444634387455429936e-01 4
13 -3.461017259918918967e+02 9.090942445791210247e-01 2
9 -3.478427497467097282e+02 8.834632751490503200e-01 0
13 -3.462085595245456489e+02 1.407484357488082982e-01 2
16 -3.460816804722844608e+02 5.430456282241344912e-01 2
18 -3.460790542202822735e+02 1.702286778617650639e-02 4
4 -4.271641827151704547e+02 6.306688415367507350e-01 1
15 -3.460862475390631516e+02 6.666145937236904739e-01 2
5 -4.594144738191309898e+02 9.896873227400621031e-01 0
16 -3.460899113311611472e+02 9.863365260459886485e-01 4
9 -3.489828652991816398e+02 9.656063541935254735e-01 1
10 -3.472115361485738845e+02 1.086083099705832389e-01 0
5 -4.597706024752095573e+02 9.827336610392514160e-01 3
3 -3.649672975515453004e+02 6.011543115703775753e-01 3
1 -6.682867410944819312e+03 2.346024893921239141e-01 3
