# level_assignment log_likelihood tiebreaker ID
0 -1.210894216723623395e+05 1.596773640228092150e-01 1
0 -6.772053259029517358e+04 1.372883413081754100e-01 2
0 -1.191963880021544755e+05 9.144127871220656401e-01 3
1 -7.717763664671083461e+03 4.984526571897954783e-01 4
0 -2.181481555849940924e+04 1.542658374397295751e-01 1
1 -1.357212385327228003e+04 2.976417071993002761e-01 2
2 -1.646750874653451547e+03 4.215563532133842495e-01 3
4 -7.129028250596015823e+02 2.688199585043875572e-01 3
4 -6.017574794360597252e+02 9.838056980869813728e-01 4
3 -1.292424027489543960e+03 4.170289228135026782e-01 0
2 -3.331110564912717564e+03 8.208063175236812725e-02 3
4 -4.751850060008728747e+02 5.584516815033875314e-01 3
2 -6.133887174266702687e+02 4.255321350692078397e-01 1
7 -3.604924824267919803e+02 6.542294408095479241e-01 1
4 -6.460371970254639109e+02 6.450894566463041269e-01 2
7 -3.700458990174876135e+02 9.362025929011129621e-01 1
8 -3.510990698973654958e+02 4.089679134709566788e-01 0
9 -3.480082764033985541e+02 4.202523779285722294e-01 1
4 -5.611350394241467257e+02 9.601017761966432751e-01 3
10 -3.482424706109826502e+02 7.045215152644913603e-01 1
0 -6.343462888150666549e+04 4.375359870716470923e-01 0
6 -3.680442364411782705e+02 9.828225606914466894e-01 0
6 -3.489892237176534309e+02 2.759248995640747881e-01 3
3 -7.758248704368188555e+02 1.383502664168165808e-01 4
8 -3.546625617941708697e+02 4.617756052873571160e-01 3
8 -3.568565515781145905e+02 2.706139615168640100e-01 4
6 -3.490484989489607415e+02 8.790779602782174962e-01 0
3 -5.765237298315604448e+02 5.021288381369046760e-01 4
7 -3.690648244571179930e+02 4.266402336132043005e-01 2
6 -3.952619284608524595e+02 3.548859042541252506e-01 2
11 -3.470747890225995889e+02 9.595742319868819092e-02 0
8 -3.505014008879400649e+02 3.770887039270080093e-02 1
13 -3.462024482800704845e+02 2.602690812483666738e-01 0
10 -3.461241713005463225e+02 7.933246320134563767e-01 0
8 -3.503849356022830648e+02 1.788852622467738129e-01 2
9 -3.507708158007966404e+02 5.436871331081094549e-01 0
11 -3.468016300185149703e+02 9.332095538889584319e-02 3
14 -3.460497984162288390e+02 5.103506929246320878e-01 1
8 -3.468004133804868161e+02 3.434812225500319949e-01 2
8 -3.563087668561918804e+02 9.010020418552451560e-02 0
11 -3.465030911689517552e+02 5.891437198148181675e-01 4
10 -3.469344905682492026e+02 3.594145395067371851e-01 3
4 -7.126032215900515894e+02 2.218864491653922966e-01 0
12 -3.464261290190282239e+02 6.355575196050468056e-01 2
8 -3.569090065437663952e+02 8.074262033732639843e-01 1
7 -3.622380120652281903e+02 4.638661134117361695e-01 0
14 -3.461068102013834391e+02 2.204808663385119938e-01 4
