# level_assignment log_likelihood tiebreaker ID
0 -3.157421643016979942e+03 4.030932871328706257e-01 4
0 -5.553282038057816862e+03 2.193242861271482158e-01 1
3 -1.677668760513190364e+03 5.891407748216390683e-01 1
3 -5.836980329034818169e+02 7.687983910722749892e-01 4
2 -2.942799366205579645e+03 8.092849335474301409e-01 2
2 -1.759741364517991315e+03 9.906924661673057741e-01 4
4 -1.063798508041435753e+03 7.727109927112225662e-01 3
5 -5.108711547657153460e+02 5.547408339747620376e-01 0
5 -5.176772275424202689e+02 8.665924253424535095e-01 3
4 -7.721877278800055819e+02 2.852622466229477460e-01 3
6 -4.565685486947881486e+02 9.453374272930039623e-01 1
4 -7.331860138119720887e+02 5.484754095174150246e-01 3
4 -9.217423220394741747e+02 9.651891834106741674e-01 3
8 -3.573831876310745201e+02 4.889053192368440492e-01 0
2 -5.374599231589249939e+02 4.088417062750310804e-01 0
5 -5.825517730454172352e+02 6.564061411891088937e-01 4
0 -1.108016176574359997e+05 1.462635157406432795e-01 1
9 -3.477591524036943724e+02 5.579450013411343390e-01 3
1 -3.781755032564888097e+03 3.931143010436422003e-02 2
5 -3.641698220531964694e+02 4.885251115654841159e-01 3
0 -3.453716264245634375e+04 3.023198766942062909e-01 3
10 -3.533615771554682397e+02 8.773633406559361303e-01 0
2 -8.349639723622965448e+02 9.291475253434562376e-01 3
6 -3.815873550725876839e+02 9.690920089969967677e-03 4
2 -1.000779732634519405e+03 6.185622009283706646e-01 1
11 -3.501650503991368168e+02 5.696185491791518896e-01 4
12 -3.474412468532563025e+02 7.286341073659378109e-01 1
11 -3.514606471753123742e+02 6.090456612728738506e-01 4
10 -3.604010575905243172e+02 3.977532786077626614e-01 4
2 -8.392532952112571820e+02 7.311455652477376610e-01 3
0 -8.993858686967522544e+02 6.747337818370541251e-01 2
4 -9.922354571200163491e+02 3.564618833672614784e-01 2
0 -1.164145751823880164e+04 4.833606981010896142e-01 1
5 -5.731280729916243217e+02 9.404769900117374570e-01 1
0 -1.420805117727791658e+05 4.754567828901617998e-01 1
14 -3.475491085027047689e+02 8.607744339763638841e-01 4
10 -3.523471637543217980e+02 7.308406153041324682e-02 3
14 -3.469732717942273439e+02 6.740737203990521120e-01 2
10 -3.556599726350802939e+02 4.547462874393683463e-01 1
15 -3.470732261718066525e+02 1.242304463254972902e-01 4
15 -3.471719736771557905e+02 1.120551142912516451e-01 2
7 -4.047571699130393199e+02 5.007406035848583903e-01 0
14 -3.475545413107891477e+02 6.607939457531768479e-01 4
10 -3.503720080128623522e+02 6.849687728256088626e-01 4
9 -3.599410908733494807e+02 6.965494032318745310e-01 4
10 -3.503401615089270535e+02 2.492405514119468979e-01 1
9 -3.571326227966226270e+02 9.113228109469249105e-01 0
2 -1.683233110769906034e+03 2.750648686136176746e-01 4
12 -3.473959975895131720e+02 3.070905040898516125e-01 3
13 -3.478516362972446245e+02 8.672778590477600025e-01 0
10 -3.512122389909907838e+02 5.753868935539775409e-01 0
17 -3.468092033726476302e+02 5.676034717547315811e-01 2
0 -4.340299961414805148e+04 3.206923946773074796e-01 4
11 -3.488146116986246739e+02 2.972736449436328976e-01 0
12 -3.485317805127002657e+02 4.012130621210762554e-02 0
13 -3.477964025442648222e+02 9.241390424742380594e-01 1
18 -3.468121351535112922e+02 6.342372962949516246e-02 3
15 -3.472784596061099478e+02 4.830758450605188159e-01 1
3 -8.644334958980210786e+02 6.943928490140214294e-01 4
0 -1.762864757700218470e+05 1.903539264105006124e-01 4
5 -6.282729692042095166e+02 6.569517558228916698e-01 4
10 -3.568106016618378362e+02 9.302189198726020791e-01 1
11 -3.521817537252618422e+02 2.226548380152783280e-01 0
14 -3.472754906428385766e+02 3.469373399676630720e-01 1
19 -3.467885845434601038e+02 8.707627760323015664e-01 1
18 -3.467740193187761975e+02 6.503597985719371533e-01 2
14 -3.473300910018842842e+02 9.934911149517956508e-01 3
7 -3.640802136552142656e+02 1.991162048236430338e-01 4
9 -3.594116932082486073e+02 4.089273618316552339e-01 4
5 -4.931120097034365131e+02 2.425857494321805308e-01 4
2 -6.616878387648536091e+02 9.688328330012433431e-01 0
6 -4.786878474312245544e+02 8.166592287346130519e-01 0
0 -2.426333607519221005e+03 3.405194575343482577e-01 4
1 -1.004110927250504028e+04 3.315015100918164426e-01 0
