# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 28867 28867 11935 28867
-8.941642699025984520e-01 -2.472281073627388105e+04 5.021515520583275105e-01 26848 28664 15817 39277
-1.810182012286662090e+00 -1.054497842290196058e+04 2.046094542747176614e-01 25484 28590 18742 43074
-2.652957975657292078e+00 -6.293116367242973865e+03 6.314118938513421098e-01 24394 28568 21277 46024
-3.437711462071967095e+00 -3.735004404527621318e+03 6.399977893504962267e-01 23617 28634 21801 48531
-4.249095841253905270e+00 -2.039138350309831822e+03 7.164514259375382998e-01 22963 28631 22342 48974
-5.045728376792300907e+00 -8.061579015283609806e+02 8.197894269463646966e-01 22222 28600 19410 49408
-5.983883042520651507e+00 2.217855108530227426e+02 2.208434908680726172e-01 21642 28672 19172 46768
-6.882149981491113344e+00 8.576287141496467257e+02 1.756157608076913679e-02 21199 28669 17501 46401
-7.858785454474957355e+00 1.297796794612916528e+03 2.243906366060599566e-02 20533 28417 14578 44759
-8.972055586902005331e+00 1.544545787482820288e+03 9.866825115589472617e-01 19741 28382 15719 41937
-9.954653786861879183e+00 1.628016872988544037e+03 7.899876399834228069e-01 18943 27963 15382 42453
-1.096879226421181386e+01 1.665063319678263042e+03 3.402276017017762944e-01 18274 27976 13444 42167
-1.210122232873160186e+01 1.679852424601284838e+03 1.484498501840431361e-01 17843 28078 8393 40420
-1.361867275042861003e+01 1.687913911984582001e+03 9.190018299891193898e-01 17099 28053 6828 35662
-1.519936607239288406e+01 1.691112892227559314e+03 1.202005877611988238e-01 16490 28307 8795 34456
-1.652844890537208400e+01 1.692135516729589654e+03 8.854201015591198765e-01 15794 28317 11211 36012
-1.768084569517211335e+01 1.692565950296183928e+03 5.554330815748691474e-01 15665 28504 8775 38578
-1.911591617814188737e+01 1.692873694792921015e+03 3.331331826683867625e-01 15449 28389 4921 36544
-2.099171752238664723e+01 1.693046273190664806e+03 9.159768159544734445e-01 14017 28170 8376 32942
-2.232270791304720348e+01 1.693082886005130604e+03 2.567899096290519600e-01 13222 28382 19677 36157
-2.295753029237314280e+01 1.693093649529626873e+03 2.886365051624280587e-01 12728 28414 25929 47452
-2.358251136241841550e+01 1.693102649144734642e+03 1.304766968188163234e-01 12564 28514 21178 52393
-2.449345081860204587e+01 1.693113535421506413e+03 3.598392682047153457e-01 11876 28441 18788 48812
-2.545090337633612876e+01 1.693122616930950699e+03 9.528807331662840774e-01 11494 28436 28547 46723
-2.596913214043151541e+01 1.693126192008241560e+03 8.633935931726386404e-01 11618 28482 41059 56398
-2.631316937513458498e+01 1.693128520267725889e+03 2.193220008415899258e-01 11643 28574 36212 69002
-2.697110236794749127e+01 1.693132629949290276e+03 2.873260405883018009e-01 11507 28732 37122 64310
-2.753775075763842750e+01 1.693135678106772048e+03 6.564063662007439959e-01 11508 28854 41406 65343
-2.801352568852963998e+01 1.693138126410482300e+03 1.023418531183470925e-01 11216 28988 0 0
