# level_assignment log_likelihood tiebreaker ID
0 -2.856246839141843884e+04 4.030932871328706257e-01 4
0 -1.066752540173344460e+04 5.429406439227361103e-01 1
0 -2.393363762460823182e+03 6.111021270765348845e-03 2
1 -7.911929401996213528e+03 8.913609282213711404e-01 2
0 -9.725239934037099374e+03 9.728628932605314361e-01 4
4 -3.256778568099404765e+03 7.553880482050963074e-01 3
5 -1.930863498297333081e+03 8.231454273640008701e-01 3
6 -1.562214645345763529e+03 6.497897177983951167e-01 1
6 -1.592035426959185770e+03 5.990753297701481017e-01 0
0 -2.807401168245885856e+04 6.417422118699036560e-01 2
0 -1.224248730697452120e+05 3.543818008559402460e-02 4
0 -4.080289865090709645e+04 1.602109388254023825e-01 3
7 -5.019238186592644979e+02 8.884984270206901513e-01 4
5 -1.959440844566120177e+03 2.915277462100900330e-01 3
8 -3.609570820549485006e+02 7.044867434093436964e-01 4
6 -1.441509264157959024e+03 3.516247108185802661e-01 2
2 -9.099272149777740196e+03 7.711563907366589810e-01 2
7 -9.911653879323187084e+02 9.193950790376703708e-02 4
7 -1.025994271920286337e+03 6.963805829119440460e-01 3
9 -4.209075880911460104e+02 4.068885823870234120e-01 0
1 -7.936357006989750516e+03 5.804132469062146527e-01 2
1 -1.443951953542843694e+04 1.576410465165826169e-01 4
7 -7.306216375826602416e+02 7.459144527722700868e-01 1
8 -6.578311734365115626e+02 7.085720431758774085e-01 0
5 -1.381191263596892441e+03 1.645282002405832888e-01 3
2 -8.905898367416009933e+03 3.141852986144452187e-01 3
6 -8.901736894538512388e+02 7.897472606794968542e-01 0
8 -6.250235661756696572e+02 8.826370055185627228e-01 3
7 -9.853898712685415830e+02 5.994636837271442031e-01 2
12 -3.495822342708481187e+02 9.778518730533267145e-02 4
7 -6.492943104802023981e+02 2.400593507878720501e-02 2
13 -3.548767140696853630e+02 9.054428909300891171e-01 4
9 -4.181832742574069357e+02 7.275866077900395856e-01 3
10 -3.669834813280530739e+02 4.894314623387927554e-01 0
14 -3.516260165453246032e+02 3.818701562103099523e-02 3
