# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32693 32693 13746 32693
-8.775022216063448344e-01 -2.818563294437923469e+04 8.172340639631703318e-01 31331 32627 13875 45195
-2.045517266543416479e+00 -1.222427254283696493e+04 8.011131565171591973e-01 29895 32540 15048 45594
-3.146641025722891172e+00 -7.641376045377141963e+03 6.839574216174106880e-01 28976 32683 10278 46690
-4.618475725110430474e+00 -4.381976005720455760e+03 1.287705741661436531e-01 27789 32780 14417 42349
-5.690426669608207533e+00 -2.928373945575120160e+03 3.495862447433895071e-01 26987 32673 21525 46010
-6.463904526343151602e+00 -2.213532644322149281e+03 7.634806670820879493e-01 26634 32654 34561 52768
-6.912176130960749454e+00 -1.859657276984661166e+03 3.481843122556826375e-01 26381 32652 15851 65121
-8.301786630207121931e+00 -1.050298216662667301e+03 8.026214193681158182e-01 25339 32263 21760 47282
-9.090499424338338130e+00 -7.798039938723876503e+02 2.220034361544496182e-01 24792 32170 9234 52452
-1.076739450695651357e+01 -4.982863970471895527e+02 8.433943720096002128e-01 23731 32086 10904 40766
-1.205945252558630543e+01 -4.196050281743387700e+02 6.999786086773489568e-01 23193 32234 23173 42456
-1.268778851762083271e+01 -4.014948352172285126e+02 3.602485560257633890e-01 22877 32336 35240 54003
-1.313907270198146904e+01 -3.927206676854177658e+02 8.543880257372137299e-01 22790 32160 34918 65493
-1.378239374639404957e+01 -3.826317451313630045e+02 5.004054258894861107e-01 22412 32138 29161 65478
-1.459932198059922470e+01 -3.734667726470991056e+02 9.041834754634887616e-01 22092 32086 23644 60254
-1.553790283998320731e+01 -3.658922443113435179e+02 9.447463694741202733e-01 22105 32264 27613 55074
-1.624285669450063807e+01 -3.623312854241825676e+02 2.539377607375238322e-01 21310 31698 18954 57892
-1.735303851292652055e+01 -3.577613153976431022e+02 3.202667952104132354e-02 21359 31570 23066 49933
-1.813756132142723843e+01 -3.551591404418262528e+02 1.398614359072097579e-01 21189 31591 23777 53721
-1.896207549362612355e+01 -3.528587493414191840e+02 8.683927549359965470e-01 20926 31748 30367 55315
-1.957976208797945361e+01 -3.516301826395202852e+02 8.504200725859627497e-01 20836 31724 46595 61460
-1.988216548961166907e+01 -3.511962505442517681e+02 9.692847915234548140e-01 20785 31791 46819 76891
-2.039402357100795626e+01 -3.504315210343495437e+02 8.149182895620792344e-01 20571 31845 49388 77765
-2.086458371242740029e+01 -3.498374457445405596e+02 8.214271266124207882e-01 20475 31941 49005 80887
-2.138060162116709506e+01 -3.492909190787836451e+02 1.613024065457225806e-02 20690 31877 33917 80235
-2.224657609810768832e+01 -3.484786995494150119e+02 7.554823748338795886e-01 20256 31887 38743 65166
-2.278436316458732236e+01 -3.481384231912189193e+02 9.983835858009852959e-01 20340 31917 50384 70010
-2.313467743095337070e+01 -3.479608041467670887e+02 2.503441098588210512e-01 20209 31955 65278 81706
-2.337945666954779966e+01 -3.478606229101908411e+02 7.298036874756734793e-01 20073 32041 0 0
