# level_assignment log_likelihood tiebreaker ID
0 -1.232505293273037205e+04 3.798980599434820249e-02 2
1 -2.381754863187740557e+04 7.018238825064058162e-01 3
2 -3.302931405747128792e+03 2.141767835748548121e-01 3
2 -9.585186926223161208e+03 8.433598653581777516e-01 4
0 -1.440386934976594785e+04 2.554145646754742427e-01 0
0 -1.203385475015160337e+05 4.011407865495983938e-01 2
3 -2.812736010964700654e+03 8.076467014493871055e-01 1
0 -1.465042740552920441e+05 1.990102446762189170e-01 3
0 -4.433144037671223487e+04 2.612626565814202273e-01 3
0 -3.989472729265948874e+04 5.709688024334496070e-01 4
5 -2.727769415961581217e+03 3.920413757523638631e-01 4
0 -3.410624507325676677e+04 9.545144997480261573e-01 0
3 -5.329179116527806400e+03 8.810564003728267590e-02 3
3 -5.288133188716834411e+03 6.614140577944473964e-01 3
4 -4.344643533400552769e+03 7.738364154453618582e-01 1
1 -2.145655365572946903e+04 9.522918318631639067e-01 4
5 -2.769959892792453047e+03 4.761822631345772328e-01 3
1 -6.592428359054999419e+03 2.385417236958299603e-01 1
7 -8.733704070476973129e+02 8.810356973011698178e-01 3
7 -4.722306321138377143e+02 8.931546459305059749e-01 3
5 -2.235203631966459852e+03 1.650989388225525545e-01 0
5 -1.809777588651198585e+03 4.306793038290722131e-01 2
3 -6.481519592508982896e+03 5.096662751424574367e-02 0
7 -1.132321897916804801e+03 5.380185190558944841e-01 2
2 -8.538093218505880941e+03 3.006825121674140400e-01 0
9 -7.112649436838121346e+02 5.640312746345657047e-01 2
8 -1.024877640719291094e+03 4.321650650438924046e-01 4
8 -8.064125256787299350e+02 1.110831600848602302e-01 1
10 -4.087560187702213739e+02 4.370445542586592902e-01 4
10 -4.331701668373339089e+02 6.179502516675996482e-01 3
1 -2.699090379433295311e+04 8.709942814288350599e-01 0
7 -1.540820734354397928e+03 2.864657968038119562e-01 3
6 -1.738752316440164350e+03 2.319445836738026276e-02 3
6 -1.975043564647574385e+03 8.754465681409719924e-01 0
10 -4.179614319428064277e+02 3.428908248957207583e-01 1
11 -4.176360628588294617e+02 8.430328784001379638e-01 1
10 -4.184566397375907059e+02 3.471808672303371424e-01 1
8 -5.047271055358337435e+02 7.364842947588130517e-01 1
11 -3.823671672224792246e+02 3.083897757950989638e-01 2
9 -5.999678151429934587e+02 5.073675208905339407e-01 4
11 -3.960718106032009018e+02 6.584508616516417945e-01 0
4 -2.237867056070330818e+03 1.182849452842985455e-01 1
7 -1.251090848856995763e+03 3.813232091905351950e-01 1
14 -3.816802085704314891e+02 4.412677203421644379e-02 4
14 -3.651294515796029145e+02 4.046578888808574637e-01 0
9 -7.147495759811247353e+02 9.470352843452765068e-01 2
14 -3.756825440106449605e+02 1.302808457873636527e-01 4
16 -3.657212962115328310e+02 2.219970005527625856e-01 0
4 -3.867274458363154736e+03 9.515895248909593818e-01 2
10 -4.060369789646816798e+02 1.828937791454507966e-01 3
9 -6.665366254795355871e+02 8.813856004472343519e-01 3
14 -3.672759825805933360e+02 6.731346037085730316e-01 1
