# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32807 32807 11240 32807
-1.064700147383679019e+00 -1.459688870035424770e+04 5.833293774738325110e-01 28691 32980 12661 43144
-2.273548493349031752e+00 -2.843230117597545814e+03 4.321557616860296491e-01 25382 33043 20083 44809
-3.087965461549450286e+00 -1.513700615611639023e+03 5.899927296895436379e-01 23998 33027 16301 51709
-4.232795373793203808e+00 -7.429404601765199914e+02 7.804345163984121037e-01 22398 32917 17182 48256
-5.263413823032323968e+00 -5.052605989980383470e+02 8.098183366225588653e-01 21326 32989 19671 48898
-6.179213185397382624e+00 -4.217357518404007237e+02 3.389435125433507556e-01 20411 32791 19575 51265
-7.144094451716789251e+00 -3.866278213748142321e+02 7.584741168495625629e-01 19584 32841 22928 51475
-7.962957687835137577e+00 -3.751846224147362818e+02 4.624885237872465860e-01 18984 32810 20681 54374
-8.931431493826254453e+00 -3.692844116166521076e+02 4.659869365181437129e-01 17947 32779 19234 52910
-9.942668730725277015e+00 -3.665990842743728990e+02 4.782066459167114147e-01 17067 32802 18109 51495
-1.098508057662400184e+01 -3.652582118652654799e+02 9.644752982447708511e-01 16259 32949 23998 50443
-1.174141841568165212e+01 -3.647817013029962254e+02 2.606229766718584084e-01 15758 32957 29392 55753
-1.239797812025586232e+01 -3.645070062314793518e+02 8.157771666415343237e-01 15252 33001 22023 60878
-1.341392723368937645e+01 -3.642802641319669874e+02 3.383193307857297605e-02 14574 33021 23136 54722
-1.428192338171509412e+01 -3.641812090472595287e+02 7.729760141035483256e-01 14011 33163 23574 55658
-1.514809572481928335e+01 -3.641244559717296170e+02 3.678606341052079731e-01 13485 33118 34550 56066
-1.565396878528821567e+01 -3.641037240248000444e+02 1.728771191738154300e-01 13126 33058 37368 66710
-1.624916457633396050e+01 -3.640873026492216127e+02 8.229427070155714841e-01 12863 33105 30761 68601
-1.705916816649572354e+01 -3.640718191845165279e+02 8.610121863254496244e-01 12558 33079 26040 62708
-1.794351537670488383e+01 -3.640621651726357300e+02 8.255337550371418809e-01 12095 33134 26759 58225
-1.873129014563684080e+01 -3.640574202351439226e+02 6.068976545828502767e-01 11536 33075 27187 59009
-1.951654348663820571e+01 -3.640545238047019438e+02 6.439904491990249280e-01 11356 33136 19964 59817
-2.060878186746352725e+01 -3.640524428339390965e+02 7.306021351049062362e-01 10828 33289 19025 52631
-2.162533028221831444e+01 -3.640515051667158559e+02 8.996185767065342231e-01 10360 33284 21484 51677
-2.250969414159991189e+01 -3.640510564206178969e+02 3.533096191137117259e-01 10148 33540 18378 54388
-2.358982143905948448e+01 -3.640507545620837391e+02 4.738312353054052739e-01 9598 33393 19178 51118
-2.457132717762870300e+01 -3.640506249151613360e+02 2.648086456278768153e-01 9282 33243 19204 51761
-2.556333190991595927e+01 -3.640505545982530862e+02 4.560093948107221684e-01 8678 33184 25590 51756
-2.628251768067517347e+01 -3.640505242788406122e+02 1.937447646449067529e-01 8479 33241 0 0
