# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31035 31035 10367 31035
-1.087165223190481589e+00 -1.657370226810613531e+04 9.335522271776550696e-01 26092 30954 15148 40226
-2.065494006876868127e+00 -6.168362006588354234e+03 5.615624788129549572e-01 22824 30943 11540 44953
-3.397231316544305546e+00 -1.389768656162186289e+03 2.783580285203690607e-01 19852 31072 18302 41876
-4.236107851110620715e+00 6.049727014382955304e+01 8.082558889621863640e-01 18195 31054 20819 48062
-5.082081405589967460e+00 8.975306956903907576e+02 7.874243223655020829e-01 17044 31111 17849 50547
-6.120579282426055201e+00 1.374786151814128289e+03 7.667163472067238528e-02 15719 31166 14152 48065
-7.327997948141081963e+00 1.592384899975765620e+03 4.735284104584081000e-01 14209 31111 17462 44389
-8.265283396884679945e+00 1.649609120486024040e+03 7.466474802615898909e-01 13332 31162 15914 47460
-9.351923383408864865e+00 1.675904964342669928e+03 2.336082976203829320e-02 12505 31207 26580 46121
-9.926510558177888299e+00 1.681507541392179519e+03 3.121652848899427735e-01 12093 31171 23130 55931
-1.081542512425443370e+01 1.686870770529558285e+03 9.141992695867071639e-01 11575 31357 28618 53035
-1.145041000871584025e+01 1.689278727000583331e+03 2.868678553621399896e-01 11308 31105 30061 58372
-1.212880532681211321e+01 1.690779594646693340e+03 4.055078597627737036e-02 10798 31091 18242 59775
-1.330539668850970969e+01 1.692116314514883925e+03 1.755267707422695778e-01 10102 31261 14075 48743
-1.453100409683692362e+01 1.692671605695114067e+03 1.889335646700980031e-01 9670 31348 15653 44540
-1.557363264606101971e+01 1.692889565993324140e+03 8.188865819854854733e-01 9242 31381 13393 46297
-1.679675727964863441e+01 1.693000613117135117e+03 5.587999205411348091e-01 8872 31284 13682 43860
-1.794969393255605539e+01 1.693053253424469858e+03 3.896900019868532183e-02 8596 31471 12656 45183
-1.920199528922304566e+01 1.693080795950619631e+03 1.774929478348431094e-02 8036 31433 27086 43461
-1.970302290057305328e+01 1.693086042725231437e+03 1.821477754877963151e-01 7912 31328 45345 57775
-1.997323405493269632e+01 1.693088154281385187e+03 4.841418752369195388e-01 7894 31271 50741 75837
-2.039326886700807862e+01 1.693091263567882379e+03 1.694717257132392907e-02 7676 31223 60917 81338
-2.070159274339991384e+01 1.693092896540599213e+03 5.610677411428096617e-01 7534 31217 59973 91505
-2.113885348281352350e+01 1.693095010606773485e+03 3.118212548449825761e-01 7538 31234 53206 90553
-2.168331328763255783e+01 1.693097104706248047e+03 3.971369657563526556e-01 7437 31299 56967 83863
-2.208682280052321900e+01 1.693098281534064199e+03 5.113993629690944953e-01 7349 31337 63898 87673
-2.242053857425303676e+01 1.693099082785935025e+03 5.757064071392621329e-01 7368 31356 77771 94615
-2.263461291501622696e+01 1.693099566414603714e+03 5.330810241854859743e-01 7194 31358 89922 108491
-2.283821304840907374e+01 1.693099950797974543e+03 2.934657075772806323e-01 7287 31347 0 0
