# level_assignment log_likelihood tiebreaker ID
0 -1.760245537217558376e+04 1.440075494667957812e-01 0
1 -7.583632546484597697e+03 1.713828938269453261e-01 2
0 -3.750880300891856314e+04 3.835386939621325264e-01 1
1 -6.560634715474235236e+03 8.097838164159449903e-01 0
4 -4.434317068714695438e+02 5.450778171471459821e-01 4
3 -6.322991685196949447e+02 1.796990191358815991e-03 3
2 -2.096428752587213239e+03 6.048411977488185598e-02 3
3 -8.782114192797118903e+02 5.716503529615222234e-01 4
3 -4.577277849246486312e+02 2.059306632430044637e-01 1
1 -6.908219898828064288e+03 8.423104056003103413e-01 3
5 -3.807986309488694019e+02 8.024772751957274242e-01 4
0 -4.723436527089947776e+04 2.436897873715342111e-01 3
0 -7.492883517270290213e+03 7.999131845508067329e-01 1
5 -4.156905432690572866e+02 5.369986167432116986e-01 2
5 -4.364435604521245295e+02 8.929319495994669786e-01 2
4 -5.782698324650899622e+02 5.980450920787241387e-01 1
6 -3.529047330767048152e+02 2.733547008465131434e-02 4
8 -3.592301628853291504e+02 9.226793904126751045e-02 2
2 -3.169097996522516951e+03 5.027534225859855987e-02 3
5 -4.595699797171789101e+02 8.802148840180474831e-01 3
1 -5.054588707678265564e+03 8.615321976814334093e-01 0
2 -3.523051605223546176e+03 4.508748537719031724e-01 4
3 -8.505430254021656538e+02 2.112327689466697578e-01 2
8 -3.546616026226286067e+02 9.751834418075304711e-01 0
5 -4.485448910913970622e+02 6.937699654977979025e-01 3
6 -3.839364342881763150e+02 5.271607347456542803e-01 3
9 -3.510908947111103657e+02 7.287780608346392519e-01 2
10 -3.497761351736903634e+02 7.707769156579510894e-02 0
12 -3.468630584255902249e+02 4.262920297185928686e-01 3
7 -3.564803444137443762e+02 2.410101515318397447e-01 4
0 -1.405202886358416072e+04 6.028962585800707874e-01 2
11 -3.478580966582537712e+02 5.008797179524129284e-01 3
4 -4.110871906049545714e+02 8.426169028367297420e-01 0
1 -1.133882107922383057e+03 5.049295453412039336e-01 0
4 -5.534483950592781412e+02 8.755632963675435976e-01 4
1 -5.657262979762726900e+03 4.965119593593684266e-01 0
5 -4.234500850256671356e+02 9.241154771747961405e-02 0
12 -3.468237761155417616e+02 2.652743787847624546e-01 4
12 -3.469717057595794927e+02 5.477672958619083099e-01 1
14 -3.464874802471719022e+02 8.969500308595590443e-01 3
14 -3.465077408491267761e+02 2.816180078590848623e-01 3
13 -3.465727083121724945e+02 9.347345926029178020e-01 0
14 -3.465227885173696905e+02 2.739162889017791036e-01 4
10 -3.489764440238744783e+02 5.644726039841323484e-01 0
12 -3.471510420049563095e+02 8.526301411579595424e-01 0
7 -3.702848377730475704e+02 2.243612920343660555e-01 3
2 -1.087643757396904221e+03 5.637786459317524201e-01 3
13 -3.468718481458982978e+02 4.186322595466109298e-01 0
4 -6.489467138026657267e+02 4.858982717408967811e-01 3
5 -4.504417674870279598e+02 9.794754804966326889e-01 4
11 -3.470710268026342646e+02 6.727999642639126421e-02 2
13 -3.465275553984170074e+02 9.714969510542504905e-01 1
3 -5.761102807944095048e+02 8.252870017385535717e-02 3
10 -3.490805025217676416e+02 6.491797192620358814e-01 1
6 -3.772556765779407897e+02 4.918958286350883502e-01 3
3 -7.400700866813172070e+02 4.531396050634786121e-01 3
11 -3.475953436429538215e+02 8.106526960048675567e-01 4
13 -3.469368721977099312e+02 1.431056443345982698e-01 0
10 -3.491062395862253425e+02 6.951321754768571282e-01 0
6 -3.968257959163548776e+02 7.613409916752316153e-01 4
9 -3.509763202452007818e+02 3.464960876921738264e-01 2
5 -4.427381538834018784e+02 1.736481197626082440e-01 4
7 -3.692497895769121214e+02 1.102110402319382843e-01 3
6 -3.758895045770074717e+02 1.663494357968552384e-01 1
6 -3.684782183895182470e+02 1.897938948040578389e-02 4
1 -3.517247642132563215e+03 5.719831572242942697e-01 0
11 -3.469390672616601705e+02 2.299183226063173935e-01 3
11 -3.478833198979405665e+02 4.413678726455338985e-01 2
11 -3.476533684198089418e+02 8.389767602459610174e-01 1
11 -3.475044330683766702e+02 9.848534589464925659e-01 2
5 -4.577924932182356770e+02 9.471100195840326252e-01 4
9 -3.524032656067715834e+02 9.165162544064652250e-01 3
13 -3.466135703426938335e+02 5.136020148079456504e-01 1
4 -5.252657827459374857e+02 1.185121763273433437e-01 0
1 -1.257180320362651401e+04 2.006515966506103033e-01 0
1 -5.671658506383573695e+03 3.158567855076420405e-02 2
9 -3.477626481033921664e+02 5.196095904820242639e-01 4
2 -2.322099942140192979e+03 7.184263960312410324e-01 0
13 -3.469368764293993763e+02 7.329114085815223723e-01 1
4 -4.120619404337810465e+02 9.642683704500016884e-01 2
6 -3.668777876007761165e+02 3.757715600102234377e-01 0
1 -1.269276656724467648e+04 1.106274341115227600e-01 2
12 -3.470980200811010832e+02 8.944259364294396830e-01 4
9 -3.501477080817029446e+02 7.212285972505401155e-01 0
9 -3.514735815988871082e+02 3.572886050410841730e-01 0
8 -3.555043389061781909e+02 9.847788680912565873e-01 0
7 -3.606658688519336238e+02 6.447489379084521410e-02 3
12 -3.471952318168977740e+02 8.991214548674228979e-01 1
13 -3.468445944128900464e+02 5.397403412792830535e-01 4
7 -3.671431746064060349e+02 1.766515298227488984e-01 0
14 -3.465168304745613455e+02 2.395525600957126855e-01 1
16 -3.464794952225744282e+02 1.202789091589635539e-01 4
