# level_assignment log_likelihood tiebreaker ID
0 -3.251698206875622418e+04 4.030932871328706257e-01 4
1 -1.043357471323241407e+04 3.211037133396926202e-01 0
0 -4.139803696533977200e+04 8.264583850030925438e-01 4
1 -8.831870497974317914e+03 2.077087329371977154e-01 2
0 -1.378999100603038823e+04 1.536701115576198373e-01 0
0 -1.230010037187184644e+05 2.010307614340343108e-01 0
1 -1.895666483295637590e+04 5.367803132738936389e-01 0
1 -7.095112114468218351e+03 9.695959689527138270e-01 0
1 -1.578080920785288254e+04 3.926637553173523698e-01 2
5 -5.484700107505559572e+03 5.458828799014516786e-01 3
4 -6.880094190441508545e+03 1.053979541264123271e-01 0
5 -4.420664791609635358e+03 5.190063273409307731e-01 3
6 -3.130166999506348475e+03 3.152244409857224983e-01 0
5 -5.171134745549723448e+03 2.475213252487584725e-01 2
3 -8.913725474427805239e+03 1.635297759303397935e-01 2
7 -2.588671152228882875e+03 2.097381348535876100e-02 4
7 -1.640909021540285949e+03 9.922748796176217301e-01 4
7 -3.493254708016138920e+03 9.586316928990483710e-01 2
2 -8.821700554304621619e+03 3.077946223099996548e-01 1
5 -4.138610752933085678e+03 8.217206480012606562e-02 1
8 -2.041263763459057145e+03 6.033162769283069160e-01 1
1 -1.192822877048851660e+04 6.885410037510477643e-01 3
10 -9.836581416982297696e+02 9.205319201650552507e-01 4
6 -4.391350066883427644e+03 9.660113973714683500e-01 1
9 -1.555632772887744977e+03 4.082113171922796546e-01 2
1 -1.812796634512739547e+04 9.763159169263232462e-01 3
4 -5.525504808803087144e+03 1.876531626022588384e-01 0
11 -8.818597541040087435e+02 9.779716739808776982e-01 2
6 -3.547357279405905501e+03 5.614069189266276405e-01 0
8 -1.501235609787499470e+03 6.125993997972429828e-01 3
9 -1.414818592513440763e+03 8.445379709674485369e-01 1
8 -2.631126867803470304e+03 3.162870359100243278e-01 0
3 -8.705603817315468405e+03 8.701587590221970814e-02 0
6 -3.948907421111059193e+03 6.200150466448555164e-01 0
9 -2.143103671667428898e+03 1.164589741969612735e-02 2
6 -2.426628580272743420e+03 2.750145466384762427e-01 2
14 -5.385986338547440937e+02 5.777376945043366518e-02 3
12 -9.873198673200769235e+02 6.794776832496616237e-01 3
9 -2.006388527983229778e+03 2.591508982489293955e-01 2
13 -7.764911252872193472e+02 6.308957409113487014e-01 1
11 -9.449798885655486629e+02 6.436307776840740624e-01 2
13 -4.354801519112698998e+02 8.636108746717242601e-01 0
14 -4.798353897849203804e+02 2.865562322088661129e-01 4
13 -4.923069683172112718e+02 4.171697909285153050e-01 0
11 -1.203717978768625017e+03 5.477917115085775279e-01 1
4 -2.923239587608210968e+03 6.217301234160386159e-01 3
16 -3.834965871472728622e+02 4.179120810958125709e-01 4
10 -1.704376492928576454e+03 2.041192142730665626e-01 3
14 -4.412960775350722997e+02 2.995604037528397656e-01 4
10 -1.786008826521081573e+03 4.750467531215157302e-01 2
16 -4.144904704191653764e+02 2.476536072296837976e-01 1
16 -4.090115007579125859e+02 2.931133699040405771e-01 1
15 -4.403075955846771308e+02 3.832924851509804665e-01 1
13 -6.340833685510934856e+02 7.063288910546303700e-01 3
17 -4.039802390121476492e+02 7.518885483222120802e-01 1
12 -8.379918621424603771e+02 4.689970435026578066e-01 2
13 -7.871289695100468862e+02 6.414787865139335299e-01 4
11 -8.214644961969177075e+02 3.033899959649653533e-01 2
12 -8.176420596714528983e+02 8.415632797207209803e-01 2
11 -9.005271347970772240e+02 3.149361852903277970e-01 3
16 -3.937186278713504635e+02 5.128073014748348868e-01 1
18 -3.907921505555481190e+02 3.284443470163465606e-01 1
4 -3.372989364971997020e+03 1.578763585715829976e-01 3
17 -3.925619522447664735e+02 9.559041936343146695e-01 1
18 -3.905608489185726739e+02 1.427928427093083652e-01 1
11 -6.310986904084164735e+02 8.503667536477701461e-01 0
17 -4.038094471496513052e+02 5.723911327355793999e-01 1
18 -3.883429685229417032e+02 6.553338749186323753e-01 1
15 -4.598159349787590600e+02 8.498940023272609778e-01 0
10 -1.172400706733939614e+03 8.680760177645886477e-01 3
17 -4.045759999776570908e+02 3.597734374979876248e-01 4
18 -3.890472495652931002e+02 9.187951057838356084e-01 1
8 -1.808619419649941847e+03 1.797023522253367034e-01 0
10 -1.651609070927243010e+03 1.942312485598245431e-01 3
19 -3.785228294535472742e+02 4.936751221077170237e-01 4
19 -3.722122359571445145e+02 9.550880418562224250e-02 2
16 -4.182471497987874045e+02 2.130677515468340777e-01 0
11 -1.166043985994075001e+03 6.261262693324755046e-01 3
21 -3.718175256227184491e+02 5.417301544192585361e-01 2
10 -7.234572653022510167e+02 1.439043795080568455e-01 3
16 -4.103700580671790021e+02 1.212749086658675424e-01 4
20 -3.741324569831073177e+02 2.459998266181022686e-01 1
20 -3.750059902285807993e+02 5.476081330067867903e-01 0
20 -3.740151075231201503e+02 7.702373668198561063e-01 0
8 -2.764473468416310880e+03 9.264086620400302508e-01 3
12 -6.403408535109126660e+02 4.540730731482687244e-01 0
8 -1.598619812001384162e+03 8.345060877350199968e-01 3
10 -1.607701068479525475e+03 8.772385797405146679e-01 3
21 -3.730909326478805497e+02 9.816389192270769115e-02 1
21 -3.712245624147026319e+02 1.343477553320737705e-02 1
20 -3.718186392855770919e+02 9.645440874929410435e-02 1
21 -3.721804801549127433e+02 2.840070761075472738e-01 1
8 -2.553796551037676636e+03 7.164218852453748676e-01 0
9 -2.168856606088338594e+03 6.955199903796133176e-01 3
9 -1.349959834004027471e+03 7.424715445186162999e-01 3
8 -2.202388316628751454e+03 1.894796293050227121e-02 0
