# level_assignment log_likelihood tiebreaker ID
0 -2.566780565547208425e+03 4.513768526463266539e-01 2
1 -1.042942159907451787e+04 9.072509415858969195e-01 2
0 -1.426719639790403889e+05 4.109479430719391591e-01 3
3 -1.195519053018936347e+03 5.241812177740623468e-02 0
0 -3.955426571063334995e+04 2.155087469352814367e-01 4
0 -2.399330672244061498e+04 8.770590625388210992e-02 2
0 -2.845634212450185805e+04 1.512481756561347146e-01 1
1 -1.349022407150011168e+04 4.130199579768687457e-01 2
4 -6.320747613518797152e+02 6.033744398303892975e-01 3
5 -3.675339348213183257e+02 6.412561570348600526e-01 1
5 -4.389218359738424624e+02 6.507955102932596603e-01 4
1 -4.094746330757910982e+03 5.268301252229797838e-01 4
0 -2.975056527971798641e+04 9.470772763224721835e-01 2
4 -3.871846134646686437e+02 6.478707310359155258e-03 0
4 -6.049397599007636472e+02 5.331149919802520287e-01 0
8 -3.675494382622971443e+02 7.397259742725157405e-01 1
6 -3.938896813598252606e+02 2.515082549634363729e-01 1
4 -6.838565989649903258e+02 3.637746938419822440e-01 2
1 -2.900995177151288317e+03 8.260467450879707130e-01 4
8 -3.658450035540214458e+02 6.989081344283802899e-01 4
9 -3.641169263983270525e+02 1.548247697591715877e-01 4
6 -3.724377633147366851e+02 4.865812061643489672e-01 3
10 -3.628704568790901703e+02 9.488887265493843870e-01 2
1 -9.112647105097266831e+03 4.718344821297275615e-01 4
7 -3.778256705274841920e+02 6.036017018149038016e-01 2
9 -3.643238582412908499e+02 4.203465747365736083e-01 3
11 -3.622469030535411321e+02 5.161689078329331215e-01 4
8 -3.653568973128471384e+02 9.070726828640476858e-03 0
11 -3.622955737664191247e+02 2.021012892530853478e-01 0
10 -3.624347187231973066e+02 2.756618324509005902e-01 4
8 -3.643636908989619769e+02 5.964099854148525726e-01 2
13 -3.622187266951048059e+02 1.089999368085289022e-01 1
1 -1.609506504846877760e+03 6.747048743754668898e-01 4
5 -3.956189430388805022e+02 1.968154539326594232e-02 4
7 -3.707417974021429927e+02 4.127503790003821393e-01 0
4 -5.268128865312702374e+02 6.857903062411945250e-01 4
10 -3.626738274818450236e+02 8.436014945278632604e-01 1
14 -3.622099334990907096e+02 3.362023895111656557e-01 2
12 -3.622320841735129306e+02 3.440315428346207849e-01 4
8 -3.655360042090829324e+02 6.135778730708860151e-02 4
2 -2.020944755524862558e+03 5.096983338119684959e-01 0
8 -3.645190922405635092e+02 8.615735158217159295e-01 1
13 -3.622241624243230262e+02 5.755392311030700370e-01 1
6 -3.736723287145971426e+02 7.467951466219062695e-01 1
6 -3.843396233451820763e+02 8.233088876288664482e-01 3
14 -3.622153821674845631e+02 5.242684651731182033e-01 0
15 -3.622105000814980258e+02 3.102545976788756987e-01 2
10 -3.625630116507696243e+02 2.040821726543607662e-01 3
10 -3.629497076081803471e+02 5.031481752039349553e-01 0
0 -1.007010821264138503e+05 6.043741046280128870e-01 4
9 -3.629245054493042630e+02 7.085004000418777537e-01 1
6 -3.684385688672683159e+02 4.248006413871410758e-01 0
10 -3.625023149677036827e+02 3.792629193855904801e-01 0
15 -3.622067456606712312e+02 4.954076126656317691e-01 3
16 -3.622061601882049899e+02 7.347416279583108834e-01 0
