# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33548 33548 13753 33548
-9.005989943007646215e-01 -8.043270327078159880e+02 2.345321401645982240e-01 27725 33373 16382 45801
-1.926881513861554929e+00 -6.470075550876433681e+02 2.457280926528881970e-01 22904 33425 13968 48561
-3.156022934026898596e+00 -6.218121774440830904e+02 2.442999275499748713e-01 19602 33442 16442 46577
-4.194615978416729618e+00 -6.149517810364887964e+02 4.203747577551236736e-01 17648 33235 14515 48577
-5.388554395974630040e+00 -6.122527002287433788e+02 4.171536655975287555e-01 15545 33030 13715 46572
-6.595343806947921550e+00 -6.114535361045781201e+02 6.721615655562198643e-01 14183 32882 21384 45685
-7.368424338222416381e+00 -6.112747162928774287e+02 5.519734821525691393e-01 13484 32847 17005 52755
-8.492618058484504573e+00 -6.111643536659455549e+02 4.344130654684885684e-01 12265 32572 13884 48509
-9.726320514558253194e+00 -6.111265916183601803e+02 5.463839803356854707e-01 11162 32542 17746 45522
-1.067202053245221549e+01 -6.111183348723535573e+02 2.745895590370259765e-01 10602 32583 26106 49226
-1.132493895385219851e+01 -6.111156699778467782e+02 7.234272500825429386e-01 10115 32607 18811 56993
-1.242742033565521709e+01 -6.111138044425562157e+02 7.821783019984722696e-01 9355 32683 28869 50394
-1.300587687318325436e+01 -6.111134271764449295e+02 4.288007783106404514e-01 9218 32767 26199 59873
-1.384040323041772957e+01 -6.111131086177151701e+02 9.497859668600132643e-01 8847 32770 16558 57827
-1.507633312413503468e+01 -6.111129384123535147e+02 8.267243470349063816e-01 8205 32795 15444 48530
-1.621179772347952763e+01 -6.111128906694186753e+02 3.900439623462723659e-01 7541 32598 24322 47326
-1.689543415102449231e+01 -6.111128798785491654e+02 9.667608091739641335e-03 7125 32549 7726 55330
-1.877948317298288927e+01 -6.111128709550359872e+02 6.082955858590146647e-01 6374 31958 21980 39286
-1.938606046611898037e+01 -6.111128702911815935e+02 8.999420718055566315e-01 6222 31961 22821 53298
-2.024219615806461547e+01 -6.111128698632080614e+02 2.021321595375109581e-01 5785 31825 29148 54007
-2.087668952245760678e+01 -6.111128697144604303e+02 5.671552132814586256e-02 5584 31830 24401 60321
-2.178626737971582372e+01 -6.111128696093743429e+02 6.818962456015406626e-02 5338 31676 31954 55438
-2.235694824081726040e+01 -6.111128695789395806e+02 5.279228785245493327e-02 5234 31787 35423 63108
-2.295101347580522244e+01 -6.111128695597726619e+02 3.513812038453250630e-01 5021 31826 53972 66586
-2.318611324054825573e+01 -6.111128695557820265e+02 5.087654309407794173e-01 4937 31815 40254 85132
-2.394308830212940009e+01 -6.111128695467868965e+02 7.700006761587019355e-02 4783 31695 45808 71324
-2.440416410172805328e+01 -6.111128695438965224e+02 3.892108119420960577e-01 4719 31636 45145 76785
-2.495020821427451096e+01 -6.111128695417652352e+02 1.515274532798551732e-01 4579 31591 30332 76096
-2.587308031033444422e+01 -6.111128695399370372e+02 7.468792049520170950e-01 4245 31653 0 0
