# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33140 33140 10249 33140
-1.157186828813452584e+00 -8.575857841543395352e+02 1.811341836195699273e-01 31870 33021 14761 42490
-2.210392096877087376e+00 -7.409883457702278520e+02 2.452717784064781803e-01 30673 32890 21454 46551
-2.997946348087884516e+00 -7.121091467513163025e+02 6.744982151599658859e-01 30142 32921 18937 52888
-4.023459001366258114e+00 -6.848756807493139149e+02 3.743822521000673142e-01 29232 32797 30843 51385
-4.556590995613824191e+00 -6.742620498118212709e+02 9.920286114614800255e-01 29031 32812 43115 62340
-4.948178429751281193e+00 -6.678509382149171643e+02 6.000509986237770876e-01 28673 32830 44306 73858
-5.475207619275278326e+00 -6.597853932156924657e+02 7.084883857745366553e-02 28569 32884 25408 75558
-6.561275640125137976e+00 -6.462187988240774530e+02 5.358217376997587156e-01 28116 32923 22615 57366
-7.495611050249199714e+00 -6.371101628211556545e+02 1.581204107768314771e-01 27608 32978 13027 54365
-8.895311415654024501e+00 -6.273484217472816908e+02 2.873981490354597934e-01 27141 32934 23532 45225
-9.567932296596321606e+00 -6.236684447880616062e+02 9.130515711618403252e-02 26893 33025 28696 55244
-1.023885675558730668e+01 -6.208950489576127438e+02 4.785708226663916154e-01 26790 33090 20043 60166
-1.133288909255797705e+01 -6.172735000786635737e+02 8.131891672440449970e-01 25838 32525 12290 51687
-1.273825346538673031e+01 -6.140963274321497920e+02 6.043290110754064859e-01 25466 32664 24617 44505
-1.335288469492811636e+01 -6.133313278158819912e+02 7.001617645133747514e-01 25147 32562 27200 55371
-1.407738163571276324e+01 -6.126425592476558677e+02 8.305430299373316450e-01 24783 32611 11201 58027
-1.567654105637400264e+01 -6.117902691420590600e+02 5.408967550914229871e-01 24269 32809 18325 43570
-1.655115927169394041e+01 -6.115786067666845156e+02 9.408105217905866624e-01 24102 32899 16067 50176
-1.768114261699787448e+01 -6.114104754033189693e+02 3.186984619234733973e-01 23296 32510 23250 48123
-1.842341553396045128e+01 -6.113378719931665728e+02 8.264454930699167701e-01 23005 32534 24756 55147
-1.923418664015774837e+01 -6.112723066389168025e+02 4.629550854153330341e-01 23011 32457 25818 56575
-2.002899661736784154e+01 -6.112178857145881921e+02 5.622300559089659089e-01 22770 32478 35772 57655
-2.052770000463646127e+01 -6.111875840264170847e+02 2.411645231373173992e-01 22783 32383 31718 67511
-2.129286148525203259e+01 -6.111469222090937592e+02 2.031216104783233334e-01 22562 32490 31470 63576
-2.200830474984873319e+01 -6.111176440612867964e+02 9.066162419645131809e-01 22599 32358 34751 63181
-2.262200927468756362e+01 -6.110967961945568732e+02 7.675223597511831031e-01 22489 32457 32061 66570
-2.336338902429586994e+01 -6.110751393279947479e+02 5.625095070537827757e-01 22184 32313 15402 63732
-2.475919209161725831e+01 -6.110374078119360775e+02 4.884822257200180928e-01 22171 32380 18083 47154
-2.572019976316097711e+01 -6.110193199844020455e+02 9.584500324384286341e-01 21893 32172 0 0
