# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 243691 243691 85788 243691
-1.038865980046944637e+00 -2.381622304817179739e+08 6.302579267780941130e-01 236942 243234 131585 318482
-1.932727703953319054e+00 -9.058805957404834032e+07 5.826523093723483537e-01 229835 243047 131853 361510
-2.940635084572738034e+00 -6.465358899038615823e+07 5.324157994609417521e-01 224208 243409 133770 364928
-3.943927447914449935e+00 -5.010197574973696470e+07 5.295365929208688538e-01 220130 243612 145805 369433
-4.878993761385767236e+00 -4.015688991128966957e+07 1.854892845906613297e-01 216441 243260 159918 378540
-5.750664878667731017e+00 -3.255833263535289466e+07 7.722961759002187065e-01 213640 243212 155476 392956
-6.683113818204891032e+00 -2.564609441553665325e+07 1.775859987982657540e-01 210153 242777 161808 389620
-7.570483342156167694e+00 -2.006662376826834679e+07 6.556519722284095408e-01 207546 242202 214597 393736
-8.201861958631422311e+00 -1.662125159673510492e+07 1.750932660191676649e-01 205062 242022 213140 439596
-8.942091414208720224e+00 -1.315326399224009179e+07 9.116135663589750582e-01 202944 241421 180618 440007
-9.839481828529542895e+00 -9.671376453704033047e+06 9.707965005564527239e-01 199651 241066 148859 409279
-1.085005757043689556e+01 -6.674545901990054175e+06 9.389133406889613731e-01 197388 242061 124292 379768
-1.195749536138717417e+01 -4.135953650250645820e+06 9.698690195184795915e-01 194508 242061 141854 356005
-1.288392248028390696e+01 -2.680643879001928493e+06 6.745187387793354361e-01 191292 242434 111243 371215
-1.407127809604200053e+01 -1.430132395629035076e+06 3.000358653304919798e-01 185163 241474 122879 342332
-1.509375685468143402e+01 -8.669264190623057075e+05 1.584708732404795095e-01 181179 240721 142862 352623
-1.600487494960718848e+01 -5.776697945072627626e+05 8.371620346151943393e-01 178568 240902 128305 369634
-1.705827451179311893e+01 -3.654855951242493466e+05 1.084418463917401071e-01 175901 241201 130788 357945
-1.806452233008537789e+01 -2.411362458314807154e+05 2.903166590093297361e-01 173939 241561 136167 360715
-1.904078291968480130e+01 -1.591615007634843641e+05 5.557086314914627678e-01 172609 242122 150003 366212
-1.994147034122333295e+01 -1.066885665442504687e+05 6.778339439853264814e-02 171362 242861 155823 380087
-2.084106600038322199e+01 -7.051676381475363451e+04 1.326039609762689753e-01 170072 243677 192990 385505
-2.155328706151258800e+01 -5.031998955501848832e+04 3.570165175537580726e-01 169351 244354 184369 420966
-2.239014399064392791e+01 -3.395083933103632444e+04 2.885290881412121977e-01 168274 245038 176036 416134
-2.325971221310532755e+01 -2.107957985129458393e+04 1.650275560981626921e-01 167855 246088 175019 410397
-2.412181871177128301e+01 -1.242770751020709577e+04 4.094305785221908911e-01 166584 246869 160659 411697
-2.506691711541992618e+01 -6.279229908495972268e+03 4.445640438704989705e-03 164963 247482 119040 397746
-2.625653281571882047e+01 -2.125428292599021916e+03 6.724127219056934557e-01 163028 248017 139125 363200
-2.721929138883095689e+01 -1.100191543504880656e+02 9.810543534958162670e-01 161713 247599 176142 381557
-2.800792741868067637e+01 1.069686501472603140e+03 6.372660789787016888e-01 161209 248281 311539 418087
-2.833834317740835829e+01 1.417444097857840461e+03 1.353553631744706109e-01 161040 248526 395463 553728
-2.870150390089416703e+01 1.754662186856799281e+03 3.235136604059812293e-01 160570 249093 416283 637488
-2.914852526180989400e+01 2.122196051102127967e+03 3.789441307260865699e-02 160761 249603 454089 659789
-2.954367062963704527e+01 2.400724193471277431e+03 3.337065014070590419e-01 160722 250207 448833 697971
-3.000391827212588325e+01 2.704409015577928585e+03 5.550123396973517531e-01 160561 251051 172574 693556
-3.137427483449801002e+01 3.585476004703292801e+03 4.220934249593844001e-01 160862 252708 167844 418962
-3.229477182134859703e+01 3.948065230862687713e+03 9.370127459266512915e-01 159893 253908 208122 415405
-3.300487714656024707e+01 4.111849130937662267e+03 3.268957518643065829e-01 160438 255034 218527 456819
-3.375732075000304633e+01 4.247588241665943315e+03 6.767970689018589781e-01 160168 256032 0 0
