# level_assignment log_likelihood tiebreaker ID
0 -1.636949035887112319e+08 7.922023512834370784e-01 4
0 -1.020141315754126787e+09 8.851632152565684919e-01 2
0 -7.402984594720049202e+07 8.151145850327664588e-01 2
2 -6.500661699941901863e+07 3.361800213516045188e-01 0
4 -3.195822340204311907e+07 5.920207479503165615e-01 2
1 -8.912282870146852732e+07 2.757100194869112064e-01 1
3 -3.263849166843629628e+07 9.237181476667053470e-01 3
5 -1.844893663615309820e+07 9.789370438505953231e-01 2
4 -3.114801261316764355e+07 4.158973295641299472e-03 1
6 -1.126177766178922728e+07 7.362916916057027361e-01 3
3 -4.753358950310450792e+07 6.200832615589203511e-01 0
2 -2.235316503847802430e+07 2.589757377782125891e-01 4
7 -3.087057377613500226e+06 5.288679292388865916e-01 0
5 -1.029569570534815453e+07 7.985654916003656068e-01 2
3 -3.911021448255640268e+07 1.860895245533115139e-01 3
6 -1.121302468950234912e+07 1.413716495899992043e-01 2
7 -7.983906023356300779e+06 9.051057836830340708e-01 2
8 -2.182883346079401672e+06 7.859297139786984854e-01 1
5 -1.410825389212533459e+07 6.860844360344982018e-01 0
9 -1.163477130690966966e+06 7.244505161984022834e-01 0
9 -2.157177510259017348e+06 7.031793121672749169e-01 1
6 -1.119584276706598327e+07 9.447494848789204092e-01 0
10 -9.773389888725710334e+05 4.519372111840618822e-01 0
9 -1.000004353357037297e+06 1.760310910147442343e-01 0
11 -1.540507870764720137e+05 9.558495742398326334e-01 0
10 -6.315713842522890773e+05 6.988866754859337505e-01 1
13 -1.369100857515505049e+05 5.970903251346744156e-01 4
6 -1.330650465712579153e+07 7.020467960023574205e-01 3
9 -2.643335857053508516e+06 8.596749899446791687e-01 2
14 -3.308798987451264111e+04 2.537318770578544380e-01 2
10 -1.320065440787469503e+06 9.907577922755255173e-01 0
6 -1.016493791252758540e+07 2.016149527521939877e-01 4
9 -2.063083331518338062e+06 2.489760565146809934e-01 0
9 -1.831949448339020018e+05 8.875202843095093552e-01 1
8 -2.595202089916943572e+06 6.635562809122821371e-01 2
7 -5.217226252641359344e+06 8.937133466622748657e-01 1
6 -1.485749517450662330e+07 1.509231737998474043e-01 1
4 -2.108397474521449581e+07 6.117675295702023064e-01 1
3 -1.669863488554373570e+07 2.435058673349145553e-01 1
1 -7.120468630329161882e+07 6.291588873756973621e-01 2
4 -2.254199493775335327e+07 9.485528336254729354e-01 2
4 -2.427855656133613363e+07 2.046649941673983619e-02 1
13 -1.025537579583521147e+05 9.149355613845353008e-02 0
16 -1.095106763657455122e+04 7.132760280286856158e-01 3
15 -3.709119086032459745e+04 2.006813056647294147e-01 1
15 -2.391621238979403643e+04 2.210141372905880530e-01 3
13 -1.264901893329105660e+05 2.307680639841495629e-01 0
15 -6.685475827473395839e+03 6.309660245918706778e-01 0
14 -6.536253684905452246e+04 2.821978423284718929e-01 1
18 1.753488556524637261e+03 4.758487043915433645e-01 1
19 1.905111933365526966e+03 4.520317138907508081e-01 1
7 -7.699772899849719368e+06 6.956076284048418046e-01 4
11 -1.820507912932643667e+05 9.251109821029805946e-01 3
17 -1.086014004138418386e+03 9.607741837450856082e-01 1
16 -1.400891104714725407e+04 2.113446409504461665e-01 2
11 -8.057832524994182168e+05 3.769368875840425348e-01 3
14 -9.865259909273027006e+01 8.029164509505886116e-01 1
1 -1.223977481460319310e+08 6.278928257597236051e-01 0
17 2.624521874101083540e+03 3.370347741143433495e-01 1
16 -2.410532362459486467e+04 2.765892465653958521e-01 2
11 -7.126473050738649908e+05 8.074295984499747503e-01 2
20 2.245792164402381786e+03 4.234214521676653020e-01 4
11 -6.203136513809415046e+05 4.804525850605928516e-02 3
11 -8.280928706387138227e+05 3.076784562204704088e-02 1
12 -2.145207383632829005e+05 6.724524351978684589e-01 2
5 -1.546878230904797278e+07 9.057222320981932473e-01 1
15 -4.444462550689185446e+04 4.433207466595719404e-01 4
22 3.458663023888364023e+03 9.961737645073348579e-02 2
22 4.427979113054927438e+03 8.632795015953780293e-01 2
22 3.556249327244502183e+03 7.024011636872814490e-01 2
23 4.083392495472436622e+03 2.759632294389682272e-01 1
22 3.774338696004911526e+03 1.921018163071330498e-01 1
12 -1.305276696716948572e+04 9.336657985184827480e-01 3
18 2.328121078784564816e+03 2.081255419112153504e-01 0
24 5.134562742248326686e+03 3.532772213476296219e-01 2
19 1.395490325262942861e+03 2.169596872024422973e-01 3
13 -1.281334597937022336e+05 5.723614048267821053e-01 1
22 3.454225864540901057e+03 4.874729001377428039e-01 0
15 -4.445254971290656977e+04 7.980421849592911343e-01 1
22 3.583930299737702171e+03 4.522379496308168711e-01 0
11 -5.123050603530964581e+05 8.803816177103876983e-01 4
18 -2.040703466382431316e+03 3.582214662936644700e-02 3
19 2.227459745157778798e+03 4.716594848604376694e-02 3
25 5.262988854053884097e+03 4.717227576624849483e-02 2
19 1.196342723578685991e+03 9.024817861532081764e-01 4
20 2.965279415550141493e+03 9.330075760147847896e-01 0
17 -4.059167701781611868e+02 4.197539868820535092e-01 0
22 3.775267705722995743e+03 5.096706246769198145e-01 0
21 3.767941753603688085e+03 8.621242202233645457e-01 0
27 5.204412723848568930e+03 7.861161944955572523e-01 2
20 2.253118304104125855e+03 7.612719543412981293e-01 1
23 4.691608922484650066e+03 9.518331990395287878e-01 2
18 2.212315190591654300e+03 5.863179797080857458e-01 1
20 2.512340875955820138e+03 4.745011639831155925e-01 1
6 -6.558841037821589271e+05 4.287083727306839620e-01 0
22 3.471167977944055110e+03 7.180236136285422788e-01 4
22 3.757639690193028855e+03 9.673762721763823347e-01 4
10 -3.637444184287620592e+05 6.881414204034642657e-01 3
11 -6.954143392148136627e+05 2.303588434231116366e-01 3
26 5.103811914515269564e+03 9.848207033904821106e-02 2
23 4.062685805971481386e+03 7.830615097076095710e-01 2
19 1.098326288504431659e+03 1.489827205525223741e-01 1
29 5.419460940515729817e+03 2.036744409061324035e-01 0
20 2.178131670495451999e+03 1.752757787162051994e-01 3
13 -1.131380780201537618e+03 6.036354803541910119e-01 3
2 -6.625470447459014505e+07 9.476269245431634403e-01 4
29 5.327309407935457784e+03 7.712355397557152381e-02 0
1 -1.532628016433982849e+08 1.808592262070625178e-01 1
28 5.250534317051466132e+03 2.225574258636484615e-01 0
3 -4.843311720391888916e+07 1.153353542981978563e-01 4
3 -4.298724681603609771e+07 6.572345912666117673e-01 4
26 5.061416186025444404e+03 8.590914242867380146e-01 3
25 4.910502226924725619e+03 1.260805985217925140e-01 2
23 4.073371948302710280e+03 9.518080702805398197e-01 1
23 4.106073297632407048e+03 7.858294362327526983e-01 1
24 4.548560591352504161e+03 9.736552168115186756e-01 4
27 5.312138027713021074e+03 3.211435170402889838e-01 0
19 2.065902969339970241e+02 9.584272448458567295e-01 1
27 5.289287274897169482e+03 3.806339411404380257e-01 2
24 4.619100541857090320e+03 6.416464295687629438e-01 4
28 5.265496279077547115e+03 5.811824532877292171e-01 2
27 5.194167049265912283e+03 8.684809299476731193e-01 2
27 5.206195491199222488e+03 6.202585108837371797e-01 2
29 5.339597276431752107e+03 3.224078205101221783e-02 0
26 5.089425961782267223e+03 2.239352242944684934e-01 3
28 5.357939530697845839e+03 4.842061553251630901e-01 2
29 5.354647025117123121e+03 1.076988234559025370e-01 2
13 -1.429983154300337192e+05 1.761706866522416703e-02 1
29 5.327209301137712828e+03 2.166385460686890141e-01 0
16 -1.941221790064263041e+04 8.540930687337190408e-01 2
5 -1.515547872557629645e+07 3.352336857723905439e-01 4
8 -3.417693041417733766e+06 1.067326571378377914e-01 0
7 -7.077028497417442501e+06 1.958390916264464710e-01 2
23 4.055400010032662067e+03 9.832503054223263872e-01 0
28 5.277005057981944447e+03 9.312394473674460993e-02 3
5 -2.462964040010235831e+07 4.411913289335966937e-02 4
11 -1.580182716253878316e+05 8.596835365627507608e-01 2
9 -6.411855215576577466e+05 6.281617987430146988e-01 2
14 -3.956633988343962847e+04 5.674394485337417304e-01 4
18 -3.325145320989829997e+03 2.337403967454116938e-01 1
19 2.455514108358597241e+03 4.825390869619514689e-01 0
3 -3.865156287262693793e+07 4.516325319306240260e-01 1
1 -3.398002150870006531e+07 8.085118855953746797e-01 2
0 -1.359793699775770009e+08 7.905410370149040800e-01 2
11 -5.255952265017614700e+05 5.225336109393527995e-01 4
9 -7.163604043591623195e+05 4.672159183146079586e-01 4
14 -6.555933608658700541e+04 3.127950047531271593e-01 1
26 5.119098778650250097e+03 5.378044054637477478e-01 3
6 -1.290565229799727537e+07 3.330278060165953180e-01 4
0 -1.671256715308908463e+09 2.282554435981909435e-01 4
3 -9.142595292563028634e+06 7.031380722087494928e-02 0
5 -1.817135190689150244e+07 5.904518890533079212e-01 4
5 -2.358152199632454664e+07 1.375809493954423257e-01 0
12 -4.045306985148664098e+05 8.530479652655490463e-01 0
1 -6.940577524948588014e+07 9.595957806701014281e-01 1
18 -1.097075290002485644e+03 7.950985451967151896e-01 4
20 2.211585972738058445e+03 8.116841017636291511e-01 3
16 -1.479485986592303379e+04 1.814777777688929977e-02 0
17 -2.288225636167764151e+03 2.737393449970914605e-01 0
10 -5.127202686207504012e+05 1.897582519159032033e-01 2
19 5.168549473566235974e+01 1.351593006224796056e-01 4
16 -1.211784754178787807e+04 2.688336050107614228e-01 4
1 -6.661535349018183351e+07 1.808402595482112851e-01 2
22 3.645780748816765026e+03 4.375114124575840702e-01 3
14 -8.194375057532457868e+04 7.416072855426318888e-01 1
8 -2.722706515886364039e+06 8.256521995201762110e-01 2
1 -6.768629939197181165e+07 6.120426817924426999e-01 2
16 -1.056732444657951191e+03 7.520041345122811804e-02 4
24 4.866083279973809113e+03 5.424544564722575402e-01 1
13 -6.587949405785225099e+04 3.499916021980862268e-01 4
22 3.464360054455572026e+03 5.004094262853649999e-01 3
20 2.052373612632830373e+03 6.443271127433818357e-01 4
4 -1.547021189620130509e+07 8.138882911069894588e-01 2
11 -7.624018732929973630e+05 2.192053957755520921e-01 0
17 -8.134033062754793718e+03 6.646712384726538581e-01 0
14 -3.385247819005700876e+04 5.146939006164661379e-01 0
25 5.035850303223355695e+03 8.766331246622700579e-01 1
7 -2.134253767962629907e+06 8.112178492357746684e-02 3
3 -3.164480313794019446e+07 2.769539149562518787e-01 2
3 -4.466100762605778873e+07 5.549830914040011498e-01 0
27 5.183561386093944748e+03 2.031060484204429695e-01 1
