# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32378 32378 10663 32378
-1.100338471560460940e+00 -1.178522990129173398e+08 6.221608098358695216e-01 26696 32205 13662 41726
-2.208178187612706012e+00 -6.362206967003087699e+07 7.046536764403956710e-01 23699 31947 13373 44644
-3.398684858765101957e+00 -3.127638849862379208e+07 2.262931721925290629e-01 21343 32076 15345 44550
-4.460008462576406707e+00 -1.562672891271521524e+07 1.339214554746321895e-01 19703 32048 15270 46318
-5.562271214108273298e+00 -6.261336099739449099e+06 8.770040619181765917e-01 17858 31836 15074 46051
-6.671121981479093854e+00 -2.411333445007971488e+06 2.111534861281384734e-01 16713 31946 17993 45824
-7.610028285184694319e+00 -1.023049093773704371e+06 1.987324422805757385e-01 15496 31694 22460 48469
-8.391919799641831546e+00 -5.313193184974328615e+05 8.786258672947511172e-02 14563 31623 23137 52706
-9.224425552522813376e+00 -2.921996209007987054e+05 7.481931775382889560e-01 14016 31565 13718 53386
-1.055941437816611561e+01 -1.183951236265859043e+05 8.438593057466299285e-01 13206 31648 9240 44588
-1.208327664952081903e+01 -3.693124725072628644e+04 6.891715504580415708e-01 12233 31680 14880 40365
-1.308137083223130404e+01 -1.643035510338702443e+04 6.937180358060537344e-01 11572 31746 21574 45399
-1.384018769193498244e+01 -8.212006636973183049e+03 7.890095379350796634e-01 11592 31810 29863 52205
-1.441933831010389788e+01 -3.417735627365802429e+03 1.164139922743024913e-01 11062 31809 15660 60407
-1.574870328593275559e+01 2.153542589973831127e+03 3.321887588810783498e-01 10521 31915 17853 46803
-1.671473296913694284e+01 3.846746016566519302e+03 8.597529027140424773e-01 9939 31927 17959 48822
-1.771481716479240731e+01 4.767459059338640145e+03 1.361827601311652591e-01 9708 31963 29588 49424
-1.825133694009777230e+01 5.060631304299860858e+03 3.779580855023461083e-01 9582 32017 25380 60963
-1.913339633842745258e+01 5.357324031405640198e+03 3.986208257292527257e-01 9053 31957 27289 56707
-1.987732847128296854e+01 5.490994682760145224e+03 9.858056433952633313e-01 8822 31956 28381 58600
-2.061472813514545521e+01 5.585224141653539846e+03 7.073499774518288152e-01 8658 32050 40856 59787
-2.101892552517805868e+01 5.615838618879924979e+03 1.357220312353872860e-01 8484 32121 46717 72333
-2.147428916961679235e+01 5.645861840458903316e+03 6.769747521278210445e-02 8448 32215 47994 78298
-2.197937723784689368e+01 5.670523007828293885e+03 3.057009742673324482e-01 8453 32267 52200 79625
-2.241852626025329087e+01 5.688851633508832492e+03 1.437358009501492617e-01 8289 32344 60759 83910
-2.275938230260598161e+01 5.700513494890470611e+03 3.203899342266933736e-01 8197 32340 56328 92466
-2.326821546900908544e+01 5.715393757030245979e+03 8.112490856913657788e-01 8075 32400 49121 88081
-2.386405014182085083e+01 5.729119357362403207e+03 2.232957532598763839e-01 8143 32385 44454 80866
-2.447491461735482332e+01 5.738852062305844811e+03 2.728671040291137384e-01 7638 32375 0 0
