# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33392 33392 10661 33392
-1.128639398000816474e+00 -1.398912437030311823e+08 4.463269057128048667e-01 24400 33358 19553 42948
-1.928751561826276051e+00 -5.345356129209171236e+07 5.471617997529029109e-01 21641 33322 23026 51399
-2.742163212713863096e+00 -2.253483468304331973e+07 6.924814256043884120e-01 19328 33203 22393 54726
-3.641282789455479119e+00 -8.765843210417045280e+06 9.163185906890161103e-01 17760 33320 27747 54468
-4.331130377394281972e+00 -4.523674455870036967e+06 2.976858682399815548e-01 16638 33377 24897 59545
-5.209192880180924412e+00 -1.899099317006197060e+06 6.989050562582268533e-01 15631 33382 21409 56968
-6.188981163222134541e+00 -7.068254138550726930e+05 9.051650379177171857e-01 14214 33428 15941 53547
-7.387588009957018365e+00 -2.211157927576686488e+05 2.542156388499662301e-01 13270 33485 17748 48435
-8.391295362268268221e+00 -8.407646539807430236e+04 8.119461151882720884e-01 12278 33421 16744 50044
-9.480261724643717969e+00 -3.108652471008950670e+04 4.881685072200669939e-02 11562 33366 22565 49008
-1.026810366114494855e+01 -1.404645088806891545e+04 3.520777901886288364e-01 11120 33479 15891 54551
-1.148718756473026836e+01 -2.690521945991034045e+03 1.441401390947549821e-02 10232 32691 13601 47499
-1.272013626043310808e+01 1.915636334471058035e+03 1.423155545881534534e-01 9514 32320 9495 45020
-1.422878895438532609e+01 4.357193774974159169e+03 2.926187698799718184e-01 8939 31722 12531 40482
-1.538787984394321207e+01 5.103611276999430629e+03 7.912287469613736857e-01 8081 31330 15221 43072
-1.642527572272171099e+01 5.381212399287707740e+03 8.469806409726495788e-01 7978 31139 7949 45865
-1.810802889622382139e+01 5.627531725222042951e+03 8.314051853364647915e-01 7386 30337 13083 37884
-1.916622963848341499e+01 5.702402265304139291e+03 8.099907728021594755e-01 6946 30011 25100 42435
-1.971790151879568143e+01 5.721879404888644785e+03 3.394832750392151044e-01 6849 30120 28407 54575
-2.038703146055600257e+01 5.736257712887931120e+03 5.560480200741251267e-01 6662 30232 20147 57902
-2.143976649103030496e+01 5.748996210866520414e+03 5.108360230224487930e-01 6082 30059 28971 49604
-2.199997164095163171e+01 5.751794262166551562e+03 1.769691131419041663e-01 6190 29985 23002 58307
-2.293358960214827746e+01 5.755968617956703383e+03 2.287359440961200807e-03 6115 30026 9660 52396
-2.456932192929740921e+01 5.759136515440794028e+03 5.596235341722506362e-01 5511 29777 15174 38795
-2.551252036781058763e+01 5.759832628802583713e+03 2.167626344149524709e-01 5445 29870 28182 44407
-2.599557148127921735e+01 5.760016905384940401e+03 3.491353985113416769e-01 5455 29994 30428 57545
-2.664875079180067630e+01 5.760217823982819937e+03 6.440645647506972882e-01 5217 30005 29884 59781
-2.735547059891629829e+01 5.760352510285900280e+03 8.968130884557087290e-01 5315 30188 43268 59445
-2.769840498342097135e+01 5.760421353002540855e+03 8.078607325929311189e-01 5249 30301 0 0
