# level_assignment log_likelihood tiebreaker ID
0 -2.254469017019160837e+07 1.440075494667957812e-01 0
1 -5.632378007040005922e+07 8.523029021118959658e-01 0
0 -1.288972524503835849e+07 4.929173977871315060e-01 1
3 -3.847779041746384464e+06 5.791819666619180129e-01 1
3 -1.906441971897195280e+07 1.732623731781179899e-02 0
0 -2.532784751136272401e+07 5.692073031740002564e-01 1
0 -1.188054290390708447e+09 2.404089894156372365e-01 0
6 -4.562700326546346187e+05 1.150238732172920164e-02 3
6 -4.789073798656034051e+05 3.080330997754288092e-01 4
5 -3.982687009556771722e+06 4.303377943584689724e-01 0
1 -1.896936127396205440e+07 2.871634868903504278e-01 4
6 -2.293709085261156142e+05 6.023327737825614481e-01 3
2 -3.634006513418462873e+07 5.694275796676577794e-01 4
8 -1.093717660336919362e+05 1.576994364814925387e-01 3
9 -3.549295925572204578e+04 8.174213638066475385e-01 3
9 -3.128363929640123024e+04 6.449762900937046073e-01 3
7 -1.408547867655635346e+05 6.550408829948128897e-01 4
6 -6.421338930342570529e+04 8.336745726661275446e-01 1
3 -3.118703291275365278e+06 6.658320318639034952e-01 2
4 -6.690923883144126274e+06 5.209766804337689905e-01 2
7 -4.196887387945570517e+05 2.367106645636527507e-01 1
6 -3.172702833413482876e+05 5.889124999400765503e-01 3
12 -4.697049637521033674e+02 2.491386485496835945e-01 2
12 -1.383958336892499119e+02 7.004613187371192540e-01 4
2 -1.395309149319780245e+07 8.216504764833063579e-01 0
13 2.133450025377479506e+03 1.716176837802008692e-01 2
2 -1.546022542027195357e+07 4.138514551352382997e-01 0
6 -1.842176853288675193e+06 7.179234612460297926e-01 0
11 9.697978755018734773e+02 4.382752337464124182e-01 3
10 -3.941848864663507356e+03 9.953240181504519057e-01 3
13 4.715969907161798801e+03 1.021741145434997833e-01 1
6 -2.561431209553637018e+05 2.372127634613918901e-01 3
13 4.080300564277253670e+03 9.236431208929309911e-01 1
8 -3.475575064032627415e+04 2.294185066063188505e-01 3
13 2.333044597977467220e+03 7.411382019864933834e-01 3
10 3.962902647374048684e+03 3.231036377703171425e-01 2
6 -5.373899216236524517e+05 7.783705841156730587e-01 3
4 -8.735172497559990734e+06 8.662816603335700139e-01 3
15 5.531687473127438352e+03 7.752338150079847168e-01 0
11 -1.061649514968208314e+04 4.273394805519400985e-01 1
12 3.204378740675613699e+03 6.570106827177836228e-01 1
12 -1.965098169613715982e+03 3.088176729303173662e-01 1
10 -1.699075756817741785e+04 3.150002052149470377e-01 3
16 5.692590634197309555e+03 2.540876967826818378e-01 2
18 5.733835061227259757e+03 8.292186539767114617e-01 0
18 5.715502697026302485e+03 1.409254754823484890e-01 2
7 -6.271112727659972152e+05 1.427666946118297808e-01 4
4 -3.962906053000465035e+06 3.105605673079114837e-02 4
17 5.705506973054029913e+03 5.222294420783093472e-01 2
17 5.751016513104708793e+03 5.993288343673983665e-01 2
5 -3.347406905656866729e+06 7.355526930619846748e-01 4
6 -9.507021531657655723e+05 9.977310854419121355e-01 3
10 -1.283100723646130973e+04 9.193445159437588776e-01 3
15 5.452488283399658940e+03 1.731024179122435669e-01 0
9 -3.872988882026933425e+03 6.580225744301829716e-01 1
16 5.554683569408214680e+03 3.843696669882540884e-01 0
15 5.358582878833693030e+03 6.183677697144180918e-01 2
