# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31343 31343 12313 31213
-9.364018075470058600e-01 -7.766385884210369587e+08 4.981887120853585316e-01 28245 31429 14838 42542
-1.985921735145682820e+00 -1.222416630121043026e+08 2.692590251836648463e-01 25203 31345 19776 45314
-2.825365903314674298e+00 -6.808781894567583501e+07 5.962891905385248048e-01 23297 31336 24874 49596
-3.531553701983480398e+00 -6.575232346842322499e+07 2.881407115200466107e-01 21317 31342 19201 54686
-4.575592417075786678e+00 -3.325894117647510767e+07 4.670187016410398684e-02 19636 31256 19558 49335
-5.505189432311902387e+00 -1.410862789607810229e+07 4.127213932933275764e-01 17981 31178 23836 49519
-6.250599075423761697e+00 -6.971370028250560164e+06 9.281699104248374299e-01 16981 31302 22782 53631
-7.114242814861175823e+00 -3.013724181637573987e+06 3.689336465415463118e-01 15713 31354 17360 52808
-8.220032768950584767e+00 -1.004981900939092971e+06 6.116700558046524183e-02 14697 31408 13177 47723
-9.486531745266661986e+00 -3.070107733069012756e+05 8.236962048947025217e-01 13335 31563 21570 44030
-1.021692819041499156e+01 -1.587818528876892233e+05 4.592831304651734392e-01 12899 31530 20651 51626
-1.113783665343084905e+01 -7.933109192096494371e+04 4.020423102917511926e-01 12018 31457 15595 51042
-1.231170159299851008e+01 -3.495238963805569801e+04 9.337411923113543288e-01 11013 31374 20116 46279
-1.315474992763001616e+01 -1.855613562369615465e+04 3.182329050825076777e-01 10822 31392 27699 50032
-1.376616154966029093e+01 -1.070997823016124494e+04 3.791203328035606113e-01 10642 31404 35590 57605
-1.426898218476230262e+01 -6.238563146015245366e+03 3.025257896538716684e-01 10272 31384 35610 65129
-1.488798990591583049e+01 -2.186223472715432763e+03 9.535978099750832548e-01 10070 31422 38534 65801
-1.544027850210767561e+01 2.228713479661032579e+02 3.814674702114956850e-01 9813 31563 41277 68586
-1.596534163571278420e+01 1.648044011263961238e+03 9.997057138178713220e-01 9624 31549 41154 71655
-1.653519232261312055e+01 2.666327880976943106e+03 6.654587548564863120e-01 9380 31621 27675 72342
-1.749767585395431269e+01 3.808008190259745788e+03 1.434704677976195164e-01 9137 31808 24351 58122
-1.837395812781842253e+01 4.495278566344810315e+03 4.710958434133984962e-01 9097 31967 30987 55243
-1.897093987672140258e+01 4.810428935542435283e+03 8.623339057678761632e-01 8987 32083 32588 62526
-1.963683913401983006e+01 5.078715395758771592e+03 4.228507341077865078e-01 8862 32253 36164 63595
-2.021817507919173451e+01 5.256857139842100878e+03 6.559985045295999573e-01 8709 32211 45462 68297
-2.064515702412061771e+01 5.345542655942770580e+03 2.576254801750392232e-01 8487 32210 62546 77035
-2.087531360653687429e+01 5.383513481177917129e+03 2.940537792988990803e-02 8513 32214 88822 94128
-2.095336421650863912e+01 5.391433384002421008e+03 3.989936040209447476e-01 8219 32189 105265 120346
-2.110219924150634441e+01 5.410022487761763841e+03 1.800251115427319581e-01 8359 32218 0 0
