# level_assignment log_likelihood tiebreaker ID
0 -3.722742058682597708e+05 4.513768526463266539e-01 2
1 -9.945379032261224347e+04 3.310844175382632315e-02 2
1 -4.832966961557627656e+04 6.531325652321293695e-01 4
2 -5.599106381474057707e+04 7.279636961653502825e-01 3
3 -2.188801504307399955e+04 3.819665543946819675e-01 2
2 -1.969529907931534763e+04 7.367888980124317477e-01 1
3 -2.779030593735480215e+04 9.151634967147783684e-01 0
0 -4.075512884769660886e+05 3.418144074375575880e-01 2
5 -1.504412640691679189e+04 4.940260923396183612e-01 3
4 -1.582697532945734019e+04 1.316057097571374790e-01 1
1 -2.155986855732625190e+04 4.722832378077111010e-02 0
1 -5.503333875676671596e+04 5.328187017694573369e-01 1
4 -7.273736702837418306e+03 7.205813733359522910e-01 1
1 -1.151780122915491520e+05 7.602290979980983465e-01 4
8 -7.995007608011763296e+03 2.189071842389312961e-01 2
6 -8.403700392921531602e+03 6.589435377540531213e-02 2
7 -8.992174284731358057e+03 8.152309224646419050e-01 1
2 -2.269251027961550062e+04 4.094906412871434087e-01 2
0 -7.372520927727728849e+05 2.080911454884684653e-01 1
8 -8.176041554661026566e+03 3.392795369582733978e-01 0
5 -1.406101189671529937e+04 7.567691148953539226e-01 4
8 -7.276851800284503042e+03 6.129945162224695876e-01 1
9 -5.804880231239623754e+03 5.812300838129389469e-01 3
8 -4.693979340446222523e+03 6.163233927165183701e-01 0
4 -1.881252955982260028e+04 6.202034816379442539e-01 1
10 -4.696087881185757396e+03 1.206231258342123913e-01 2
9 -5.054008080839248578e+03 3.675123912042246310e-01 2
7 -8.922587096251672847e+03 8.816850232502050355e-01 3
4 -1.127654078817825211e+04 4.019365784041575296e-01 2
6 -1.369831529829164901e+04 3.450987349954037220e-01 2
0 -3.588870057646649075e+05 2.140942715376497052e-01 3
2 -4.330855438407153270e+04 9.389363903417775603e-01 1
8 -5.456925251414858394e+03 5.816345544973273718e-01 2
2 -2.241905222678652353e+04 8.081406384109177665e-01 4
3 -2.205501917469353066e+04 1.064428233320245248e-01 1
10 -4.755163705879170948e+02 8.544620302523573407e-01 3
6 -1.265787371199261179e+04 4.009195873001447641e-01 2
8 -7.359366160516249693e+03 8.762285411392696233e-01 0
5 -1.518962496337085759e+04 4.426832801977695908e-01 2
13 -7.760905078218594326e+02 2.845716222600887524e-01 3
13 -1.240170614358288503e+02 4.883625402092336976e-02 3
9 -1.493795083183994166e+02 9.864938585825093753e-01 3
7 -9.157598683722148053e+03 6.570890717050830165e-01 1
3 -2.362622043050045613e+04 4.716223565838388865e-01 4
2 -3.616733239263048017e+04 6.834193427100510032e-01 4
15 5.947766182948717528e+01 4.158440017737454752e-01 2
9 -5.552535731432610191e+03 4.035243109270343354e-01 3
15 -4.869669764427726477e+01 2.376180080394063865e-01 2
5 -1.614698674053857758e+04 1.277248428322704521e-01 0
4 -2.234978301909213769e+04 9.480984338891138563e-01 3
5 -1.662765837351126538e+04 4.367551188142382301e-01 4
0 -2.610892495641670539e+05 4.324862295665311551e-01 1
11 -3.148844455201117853e+03 8.522758059609776282e-01 2
8 -7.089386404547227357e+03 5.871218427031066334e-01 1
16 4.691745508241285165e+02 4.142065300379025317e-01 3
