# level_assignment log_likelihood tiebreaker ID
0 -1.340795718738303403e+05 9.313831178604086158e-01 3
0 -4.000185007392891566e+04 2.890500047323602550e-01 4
1 -6.978103976424543362e+03 7.174749066265928565e-01 3
1 -2.330041126438644824e+03 6.898726276763673670e-01 2
3 7.566167242494053369e+01 1.876797419969545022e-01 1
1 -2.404969981053892752e+03 4.793925844493056587e-01 0
3 1.040623509167799284e+03 2.605846612636384188e-02 2
5 1.484611255263536123e+03 5.169699925455636252e-02 4
3 2.880390168145265761e+01 6.603321354874651661e-01 0
3 7.099953514457510551e+01 6.521814745527656498e-01 1
4 7.896588274028371188e+02 2.680990983729346633e-01 4
3 -9.482933534975948078e+02 7.453815435726696137e-01 0
5 1.215739591678067882e+03 6.287918806508415726e-01 3
8 1.623353825343797325e+03 6.486117514928879668e-01 4
1 -1.315276363153359489e+04 5.238354909820599481e-01 1
6 1.549938647617388369e+03 6.342963822355240922e-01 4
6 1.453368220959095652e+03 2.078510047474899924e-01 0
7 1.590173784445800493e+03 2.819628146407331393e-01 2
5 1.459898234217698018e+03 2.642835952134449107e-01 1
8 1.608070566309087553e+03 1.685917939869095994e-01 1
6 1.558616919944221081e+03 4.346854049277110721e-01 3
0 -8.894461649781638698e+04 9.923438465715267442e-01 4
9 1.620339036101044258e+03 4.489492550719766939e-01 0
2 -6.286968667208806437e+03 7.941670477976474629e-01 4
8 1.609637287211620333e+03 7.218845350975329200e-01 3
11 1.631664045899738994e+03 4.076038568864572831e-01 0
9 1.619772433363954406e+03 2.719835433844082218e-01 3
12 1.633231360989405857e+03 7.631773124428434252e-02 4
0 -1.770755903364942787e+04 8.109680152198377456e-01 1
13 1.634680466861951118e+03 1.242154473790512414e-01 0
13 1.635208592961623481e+03 3.981890950516386862e-01 2
3 -7.780572126156876038e+02 7.634911500763069681e-01 3
14 1.635048431717343647e+03 7.752136949773709429e-02 2
7 1.616329251862813862e+03 7.270551192422591846e-01 3
14 1.635605178702970079e+03 1.443406032584571008e-01 2
12 1.635731979490611593e+03 9.344469093238271240e-01 2
12 1.634049548519818472e+03 1.567529886333307587e-01 4
13 1.634081611936992658e+03 7.263092925616505546e-01 1
9 1.632020043119101501e+03 7.052414022224304802e-01 3
16 1.635817874709929129e+03 7.734141686975893881e-01 0
18 1.636169468976323969e+03 9.214345661930699594e-01 2
9 1.624089233894100744e+03 6.746713303716296295e-01 4
12 1.633318254815072123e+03 9.316527356029209450e-01 3
12 1.633348945411920795e+03 8.001893181555246315e-01 4
18 1.636287423337686732e+03 7.767640972351809170e-01 0
12 1.633899982410411212e+03 4.494876529007138521e-02 1
10 1.629351335806890120e+03 5.127491727933382037e-01 3
15 1.635659398773477278e+03 1.604133886415264887e-01 0
14 1.635551925305852819e+03 3.669797209004521665e-02 0
18 1.636186385374666088e+03 1.454204405027974545e-01 2
18 1.636216705555106500e+03 5.940158346287027769e-04 2
19 1.636257571289405405e+03 3.883788270235044582e-01 2
6 1.491279719398479983e+03 4.370653652383900134e-01 3
19 1.636274419700416047e+03 4.260814514961750454e-01 2
3 1.241182455207675275e+03 2.465505273137158782e-01 3
19 1.636247682187494320e+03 7.709943523690501177e-01 0
17 1.636086736872406163e+03 9.746385024064572189e-01 4
18 1.636185233151671810e+03 9.276389368406290359e-01 0
